index,Country/Region,Day,Confirmed,Deaths,Recovered,Active Cases,Cases,Death Rate,Recovery Rate,New Deaths,New Recovered,New Cases,New Case Rate,New Death Rate
494,Iran,0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,-2.0,inf
402,Guernsey,0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,-2.0,0.0,1.0,0.0,-2.0
86,Azerbaijan,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,-3.0,-1.0
448,Hong Kong SAR,0,120.0,3.0,65.0,52.0,55.0,0.025,0.5416666666666666,3.0,65.0,118.0,-20.666666666666668,inf
409,Holy See,0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,-3.0,-65.0,-117.0,-1.9915254237288136,-2.0
781,Panama,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,-0.9829059829059829,-1.0
404,Guyana,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,inf
788,Paraguay,0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,inf,-1.0
1100,United Kingdom,0,1721.0,24.0,57.0,1640.0,1664.0,0.013945380592678676,0.03312027890761186,24.0,57.0,1711.0,189.11111111111111,inf
256,Cruise Ship,0,2088.0,21.0,975.0,1092.0,1113.0,0.010057471264367816,0.46695402298850575,-3.0,918.0,367.0,-0.7855055523085914,-1.125
587,Japan,0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-21.0,-975.0,-2086.0,-6.683923705722071,6.0
633,Kuwait,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.9995206136145733,-1.0
960,Sudan,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-4.0,-2.0,inf
979,Switzerland,0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-1.0,0.0,1.0,-1.25,-2.0
993,Taipei and environs,0,47.0,1.0,17.0,29.0,30.0,0.02127659574468085,0.3617021276595745,1.0,17.0,45.0,44.0,-2.0
1013,Taiwan*,0,98.0,2.0,37.0,59.0,61.0,0.02040816326530612,0.37755102040816324,1.0,20.0,51.0,0.1333333333333333,0.0
302,Equatorial Guinea,0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,-2.0,-37.0,-95.0,-2.8627450980392157,-3.0
546,Israel,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,-0.9789473684210527,-1.0
495,Iran,1,5.0,2.0,0.0,3.0,5.0,0.4,0.0,2.0,0.0,-15.0,-2.25,inf
584,Jamaica,1,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-2.0,0.0,-3.0,-0.8,-2.0
521,Iraq,1,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
257,Cruise Ship,1,2784.0,28.0,1300.0,1456.0,1484.0,0.010057471264367816,0.46695402298850575,28.0,1300.0,2778.0,554.6,inf
259,Cyprus,1,3.0,0.0,0.0,3.0,3.0,0.0,0.0,-28.0,-1300.0,-2781.0,-2.0010799136069117,-2.0
262,Czech Republic,1,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
179,China,1,639.0,18.0,30.0,591.0,609.0,0.028169014084507043,0.046948356807511735,18.0,30.0,632.0,inf,inf
312,Eswatini,1,3.0,0.0,0.0,3.0,3.0,0.0,0.0,-18.0,-30.0,-636.0,-2.0063291139240507,-2.0
315,Faroe Islands,1,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,-1.0047169811320755,-1.0
400,Guatemala,1,2.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,-1.0,-0.8888888888888888,inf
403,Guinea,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-2.0
152,Canada,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
