Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-24 23:33:02,Afghanistan,202.60803900000002,397.4310834,0.0,13.0,0.0,0.0,13.0,13.0,78,13054,78,78,0.0,13.0,0.0,0.0,13.0,0.0,,,,0.0,0.0,0.0,15.0
2020-03-08 04:53:03,Afghanistan,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,27,6776,27,27,0.0,8.0,0.0,0.0,8.0,0.0,,,-0.385,0.0,0.0,0.0,9.0
2020-03-10 12:33:02,Afghanistan,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,15,3850,15,15,0.0,5.0,0.0,0.0,5.0,0.0,,,-0.375,0.0,0.0,0.0,6.0
2020-03-11 10:13:12,Afghanistan,0.0,0.0,0.0,14.0,0.0,0.0,14.0,14.0,33,8109,33,33,0.0,14.0,0.0,0.0,14.0,0.0,,,1.8,0.0,0.0,0.0,16.0
2020-03-11 20:00:00,Afghanistan,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,18,4255,18,18,0.0,7.0,0.0,0.0,7.0,0.0,,,-0.5,0.0,0.0,0.0,8.0
2020-03-14 14:53:04,Afghanistan,0.0,0.0,0.0,11.0,0.0,0.0,11.0,11.0,19,4810,19,19,0.0,11.0,0.0,0.0,11.0,0.0,,,0.571,0.0,0.0,0.0,13.0
2020-03-15 18:20:18,Afghanistan,0.0,0.0,0.0,16.0,0.0,0.0,16.0,16.0,20,5121,20,20,0.0,16.0,0.0,0.0,16.0,0.0,,,0.455,0.0,0.0,0.0,18.0
2020-03-16 14:38:45,Afghanistan,0.0,0.0,0.0,21.0,0.0,1.0,21.0,20.0,21,5365,21,21,0.0,21.0,0.0,1.0,20.0,0.0,,inf,0.312,0.0,0.0,0.0,24.0
2020-03-17 11:53:10,Afghanistan,0.0,0.0,0.0,66.0,0.0,3.0,66.0,63.0,69,16728,69,69,0.0,66.0,0.0,3.0,63.0,0.0,,2.0,2.143,0.0,0.0,0.0,75.0
2020-03-20 14:43:04,Afghanistan,0.0,0.0,0.0,48.0,0.0,2.0,48.0,46.0,51,12747,51,51,0.0,48.0,0.0,2.0,46.0,0.0,,-0.333,-0.273,0.0,0.0,0.0,55.0
2020-03-22 23:45:00,Afghanistan,33.7680065,66.2385139,0.0,40.0,1.0,1.0,39.0,38.0,27,6,27,27,1.0,40.0,1.0,1.0,38.0,0.025,inf,-0.5,-0.167,100.0,180.0,350.0,46.0
2020-03-23 23:19:21,Afghanistan,33.7680065,66.2385139,0.0,40.0,1.0,1.0,39.0,38.0,28,7,28,28,1.0,40.0,1.0,1.0,38.0,0.025,0.0,0.0,0.0,100.0,180.0,350.0,46.0
2020-03-24 23:37:15,Afghanistan,33.7680065,66.2385139,0.0,74.0,1.0,1.0,73.0,72.0,29,8,29,29,1.0,74.0,1.0,1.0,72.0,0.014,0.0,0.0,0.85,100.0,180.0,350.0,84.0
2020-03-25 23:33:04,Afghanistan,33.7680065,66.2385139,0.0,84.0,2.0,2.0,82.0,80.0,30,9,30,30,2.0,84.0,2.0,2.0,80.0,0.024,1.0,1.0,0.135,200.0,360.0,700.0,96.0
