Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-09 09:03:03,Albania,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0,3636,0,0,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-03-10 12:53:02,Albania,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,1,3851,1,1,0.0,10.0,0.0,0.0,10.0,0.0,,,4.0,0.0,0.0,0.0,11.0
2020-03-11 13:33:11,Albania,0.0,0.0,0.0,12.0,1.0,0.0,11.0,11.0,2,4075,2,2,1.0,12.0,1.0,0.0,11.0,0.083,inf,,0.2,100.0,180.0,350.0,14.0
2020-03-11 20:00:00,Albania,0.0,0.0,0.0,33.0,1.0,0.0,32.0,32.0,3,4164,3,3,1.0,33.0,1.0,0.0,32.0,0.03,0.0,,1.75,100.0,180.0,350.0,38.0
2020-03-12 21:39:09,Albania,0.0,0.0,0.0,23.0,1.0,0.0,22.0,22.0,4,4536,4,4,1.0,23.0,1.0,0.0,22.0,0.043,0.0,,-0.303,100.0,180.0,350.0,26.0
2020-03-14 12:33:03,Albania,0.0,0.0,0.0,38.0,1.0,0.0,37.0,37.0,5,4779,5,5,1.0,38.0,1.0,0.0,37.0,0.026,0.0,,0.652,100.0,180.0,350.0,43.0
2020-03-15 18:20:18,Albania,0.0,0.0,0.0,42.0,1.0,0.0,41.0,41.0,6,5090,6,6,1.0,42.0,1.0,0.0,41.0,0.024,0.0,,0.105,100.0,180.0,350.0,48.0
2020-03-16 14:38:45,Albania,0.0,0.0,0.0,51.0,1.0,0.0,50.0,50.0,7,5389,7,7,1.0,51.0,1.0,0.0,50.0,0.02,0.0,,0.214,100.0,180.0,350.0,58.0
2020-03-17 15:53:12,Albania,0.0,0.0,0.0,55.0,1.0,0.0,54.0,54.0,8,5628,8,8,1.0,55.0,1.0,0.0,54.0,0.018,0.0,,0.078,100.0,180.0,350.0,63.0
2020-03-18 12:33:03,Albania,0.0,0.0,0.0,59.0,2.0,0.0,57.0,57.0,9,5908,9,9,2.0,59.0,2.0,0.0,57.0,0.034,1.0,,0.073,200.0,360.0,700.0,67.0
2020-03-19 11:33:30,Albania,0.0,0.0,0.0,64.0,2.0,0.0,62.0,62.0,10,6142,10,10,2.0,64.0,2.0,0.0,62.0,0.031,0.0,,0.085,200.0,360.0,700.0,73.0
2020-03-20 15:13:21,Albania,0.0,0.0,0.0,70.0,2.0,0.0,68.0,68.0,11,6400,11,11,2.0,70.0,2.0,0.0,68.0,0.029,0.0,,0.094,200.0,360.0,700.0,80.0
2020-03-21 12:43:08,Albania,0.0,0.0,0.0,76.0,2.0,2.0,74.0,72.0,12,6597,12,12,2.0,76.0,2.0,2.0,72.0,0.026,0.0,inf,0.086,200.0,360.0,700.0,87.0
2020-03-22 23:45:00,Albania,41.000028,19.9999619,0.0,89.0,2.0,2.0,87.0,85.0,13,0,13,13,2.0,89.0,2.0,2.0,85.0,0.022,0.0,0.0,0.171,200.0,360.0,700.0,101.0
2020-03-23 23:19:21,Albania,41.000028,19.9999619,0.0,104.0,4.0,2.0,100.0,98.0,14,1,14,14,4.0,104.0,4.0,2.0,98.0,0.038,1.0,0.0,0.169,400.0,720.0,1400.0,119.0
2020-03-24 23:37:15,Albania,41.000028,19.9999619,0.0,123.0,5.0,10.0,118.0,108.0,15,2,15,15,5.0,123.0,5.0,10.0,108.0,0.041,0.25,4.0,0.183,500.0,900.0,1750.0,140.0
2020-03-25 23:33:04,Albania,41.000028,19.9999619,0.0,146.0,5.0,17.0,141.0,124.0,16,3,16,16,5.0,146.0,5.0,17.0,124.0,0.034,0.0,0.7,0.187,500.0,900.0,1750.0,166.0
