Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-25 23:43:03,Algeria,140.000136,14.9999125,0.0,6.0,0.0,0.0,6.0,6.0,15,1948,15,15,0.0,6.0,0.0,0.0,6.0,0.0,,,,0.0,0.0,0.0,7.0
2020-03-02 00:53:03,Algeria,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,6,2313,6,6,0.0,3.0,0.0,0.0,3.0,0.0,,,-0.5,0.0,0.0,0.0,3.0
2020-03-03 03:23:03,Algeria,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,7,2490,7,7,0.0,5.0,0.0,0.0,5.0,0.0,,,0.667,0.0,0.0,0.0,6.0
2020-03-04 19:33:03,Algeria,0.0,0.0,0.0,24.0,0.0,0.0,24.0,24.0,17,5484,17,17,0.0,24.0,0.0,0.0,24.0,0.0,,,3.8,0.0,0.0,0.0,27.0
2020-03-06 01:29:39,Algeria,0.0,0.0,0.0,34.0,0.0,0.0,34.0,34.0,21,5897,21,21,0.0,34.0,0.0,0.0,34.0,0.0,,,0.417,0.0,0.0,0.0,39.0
2020-03-08 05:23:03,Algeria,0.0,0.0,0.0,19.0,0.0,0.0,19.0,19.0,12,3415,12,12,0.0,19.0,0.0,0.0,19.0,0.0,,,-0.441,0.0,0.0,0.0,22.0
2020-03-09 10:13:06,Algeria,0.0,0.0,0.0,60.0,0.0,0.0,60.0,60.0,42,10991,42,42,0.0,60.0,0.0,0.0,60.0,0.0,,,2.158,0.0,0.0,0.0,68.0
2020-03-11 20:00:00,Algeria,0.0,0.0,0.0,26.0,2.0,8.0,24.0,16.0,16,4334,16,16,2.0,26.0,2.0,8.0,16.0,0.077,inf,inf,-0.567,200.0,360.0,700.0,30.0
2020-03-12 09:13:24,Algeria,0.0,0.0,0.0,24.0,1.0,8.0,23.0,15.0,17,4510,17,17,1.0,24.0,1.0,8.0,15.0,0.042,-0.5,0.0,-0.077,100.0,180.0,350.0,27.0
2020-03-14 12:33:03,Algeria,0.0,0.0,0.0,37.0,3.0,12.0,34.0,22.0,18,4781,18,18,3.0,37.0,3.0,12.0,22.0,0.081,2.0,0.5,0.542,300.0,540.0,1050.0,42.0
2020-03-15 18:20:18,Algeria,0.0,0.0,0.0,48.0,4.0,12.0,44.0,32.0,19,5104,19,19,4.0,48.0,4.0,12.0,32.0,0.083,0.333,0.0,0.297,400.0,720.0,1400.0,55.0
2020-03-16 14:38:45,Algeria,0.0,0.0,0.0,54.0,4.0,12.0,50.0,38.0,20,5289,20,20,4.0,54.0,4.0,12.0,38.0,0.074,0.0,0.0,0.125,400.0,720.0,1400.0,62.0
2020-03-17 03:13:15,Algeria,0.0,0.0,0.0,60.0,4.0,12.0,56.0,44.0,21,5524,21,21,4.0,60.0,4.0,12.0,44.0,0.067,0.0,0.0,0.111,400.0,720.0,1400.0,68.0
2020-03-18 19:53:03,Algeria,0.0,0.0,0.0,74.0,7.0,12.0,67.0,55.0,22,6028,22,22,7.0,74.0,7.0,12.0,55.0,0.095,0.75,0.0,0.233,700.0,1260.0,2450.0,84.0
2020-03-19 16:13:36,Algeria,0.0,0.0,0.0,87.0,9.0,32.0,78.0,46.0,23,6174,23,23,9.0,87.0,9.0,32.0,46.0,0.103,0.286,1.667,0.176,900.0,1620.0,3150.0,99.0
2020-03-20 15:43:24,Algeria,0.0,0.0,0.0,90.0,11.0,32.0,79.0,47.0,24,6404,24,24,11.0,90.0,11.0,32.0,47.0,0.122,0.222,0.0,0.034,1100.0,1980.0,3850.0,103.0
2020-03-21 17:43:03,Algeria,0.0,0.0,0.0,139.0,15.0,32.0,124.0,92.0,25,6668,25,25,15.0,139.0,15.0,32.0,92.0,0.108,0.364,0.0,0.544,1500.0,2700.0,5250.0,158.0
2020-03-22 23:45:00,Algeria,28.000027199999998,2.9999825,0.0,201.0,17.0,65.0,184.0,119.0,26,5,26,26,17.0,201.0,17.0,65.0,119.0,0.085,0.133,1.031,0.446,1700.0,3060.0,5950.0,229.0
2020-03-23 23:19:21,Algeria,28.000027199999998,2.9999825,0.0,230.0,17.0,65.0,213.0,148.0,27,6,27,27,17.0,230.0,17.0,65.0,148.0,0.074,0.0,0.0,0.144,1700.0,3060.0,5950.0,262.0
2020-03-24 23:37:15,Algeria,28.000027199999998,2.9999825,0.0,264.0,19.0,24.0,245.0,221.0,28,7,28,28,19.0,264.0,19.0,24.0,221.0,0.072,0.118,-0.631,0.148,1900.0,3420.0,6650.0,301.0
2020-03-25 23:33:04,Algeria,28.000027199999998,2.9999825,0.0,302.0,21.0,65.0,281.0,216.0,29,8,29,29,21.0,302.0,21.0,65.0,216.0,0.07,0.105,1.708,0.144,2100.0,3780.0,7350.0,344.0
