Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-01 19:53:02,Armenia,0.0,0.0,0.0,11.0,0.0,0.0,11.0,11.0,55,24871,55,55,0.0,11.0,0.0,0.0,11.0,0.0,,,,0.0,0.0,0.0,13.0
2020-03-11 20:00:00,Armenia,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,11,4204,11,11,0.0,8.0,0.0,0.0,8.0,0.0,,,-0.273,0.0,0.0,0.0,9.0
2020-03-12 21:39:09,Armenia,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,12,4539,12,12,0.0,4.0,0.0,0.0,4.0,0.0,,,-0.5,0.0,0.0,0.0,5.0
2020-03-14 20:53:02,Armenia,0.0,0.0,0.0,18.0,0.0,0.0,18.0,18.0,13,4931,13,13,0.0,18.0,0.0,0.0,18.0,0.0,,,3.5,0.0,0.0,0.0,21.0
2020-03-15 18:20:18,Armenia,0.0,0.0,0.0,26.0,0.0,0.0,26.0,26.0,14,5067,14,14,0.0,26.0,0.0,0.0,26.0,0.0,,,0.444,0.0,0.0,0.0,30.0
2020-03-16 21:13:17,Armenia,0.0,0.0,0.0,52.0,0.0,0.0,52.0,52.0,15,5474,15,15,0.0,52.0,0.0,0.0,52.0,0.0,,,1.0,0.0,0.0,0.0,59.0
2020-03-17 19:33:02,Armenia,0.0,0.0,0.0,78.0,0.0,1.0,78.0,77.0,16,5688,16,16,0.0,78.0,0.0,1.0,77.0,0.0,,inf,0.5,0.0,0.0,0.0,89.0
2020-03-18 10:53:02,Armenia,0.0,0.0,0.0,84.0,0.0,1.0,84.0,83.0,17,5826,17,17,0.0,84.0,0.0,1.0,83.0,0.0,,0.0,0.077,0.0,0.0,0.0,96.0
2020-03-19 10:53:03,Armenia,0.0,0.0,0.0,115.0,0.0,1.0,115.0,114.0,18,6117,18,18,0.0,115.0,0.0,1.0,114.0,0.0,,0.0,0.369,0.0,0.0,0.0,131.0
2020-03-20 14:43:04,Armenia,0.0,0.0,0.0,136.0,0.0,1.0,136.0,135.0,19,6388,19,19,0.0,136.0,0.0,1.0,135.0,0.0,,0.0,0.183,0.0,0.0,0.0,155.0
2020-03-21 12:13:19,Armenia,0.0,0.0,0.0,160.0,0.0,1.0,160.0,159.0,20,6583,20,20,0.0,160.0,0.0,1.0,159.0,0.0,,0.0,0.176,0.0,0.0,0.0,182.0
2020-03-22 23:45:00,Armenia,40.7696272,44.6736646,0.0,194.0,0.0,2.0,194.0,192.0,21,0,21,21,0.0,194.0,0.0,2.0,192.0,0.0,,1.0,0.212,0.0,0.0,0.0,221.0
2020-03-23 23:19:21,Armenia,40.7696272,44.6736646,0.0,235.0,0.0,2.0,235.0,233.0,22,1,22,22,0.0,235.0,0.0,2.0,233.0,0.0,,0.0,0.211,0.0,0.0,0.0,268.0
2020-03-24 23:37:15,Armenia,40.7696272,44.6736646,0.0,249.0,0.0,14.0,249.0,235.0,23,2,23,23,0.0,249.0,0.0,14.0,235.0,0.0,,6.0,0.06,0.0,0.0,0.0,284.0
2020-03-25 23:33:04,Armenia,40.7696272,44.6736646,0.0,265.0,0.0,16.0,265.0,249.0,24,3,24,24,0.0,265.0,0.0,16.0,249.0,0.0,,0.143,0.064,0.0,0.0,0.0,302.0
