Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-25 18:55:32,None,47.7565154,13.000345199999998,0.0,2.0,0.0,0.0,2.0,2.0,0,0,0,0,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-02-26 00:13:06,Austria,47.2000338,13.199959,0.0,2.0,0.0,0.0,2.0,2.0,1,0,1,0,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0
2020-02-27 14:03:03,Austria,94.4000676,26.399918,0.0,6.0,0.0,0.0,6.0,6.0,5,3,5,3,0.0,6.0,0.0,0.0,6.0,0.0,,,2.0,0.0,0.0,0.0,7.0
2020-02-29 14:43:03,Austria,47.2000338,13.199959,0.0,9.0,0.0,0.0,9.0,9.0,4,3,4,3,0.0,9.0,0.0,0.0,9.0,0.0,,,0.5,0.0,0.0,0.0,10.0
2020-03-01 23:33:03,Austria,0.0,0.0,0.0,14.0,0.0,0.0,14.0,14.0,5,2309,5,4,0.0,14.0,0.0,0.0,14.0,0.0,,,0.556,0.0,0.0,0.0,16.0
2020-03-02 21:23:04,Austria,0.0,0.0,0.0,18.0,0.0,0.0,18.0,18.0,6,2452,6,5,0.0,18.0,0.0,0.0,18.0,0.0,,,0.286,0.0,0.0,0.0,21.0
2020-03-03 15:13:26,Austria,0.0,0.0,0.0,21.0,0.0,0.0,21.0,21.0,7,2548,7,6,0.0,21.0,0.0,0.0,21.0,0.0,,,0.167,0.0,0.0,0.0,24.0
2020-03-04 19:33:03,Austria,0.0,0.0,0.0,29.0,0.0,0.0,29.0,29.0,8,2749,8,7,0.0,29.0,0.0,0.0,29.0,0.0,,,0.381,0.0,0.0,0.0,33.0
2020-03-05 17:53:02,Austria,0.0,0.0,0.0,41.0,0.0,0.0,41.0,41.0,9,2880,9,8,0.0,41.0,0.0,0.0,41.0,0.0,,,0.414,0.0,0.0,0.0,47.0
2020-03-06 16:33:04,Austria,0.0,0.0,0.0,55.0,0.0,0.0,55.0,55.0,10,3087,10,9,0.0,55.0,0.0,0.0,55.0,0.0,,,0.341,0.0,0.0,0.0,63.0
2020-03-07 17:53:03,Austria,0.0,0.0,0.0,79.0,0.0,0.0,79.0,79.0,11,3308,11,10,0.0,79.0,0.0,0.0,79.0,0.0,,,0.436,0.0,0.0,0.0,90.0
2020-03-08 09:13:14,Austria,0.0,0.0,0.0,104.0,0.0,0.0,104.0,104.0,12,3434,12,11,0.0,104.0,0.0,0.0,104.0,0.0,,,0.316,0.0,0.0,0.0,119.0
2020-03-09 18:33:03,Austria,0.0,0.0,0.0,131.0,0.0,2.0,131.0,129.0,13,3708,13,12,0.0,131.0,0.0,2.0,129.0,0.0,,inf,0.26,0.0,0.0,0.0,149.0
2020-03-10 16:13:16,Austria,0.0,0.0,0.0,182.0,0.0,4.0,182.0,178.0,14,3870,14,13,0.0,182.0,0.0,4.0,178.0,0.0,,1.0,0.389,0.0,0.0,0.0,207.0
2020-03-11 20:00:00,Austria,0.0,0.0,0.0,504.0,1.0,6.0,503.0,497.0,15,4247,15,14,1.0,504.0,1.0,6.0,497.0,0.002,inf,0.5,1.769,100.0,180.0,350.0,575.0
2020-03-11 22:33:03,Austria,0.0,0.0,0.0,246.0,0.0,4.0,246.0,242.0,16,4401,16,15,0.0,246.0,0.0,4.0,242.0,0.0,-1.0,-0.333,-0.512,0.0,0.0,0.0,280.0
2020-03-12 11:13:29,Austria,0.0,0.0,0.0,302.0,1.0,4.0,301.0,297.0,17,4528,17,16,1.0,302.0,1.0,4.0,297.0,0.003,inf,0.0,0.228,100.0,180.0,350.0,344.0
2020-03-14 16:13:55,Austria,0.0,0.0,0.0,655.0,1.0,6.0,654.0,648.0,18,4817,18,17,1.0,655.0,1.0,6.0,648.0,0.002,0.0,0.5,1.169,100.0,180.0,350.0,747.0
