Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-28 15:03:26,Azerbaijan,40.3936294,47.787250799999995,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-03-01 02:43:03,Azerbaijan,0.0,0.0,0.0,12.0,0.0,0.0,12.0,12.0,10,8808,10,10,0.0,12.0,0.0,0.0,12.0,0.0,,,11.0,0.0,0.0,0.0,14.0
2020-03-05 13:53:03,Azerbaijan,0.0,0.0,0.0,12.0,0.0,0.0,12.0,12.0,11,5644,11,11,0.0,12.0,0.0,0.0,12.0,0.0,,,0.0,0.0,0.0,0.0,14.0
2020-03-07 02:13:09,Azerbaijan,0.0,0.0,0.0,27.0,0.0,0.0,27.0,27.0,24,9602,24,24,0.0,27.0,0.0,0.0,27.0,0.0,,,1.25,0.0,0.0,0.0,31.0
2020-03-10 16:13:27,Azerbaijan,0.0,0.0,0.0,11.0,0.0,0.0,11.0,11.0,10,3875,10,10,0.0,11.0,0.0,0.0,11.0,0.0,,,-0.593,0.0,0.0,0.0,13.0
2020-03-11 08:13:09,Azerbaijan,0.0,0.0,0.0,22.0,0.0,6.0,22.0,16.0,23,8055,23,23,0.0,22.0,0.0,6.0,16.0,0.0,,inf,1.0,0.0,0.0,0.0,25.0
2020-03-11 20:00:00,Azerbaijan,0.0,0.0,0.0,15.0,1.0,3.0,14.0,11.0,13,4235,13,13,1.0,15.0,1.0,3.0,11.0,0.067,inf,-0.5,-0.318,100.0,180.0,350.0,17.0
2020-03-13 12:13:36,Azerbaijan,0.0,0.0,0.0,38.0,2.0,9.0,36.0,27.0,29,9219,29,29,2.0,38.0,2.0,9.0,27.0,0.053,1.0,2.0,1.533,200.0,360.0,700.0,43.0
2020-03-16 14:38:45,Azerbaijan,0.0,0.0,0.0,15.0,1.0,6.0,14.0,8.0,16,5333,16,16,1.0,15.0,1.0,6.0,8.0,0.067,-0.5,-0.333,-0.605,100.0,180.0,350.0,17.0
2020-03-17 11:53:10,Azerbaijan,0.0,0.0,0.0,56.0,2.0,12.0,54.0,42.0,35,11157,35,35,2.0,56.0,2.0,12.0,42.0,0.036,1.0,1.0,2.733,200.0,360.0,700.0,64.0
2020-03-19 16:13:36,Azerbaijan,0.0,0.0,0.0,88.0,2.0,12.0,86.0,74.0,39,12343,39,39,2.0,88.0,2.0,12.0,74.0,0.023,0.0,0.0,0.571,200.0,360.0,700.0,100.0
2020-03-21 20:43:03,Azerbaijan,0.0,0.0,0.0,53.0,1.0,11.0,52.0,41.0,21,6702,21,21,1.0,53.0,1.0,11.0,41.0,0.019,-0.5,-0.083,-0.398,100.0,180.0,350.0,60.0
2020-03-22 23:45:00,Azerbaijan,40.3936294,47.787250799999995,0.0,65.0,1.0,11.0,64.0,53.0,22,1,22,22,1.0,65.0,1.0,11.0,53.0,0.015,0.0,0.0,0.226,100.0,180.0,350.0,74.0
2020-03-23 23:19:21,Azerbaijan,40.3936294,47.787250799999995,0.0,72.0,1.0,10.0,71.0,61.0,23,2,23,23,1.0,72.0,1.0,10.0,61.0,0.014,0.0,-0.091,0.108,100.0,180.0,350.0,82.0
2020-03-24 23:37:15,Azerbaijan,40.3936294,47.787250799999995,0.0,87.0,1.0,10.0,86.0,76.0,24,3,24,24,1.0,87.0,1.0,10.0,76.0,0.011,0.0,0.0,0.208,100.0,180.0,350.0,99.0
2020-03-25 23:33:04,Azerbaijan,40.3936294,47.787250799999995,0.0,93.0,2.0,10.0,91.0,81.0,25,4,25,25,2.0,93.0,2.0,10.0,81.0,0.022,1.0,0.0,0.069,200.0,360.0,700.0,106.0
