Date,Confirmed,Recovered,Province/State,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-16,1.0,,Bahamas,0,1.0,0.0,,1.0,0.0,,,,0,0,0,1.0
2020-03-17,1.0,,Bahamas,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-18,1.0,,Bahamas,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-19,3.0,,Bahamas,0,3.0,0.0,,3.0,0.0,,,2.0,0,0,0,3.0
2020-03-20,3.0,,Bahamas,0,3.0,0.0,,3.0,0.0,,,0.0,0,0,0,3.0
2020-03-21,4.0,,Bahamas,0,4.0,0.0,,4.0,0.0,,,0.333,0,0,0,5.0
2020-03-22,4.0,,Bahamas,0,4.0,0.0,,4.0,0.0,,,0.0,0,0,0,5.0
2020-03-23,4.0,,Bahamas,0,4.0,0.0,,4.0,0.0,,,0.0,0,0,0,5.0
2020-03-24,5.0,1.0,Bahamas,0,5.0,0.0,1.0,4.0,0.0,,inf,0.25,0,0,0,6.0
2020-03-25,5.0,,Bahamas,0,5.0,0.0,,5.0,0.0,,-1.0,0.0,0,0,0,6.0
