Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-24 23:33:02,Bahrain,26.155124899999997,50.5344606,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-02-25 18:55:32,Bahrain,26.155124899999997,50.5344606,0.0,23.0,0.0,0.0,23.0,23.0,1,1,1,1,0.0,23.0,0.0,0.0,23.0,0.0,,,22.0,0.0,0.0,0.0,26.0
2020-02-26 21:03:07,Bahrain,52.310249799999994,101.0689212,0.0,66.0,0.0,0.0,66.0,66.0,5,5,5,5,0.0,66.0,0.0,0.0,66.0,0.0,,,1.87,0.0,0.0,0.0,75.0
2020-02-28 15:33:03,Bahrain,26.155124899999997,50.5344606,0.0,36.0,0.0,0.0,36.0,36.0,4,4,4,4,0.0,36.0,0.0,0.0,36.0,0.0,,,-0.455,0.0,0.0,0.0,41.0
2020-02-29 18:03:05,Bahrain,26.155124899999997,50.5344606,0.0,41.0,0.0,0.0,41.0,41.0,5,5,5,5,0.0,41.0,0.0,0.0,41.0,0.0,,,0.139,0.0,0.0,0.0,47.0
2020-03-01 23:33:03,Bahrain,0.0,0.0,0.0,47.0,0.0,0.0,47.0,47.0,6,2303,6,6,0.0,47.0,0.0,0.0,47.0,0.0,,,0.146,0.0,0.0,0.0,54.0
2020-03-02 20:33:02,Bahrain,0.0,0.0,0.0,98.0,0.0,0.0,98.0,98.0,15,4842,15,15,0.0,98.0,0.0,0.0,98.0,0.0,,,1.085,0.0,0.0,0.0,112.0
2020-03-04 19:33:03,Bahrain,0.0,0.0,0.0,52.0,0.0,0.0,52.0,52.0,9,2747,9,9,0.0,52.0,0.0,0.0,52.0,0.0,,,-0.469,0.0,0.0,0.0,59.0
2020-03-05 13:53:03,Bahrain,0.0,0.0,0.0,55.0,0.0,0.0,55.0,55.0,10,2815,10,10,0.0,55.0,0.0,0.0,55.0,0.0,,,0.058,0.0,0.0,0.0,63.0
2020-03-06 15:33:03,Bahrain,0.0,0.0,0.0,60.0,0.0,4.0,60.0,56.0,11,3052,11,11,0.0,60.0,0.0,4.0,56.0,0.0,,inf,0.091,0.0,0.0,0.0,68.0
