Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-02-24,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,1.14,0.0,0.0,0.0
2020-02-25,23.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,26.22,0.0,0.0,0.0
2020-02-26,33.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,0.435,7.478333333333333,10.0,-0.5454545454545454,10.0,-0.5454545454545454,0.0,0.0,0.0,0.0,37.62,0.0,0.0,0.0
2020-02-27,33.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,7.478333333333333,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,37.62,0.0,0.0,0.0
2020-02-28,36.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,0.091,0.17533333333333326,3.0,inf,3.0,inf,0.0,0.0,0.0,0.0,41.04,0.0,0.0,0.0
2020-02-29,41.0,0.0,0.0,41.0,0.0,0.0,41.0,0.0,0.0,0.0,0.139,0.0766666666666666,5.0,0.6666666666666667,5.0,0.6666666666666667,0.0,0.0,0.0,0.0,46.739999999999995,0.0,0.0,0.0
2020-03-01,47.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,0.0,0.146,0.12533333333333327,6.0,0.19999999999999996,6.0,0.19999999999999996,0.0,0.0,0.0,0.0,53.58,0.0,0.0,0.0
2020-03-02,49.0,0.0,0.0,49.0,0.0,0.0,49.0,0.0,0.0,0.0,0.043,0.10933333333333324,2.0,-0.6666666666666667,2.0,-0.6666666666666667,0.0,0.0,0.0,0.0,55.85999999999999,0.0,0.0,0.0
2020-03-03,49.0,0.0,0.0,49.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0629999999999999,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,55.85999999999999,0.0,0.0,0.0
2020-03-04,52.0,0.0,0.0,52.0,0.0,0.0,52.0,0.0,0.0,0.0,0.061,0.034666666666666575,3.0,inf,3.0,inf,0.0,0.0,0.0,0.0,59.279999999999994,0.0,0.0,0.0
2020-03-05,55.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,0.0,0.058,0.03966666666666658,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,62.699999999999996,0.0,0.0,0.0
2020-03-06,60.0,0.0,4.0,60.0,0.0,4.0,56.0,0.0,0.0,inf,0.091,0.06999999999999991,1.0,-0.6666666666666667,5.0,0.6666666666666667,0.0,0.0,4.0,inf,63.839999999999996,0.0,0.0,0.0
2020-03-07,85.0,0.0,4.0,85.0,0.0,4.0,81.0,0.0,0.0,0.0,0.417,0.18866666666666662,25.0,24.0,25.0,4.0,0.0,0.0,0.0,-1.0,92.33999999999999,0.0,0.0,0.0
2020-03-08,85.0,0.0,4.0,85.0,0.0,4.0,81.0,0.0,0.0,0.0,0.0,0.16933333333333325,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,92.33999999999999,0.0,0.0,0.0
2020-03-09,95.0,0.0,14.0,95.0,0.0,14.0,81.0,0.0,0.0,2.5,0.118,0.17833333333333326,0.0,0.0,10.0,inf,0.0,0.0,10.0,inf,92.33999999999999,0.0,0.0,0.0
2020-03-10,110.0,0.0,22.0,110.0,0.0,22.0,88.0,0.0,0.0,0.571,0.158,0.09199999999999996,7.0,inf,15.0,0.5,0.0,0.0,8.0,-0.19999999999999996,100.32,0.0,0.0,0.0
2020-03-11,195.0,0.0,35.0,195.0,0.0,35.0,160.0,0.0,0.0,0.591,0.773,0.3496666666666666,72.0,9.285714285714286,85.0,4.666666666666667,0.0,0.0,13.0,0.625,182.39999999999998,0.0,0.0,0.0
2020-03-12,195.0,0.0,35.0,195.0,0.0,35.0,160.0,0.0,0.0,0.0,0.0,0.3103333333333333,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,182.39999999999998,0.0,0.0,0.0
2020-03-13,195.0,0.0,44.0,195.0,0.0,44.0,151.0,0.0,0.0,0.257,0.0,0.25766666666666665,-9.0,-inf,0.0,0.0,0.0,0.0,9.0,inf,172.14,0.0,0.0,0.0
2020-03-14,210.0,0.0,44.0,210.0,0.0,44.0,166.0,0.0,0.0,0.0,0.077,0.025666666666666615,15.0,-2.666666666666667,15.0,inf,0.0,0.0,0.0,-1.0,189.23999999999998,0.0,0.0,0.0
2020-03-15,214.0,0.0,60.0,214.0,0.0,60.0,154.0,0.0,0.0,0.364,0.019,0.03199999999999995,-12.0,-1.8,4.0,-0.7333333333333334,0.0,0.0,16.0,inf,175.55999999999997,0.0,0.0,0.0
2020-03-16,214.0,1.0,77.0,214.0,1.0,77.0,136.0,0.005,inf,0.283,0.0,0.03199999999999995,-18.0,0.5,0.0,-1.0,1.0,inf,17.0,0.0625,155.04,100.0,180.0,350.0
2020-03-17,228.0,1.0,81.0,228.0,1.0,81.0,146.0,0.004,0.0,0.052,0.065,0.027999999999999955,10.0,-1.5555555555555556,14.0,inf,0.0,-1.0,4.0,-0.7647058823529411,166.44,100.0,180.0,350.0
2020-03-18,256.0,1.0,88.0,256.0,1.0,88.0,167.0,0.004,0.0,0.086,0.123,0.06266666666666662,21.0,1.1,28.0,1.0,0.0,0.0,7.0,0.75,190.38,100.0,180.0,350.0
2020-03-19,278.0,1.0,100.0,278.0,1.0,100.0,177.0,0.004,0.0,0.136,0.086,0.09133333333333328,10.0,-0.5238095238095238,22.0,-0.2142857142857143,0.0,0.0,12.0,0.7142857142857142,201.77999999999997,100.0,180.0,350.0
2020-03-20,285.0,1.0,100.0,285.0,1.0,100.0,184.0,0.004,0.0,0.0,0.025,0.07799999999999996,7.0,-0.30000000000000004,7.0,-0.6818181818181819,0.0,0.0,0.0,-1.0,209.76,100.0,180.0,350.0
2020-03-21,305.0,1.0,125.0,305.0,1.0,125.0,179.0,0.003,0.0,0.25,0.07,0.060333333333333294,-5.0,-1.7142857142857144,20.0,1.8571428571428572,0.0,0.0,25.0,inf,204.05999999999997,100.0,180.0,350.0
2020-03-22,334.0,2.0,149.0,334.0,2.0,149.0,183.0,0.006,1.0,0.192,0.095,0.06333333333333331,4.0,-1.8,29.0,0.44999999999999996,1.0,inf,24.0,-0.040000000000000036,208.61999999999998,200.0,360.0,700.0
2020-03-23,377.0,2.0,149.0,377.0,2.0,149.0,226.0,0.005,0.0,0.0,0.129,0.09799999999999998,43.0,9.75,43.0,0.48275862068965525,0.0,-1.0,0.0,-1.0,257.64,200.0,360.0,700.0
2020-03-24,392.0,3.0,177.0,392.0,3.0,177.0,212.0,0.008,0.5,0.188,0.04,0.08799999999999997,-14.0,-1.3255813953488373,15.0,-0.6511627906976745,1.0,inf,28.0,inf,241.67999999999998,300.0,540.0,1050.0
2020-03-25,419.0,4.0,0.0,419.0,4.0,0.0,415.0,0.01,0.333,-1.0,0.069,0.0793333333333333,203.0,-15.5,27.0,0.8,1.0,0.0,-177.0,-7.321428571428571,473.09999999999997,400.0,720.0,1400.0
