Date,Confirmed,Recovered,Province/State,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-28,1.0,,Belarus,0,1.0,0.0,,1.0,0.0,,,,0,0,0,1.0
2020-02-29,1.0,,Belarus,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-01,1.0,,Belarus,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-02,1.0,,Belarus,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-03,1.0,,Belarus,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-04,6.0,,Belarus,0,6.0,0.0,,6.0,0.0,,,5.0,0,0,0,7.0
2020-03-05,6.0,,Belarus,0,6.0,0.0,,6.0,0.0,,,0.0,0,0,0,7.0
2020-03-06,6.0,,Belarus,0,6.0,0.0,,6.0,0.0,,,0.0,0,0,0,7.0
2020-03-07,6.0,,Belarus,0,6.0,0.0,,6.0,0.0,,,0.0,0,0,0,7.0
2020-03-08,6.0,,Belarus,0,6.0,0.0,,6.0,0.0,,,0.0,0,0,0,7.0
2020-03-09,6.0,1.0,Belarus,0,6.0,0.0,1.0,5.0,0.0,,inf,0.0,0,0,0,7.0
2020-03-10,9.0,3.0,Belarus,0,9.0,0.0,3.0,6.0,0.0,,2.0,0.5,0,0,0,10.0
2020-03-11,9.0,3.0,Belarus,0,9.0,0.0,3.0,6.0,0.0,,0.0,0.0,0,0,0,10.0
2020-03-12,12.0,3.0,Belarus,0,12.0,0.0,3.0,9.0,0.0,,0.0,0.333,0,0,0,14.0
2020-03-13,27.0,3.0,Belarus,0,27.0,0.0,3.0,24.0,0.0,,0.0,1.25,0,0,0,31.0
2020-03-14,27.0,3.0,Belarus,0,27.0,0.0,3.0,24.0,0.0,,0.0,0.0,0,0,0,31.0
2020-03-15,27.0,3.0,Belarus,0,27.0,0.0,3.0,24.0,0.0,,0.0,0.0,0,0,0,31.0
2020-03-16,36.0,3.0,Belarus,0,36.0,0.0,3.0,33.0,0.0,,0.0,0.333,0,0,0,41.0
2020-03-17,36.0,3.0,Belarus,0,36.0,0.0,3.0,33.0,0.0,,0.0,0.0,0,0,0,41.0
2020-03-18,51.0,5.0,Belarus,0,51.0,0.0,5.0,46.0,0.0,,0.667,0.417,0,0,0,58.0
2020-03-19,51.0,5.0,Belarus,0,51.0,0.0,5.0,46.0,0.0,,0.0,0.0,0,0,0,58.0
2020-03-20,69.0,5.0,Belarus,0,69.0,0.0,5.0,64.0,0.0,,0.0,0.353,0,0,0,79.0
2020-03-21,76.0,15.0,Belarus,0,76.0,0.0,15.0,61.0,0.0,,2.0,0.101,0,0,0,87.0
2020-03-22,76.0,15.0,Belarus,0,76.0,0.0,15.0,61.0,0.0,,0.0,0.0,0,0,0,87.0
2020-03-23,81.0,15.0,Belarus,0,81.0,0.0,15.0,66.0,0.0,,0.0,0.066,0,0,0,92.0
2020-03-24,81.0,22.0,Belarus,0,81.0,0.0,22.0,59.0,0.0,,0.467,0.0,0,0,0,92.0
2020-03-25,86.0,,Belarus,0,86.0,0.0,,86.0,0.0,,-1.0,0.062,0,0,0,98.0
