Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-04 15:43:02,Belgium,658.3236517,60.66728849999998,0.0,13.0,0.0,0.0,13.0,13.0,78,78,78,78,0.0,13.0,0.0,0.0,13.0,0.0,,,,0.0,0.0,0.0,15.0
2020-02-17 04:23:06,Belgium,658.3236517,60.66728849999998,0.0,13.0,0.0,13.0,13.0,0.0,247,247,247,247,0.0,13.0,0.0,13.0,0.0,0.0,,inf,0.0,0.0,0.0,0.0,15.0
2020-03-01 12:43:02,Belgium,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,26,2236,26,26,0.0,2.0,0.0,1.0,1.0,0.0,,-0.923,-0.846,0.0,0.0,0.0,2.0
2020-03-02 20:53:02,Belgium,0.0,0.0,0.0,8.0,0.0,1.0,8.0,7.0,27,2443,27,27,0.0,8.0,0.0,1.0,7.0,0.0,,0.0,3.0,0.0,0.0,0.0,9.0
2020-03-03 15:13:26,Belgium,0.0,0.0,0.0,13.0,0.0,1.0,13.0,12.0,28,2550,28,28,0.0,13.0,0.0,1.0,12.0,0.0,,0.0,0.625,0.0,0.0,0.0,15.0
2020-03-04 12:33:03,Belgium,0.0,0.0,0.0,23.0,0.0,1.0,23.0,22.0,29,2694,29,29,0.0,23.0,0.0,1.0,22.0,0.0,,0.0,0.769,0.0,0.0,0.0,26.0
2020-03-05 13:53:03,Belgium,0.0,0.0,0.0,50.0,0.0,1.0,50.0,49.0,30,2832,30,30,0.0,50.0,0.0,1.0,49.0,0.0,,0.0,1.174,0.0,0.0,0.0,57.0
2020-03-06 12:33:03,Belgium,0.0,0.0,0.0,109.0,0.0,1.0,109.0,108.0,31,2999,31,31,0.0,109.0,0.0,1.0,108.0,0.0,,0.0,1.18,0.0,0.0,0.0,124.0
2020-03-07 17:53:03,Belgium,0.0,0.0,0.0,169.0,0.0,1.0,169.0,168.0,32,3310,32,32,0.0,169.0,0.0,1.0,168.0,0.0,,0.0,0.55,0.0,0.0,0.0,193.0
2020-03-08 17:23:07,Belgium,0.0,0.0,0.0,200.0,0.0,1.0,200.0,199.0,33,3504,33,33,0.0,200.0,0.0,1.0,199.0,0.0,,0.0,0.183,0.0,0.0,0.0,228.0
2020-03-09 10:43:05,Belgium,0.0,0.0,0.0,239.0,0.0,1.0,239.0,238.0,34,3671,34,34,0.0,239.0,0.0,1.0,238.0,0.0,,0.0,0.195,0.0,0.0,0.0,272.0
2020-03-10 11:53:03,Belgium,0.0,0.0,0.0,267.0,0.0,1.0,267.0,266.0,35,3849,35,35,0.0,267.0,0.0,1.0,266.0,0.0,,0.0,0.117,0.0,0.0,0.0,304.0
2020-03-11 18:52:03,Belgium,0.0,0.0,0.0,628.0,6.0,2.0,622.0,620.0,73,8206,73,73,6.0,628.0,6.0,2.0,620.0,0.01,inf,1.0,1.352,600.0,1080.0,2100.0,716.0
2020-03-11 20:00:00,Belgium,0.0,0.0,0.0,559.0,3.0,1.0,556.0,555.0,38,4263,38,38,3.0,559.0,3.0,1.0,555.0,0.005,-0.5,-0.5,-0.11,300.0,540.0,1050.0,637.0
2020-03-14 11:53:29,Belgium,0.0,0.0,0.0,689.0,4.0,1.0,685.0,684.0,39,4771,39,39,4.0,689.0,4.0,1.0,684.0,0.006,0.333,0.0,0.233,400.0,720.0,1400.0,785.0
2020-03-15 18:20:18,Belgium,0.0,0.0,0.0,886.0,4.0,1.0,882.0,881.0,40,5108,40,40,4.0,886.0,4.0,1.0,881.0,0.005,0.0,0.0,0.286,400.0,720.0,1400.0,1010.0
2020-03-16 14:38:45,Belgium,0.0,0.0,0.0,1058.0,5.0,1.0,1053.0,1052.0,41,5300,41,41,5.0,1058.0,5.0,1.0,1052.0,0.005,0.25,0.0,0.194,500.0,900.0,1750.0,1206.0
2020-03-17 15:33:06,Belgium,0.0,0.0,0.0,1243.0,10.0,1.0,1233.0,1232.0,42,5610,42,42,10.0,1243.0,10.0,1.0,1232.0,0.008,1.0,0.0,0.175,1000.0,1800.0,3500.0,1417.0
2020-03-18 12:33:02,Belgium,0.0,0.0,0.0,1486.0,14.0,31.0,1472.0,1441.0,43,5901,43,43,14.0,1486.0,14.0,31.0,1441.0,0.009,0.4,30.0,0.195,1400.0,2520.0,4900.0,1694.0
