Date,Confirmed,Province/State,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-06,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,,0,0,0,1.0
2020-03-07,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-08,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-09,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-10,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-11,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-12,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-13,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-14,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-15,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-16,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-17,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-18,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-19,1,Bhutan,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-20,2,Bhutan,0,0,2.0,0.0,0.0,2.0,0.0,,,1.0,0,0,0,2.0
2020-03-21,2,Bhutan,0,0,2.0,0.0,0.0,2.0,0.0,,,0.0,0,0,0,2.0
2020-03-22,2,Bhutan,0,0,2.0,0.0,0.0,2.0,0.0,,,0.0,0,0,0,2.0
