Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-05 17:13:30,Bosnia and Herzegovina,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,1,5711,1,1,0.0,4.0,0.0,0.0,4.0,0.0,,,,0.0,0.0,0.0,5.0
2020-03-07 02:13:09,Bosnia and Herzegovina,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,9,9597,9,9,0.0,9.0,0.0,0.0,9.0,0.0,,,1.25,0.0,0.0,0.0,10.0
2020-03-10 05:13:07,Bosnia and Herzegovina,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,5,3800,5,5,0.0,5.0,0.0,0.0,5.0,0.0,,,-0.444,0.0,0.0,0.0,6.0
2020-03-11 20:00:00,Bosnia and Herzegovina,0.0,0.0,0.0,13.0,0.0,0.0,13.0,13.0,6,4292,6,6,0.0,13.0,0.0,0.0,13.0,0.0,,,1.6,0.0,0.0,0.0,15.0
2020-03-11 22:13:12,Bosnia and Herzegovina,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,7,4394,7,7,0.0,7.0,0.0,0.0,7.0,0.0,,,-0.462,0.0,0.0,0.0,8.0
2020-03-12 09:13:26,Bosnia and Herzegovina,0.0,0.0,0.0,11.0,0.0,0.0,11.0,11.0,8,4511,8,8,0.0,11.0,0.0,0.0,11.0,0.0,,,0.571,0.0,0.0,0.0,13.0
2020-03-14 12:33:03,Bosnia and Herzegovina,0.0,0.0,0.0,18.0,0.0,0.0,18.0,18.0,9,4780,9,9,0.0,18.0,0.0,0.0,18.0,0.0,,,0.636,0.0,0.0,0.0,21.0
2020-03-15 18:20:18,Bosnia and Herzegovina,0.0,0.0,0.0,24.0,0.0,0.0,24.0,24.0,10,5075,10,10,0.0,24.0,0.0,0.0,24.0,0.0,,,0.333,0.0,0.0,0.0,27.0
2020-03-16 21:13:17,Bosnia and Herzegovina,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,11,5473,11,11,0.0,25.0,0.0,0.0,25.0,0.0,,,0.042,0.0,0.0,0.0,28.0
2020-03-17 15:53:12,Bosnia and Herzegovina,0.0,0.0,0.0,26.0,0.0,2.0,26.0,24.0,12,5624,12,12,0.0,26.0,0.0,2.0,24.0,0.0,,inf,0.04,0.0,0.0,0.0,30.0
2020-03-18 12:13:09,Bosnia and Herzegovina,0.0,0.0,0.0,38.0,0.0,2.0,38.0,36.0,13,5891,13,13,0.0,38.0,0.0,2.0,36.0,0.0,,0.0,0.462,0.0,0.0,0.0,43.0
2020-03-19 17:13:24,Bosnia and Herzegovina,0.0,0.0,0.0,63.0,0.0,2.0,63.0,61.0,14,6189,14,14,0.0,63.0,0.0,2.0,61.0,0.0,,0.0,0.658,0.0,0.0,0.0,72.0
2020-03-20 20:43:02,Bosnia and Herzegovina,0.0,0.0,0.0,89.0,0.0,2.0,89.0,87.0,15,6469,15,15,0.0,89.0,0.0,2.0,87.0,0.0,,0.0,0.413,0.0,0.0,0.0,101.0
2020-03-21 17:43:03,Bosnia and Herzegovina,0.0,0.0,0.0,93.0,1.0,2.0,92.0,90.0,16,6658,16,16,1.0,93.0,1.0,2.0,90.0,0.011,inf,0.0,0.045,100.0,180.0,350.0,106.0
2020-03-22 23:45:00,Bosnia and Herzegovina,44.305347600000005,17.596146700000002,0.0,126.0,1.0,2.0,125.0,123.0,17,0,17,17,1.0,126.0,1.0,2.0,123.0,0.008,0.0,0.0,0.355,100.0,180.0,350.0,144.0
2020-03-23 23:19:21,Bosnia and Herzegovina,44.305347600000005,17.596146700000002,0.0,132.0,1.0,2.0,131.0,129.0,18,1,18,18,1.0,132.0,1.0,2.0,129.0,0.008,0.0,0.0,0.048,100.0,180.0,350.0,150.0
2020-03-24 23:37:15,Bosnia and Herzegovina,44.305347600000005,17.596146700000002,0.0,166.0,3.0,2.0,163.0,161.0,19,2,19,19,3.0,166.0,3.0,2.0,161.0,0.018,2.0,0.0,0.258,300.0,540.0,1050.0,189.0
2020-03-25 23:33:04,Bosnia and Herzegovina,44.305347600000005,17.596146700000002,0.0,176.0,3.0,2.0,173.0,171.0,20,3,20,20,3.0,176.0,3.0,2.0,171.0,0.017,0.0,0.0,0.06,300.0,540.0,1050.0,201.0
