Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-08 11:13:17,Bulgaria,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0,3456,0,0,0.0,4.0,0.0,0.0,4.0,0.0,,,,0.0,0.0,0.0,5.0
2020-03-09 14:43:03,Bulgaria,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,3,7376,3,3,0.0,8.0,0.0,0.0,8.0,0.0,,,1.0,0.0,0.0,0.0,9.0
2020-03-11 20:00:00,Bulgaria,0.0,0.0,0.0,23.0,1.0,0.0,22.0,22.0,3,4199,3,3,1.0,23.0,1.0,0.0,22.0,0.043,inf,,1.875,100.0,180.0,350.0,26.0
2020-03-11 22:13:12,Bulgaria,0.0,0.0,0.0,14.0,2.0,0.0,12.0,12.0,9,8758,9,9,2.0,14.0,2.0,0.0,12.0,0.143,1.0,,-0.391,200.0,360.0,700.0,16.0
2020-03-14 20:33:03,Bulgaria,0.0,0.0,0.0,41.0,2.0,0.0,39.0,39.0,6,4919,6,6,2.0,41.0,2.0,0.0,39.0,0.049,0.0,,1.929,200.0,360.0,700.0,47.0
2020-03-15 18:20:18,Bulgaria,0.0,0.0,0.0,51.0,2.0,0.0,49.0,49.0,7,5098,7,7,2.0,51.0,2.0,0.0,49.0,0.039,0.0,,0.244,200.0,360.0,700.0,58.0
2020-03-16 14:38:45,Bulgaria,0.0,0.0,0.0,52.0,2.0,0.0,50.0,50.0,8,5341,8,8,2.0,52.0,2.0,0.0,50.0,0.038,0.0,,0.02,200.0,360.0,700.0,59.0
2020-03-17 10:53:03,Bulgaria,0.0,0.0,0.0,67.0,2.0,0.0,65.0,65.0,9,5556,9,9,2.0,67.0,2.0,0.0,65.0,0.03,0.0,,0.288,200.0,360.0,700.0,76.0
2020-03-18 15:33:15,Bulgaria,0.0,0.0,0.0,92.0,2.0,0.0,90.0,90.0,10,5964,10,10,2.0,92.0,2.0,0.0,90.0,0.022,0.0,,0.373,200.0,360.0,700.0,105.0
2020-03-19 10:53:03,Bulgaria,0.0,0.0,0.0,94.0,3.0,0.0,91.0,91.0,11,6117,11,11,3.0,94.0,3.0,0.0,91.0,0.032,0.5,,0.022,300.0,540.0,1050.0,107.0
2020-03-20 16:13:11,Bulgaria,0.0,0.0,0.0,127.0,3.0,0.0,124.0,124.0,12,6423,12,12,3.0,127.0,3.0,0.0,124.0,0.024,0.0,,0.351,300.0,540.0,1050.0,145.0
2020-03-21 17:43:03,Bulgaria,0.0,0.0,0.0,163.0,3.0,3.0,160.0,157.0,13,6674,13,13,3.0,163.0,3.0,3.0,157.0,0.018,0.0,inf,0.283,300.0,540.0,1050.0,186.0
2020-03-22 23:45:00,Bulgaria,42.6073975,25.4856617,0.0,187.0,3.0,3.0,184.0,181.0,14,0,14,14,3.0,187.0,3.0,3.0,181.0,0.016,0.0,0.0,0.147,300.0,540.0,1050.0,213.0
2020-03-23 23:19:21,Bulgaria,42.6073975,25.4856617,0.0,201.0,3.0,3.0,198.0,195.0,15,1,15,15,3.0,201.0,3.0,3.0,195.0,0.015,0.0,0.0,0.075,300.0,540.0,1050.0,229.0
2020-03-24 23:37:15,Bulgaria,42.6073975,25.4856617,0.0,218.0,3.0,3.0,215.0,212.0,16,2,16,16,3.0,218.0,3.0,3.0,212.0,0.014,0.0,0.0,0.085,300.0,540.0,1050.0,249.0
2020-03-25 23:33:04,Bulgaria,42.6073975,25.4856617,0.0,242.0,3.0,4.0,239.0,235.0,17,3,17,17,3.0,242.0,3.0,4.0,235.0,0.012,0.0,0.333,0.11,300.0,540.0,1050.0,276.0
