Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-10 05:33:02,Burkina Faso,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,3808,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-03-11 09:33:12,Burkina Faso,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,3,8088,3,3,0.0,4.0,0.0,0.0,4.0,0.0,,,3.0,0.0,0.0,0.0,5.0
2020-03-11 20:00:00,Burkina Faso,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3,4335,3,3,0.0,2.0,0.0,0.0,2.0,0.0,,,-0.5,0.0,0.0,0.0,2.0
2020-03-13 22:22:02,Burkina Faso,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,9,9281,9,9,0.0,5.0,0.0,0.0,5.0,0.0,,,1.5,0.0,0.0,0.0,6.0
2020-03-16 14:38:45,Burkina Faso,0.0,0.0,0.0,30.0,0.0,0.0,30.0,30.0,13,10722,13,13,0.0,30.0,0.0,0.0,30.0,0.0,,,5.0,0.0,0.0,0.0,34.0
2020-03-18 12:33:03,Burkina Faso,0.0,0.0,0.0,20.0,1.0,0.0,19.0,19.0,8,5904,8,8,1.0,20.0,1.0,0.0,19.0,0.05,inf,,-0.333,100.0,180.0,350.0,23.0
2020-03-19 11:33:30,Burkina Faso,0.0,0.0,0.0,33.0,1.0,0.0,32.0,32.0,9,6143,9,9,1.0,33.0,1.0,0.0,32.0,0.03,0.0,,0.65,100.0,180.0,350.0,38.0
2020-03-20 15:13:21,Burkina Faso,0.0,0.0,0.0,40.0,1.0,0.0,39.0,39.0,10,6392,10,10,1.0,40.0,1.0,0.0,39.0,0.025,0.0,,0.212,100.0,180.0,350.0,46.0
2020-03-21 13:13:32,Burkina Faso,0.0,0.0,0.0,64.0,2.0,5.0,62.0,57.0,11,6610,11,11,2.0,64.0,2.0,5.0,57.0,0.031,1.0,inf,0.6,200.0,360.0,700.0,73.0
2020-03-22 23:45:00,Burkina Faso,12.075308300000001,-1.6880313999999998,0.0,75.0,4.0,5.0,71.0,66.0,12,0,12,12,4.0,75.0,4.0,5.0,66.0,0.053,1.0,0.0,0.172,400.0,720.0,1400.0,85.0
2020-03-23 23:19:21,Burkina Faso,12.075308300000001,-1.6880313999999998,0.0,99.0,4.0,5.0,95.0,90.0,13,1,13,13,4.0,99.0,4.0,5.0,90.0,0.04,0.0,0.0,0.32,400.0,720.0,1400.0,113.0
2020-03-24 23:37:15,Burkina Faso,12.075308300000001,-1.6880313999999998,0.0,114.0,4.0,7.0,110.0,103.0,14,2,14,14,4.0,114.0,4.0,7.0,103.0,0.035,0.0,0.4,0.152,400.0,720.0,1400.0,130.0
2020-03-25 23:33:04,Burkina Faso,12.075308300000001,-1.6880313999999998,0.0,146.0,4.0,10.0,142.0,132.0,15,3,15,15,4.0,146.0,4.0,10.0,132.0,0.027,0.0,0.429,0.281,400.0,720.0,1400.0,166.0
