Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-27 23:59:00,Cambodia,13.5066394,104.869423,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-01-28 23:00:00,Cambodia,13.5066394,104.869423,0.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2020-01-29 19:30:00,Cambodia,13.5066394,104.869423,0.0,1.0,0.0,0.0,1.0,1.0,2,2,2,2,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2020-01-30 16:00:00,Cambodia,13.5066394,104.869423,0.0,1.0,0.0,0.0,1.0,1.0,3,3,3,3,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2020-01-31 08:15:00,Cambodia,13.5066394,104.869423,0.0,1.0,0.0,0.0,1.0,1.0,4,4,4,4,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2020-01-31 08:15:53,Cambodia,135.066394,1048.69423,0.0,10.0,0.0,0.0,10.0,10.0,95,95,95,95,0.0,10.0,0.0,0.0,10.0,0.0,,,9.0,0.0,0.0,0.0,11.0
2020-01-31 23:59:00,Cambodia,13.5066394,104.869423,0.0,1.0,0.0,0.0,1.0,1.0,15,15,15,15,0.0,1.0,0.0,0.0,1.0,0.0,,,-0.9,0.0,0.0,0.0,1.0
2020-02-12 07:43:02,Cambodia,243.1195092000001,1887.6496140000008,0.0,25.0,0.0,25.0,25.0,0.0,700,8677,700,700,0.0,25.0,0.0,25.0,0.0,0.0,,inf,24.0,0.0,0.0,0.0,28.0
2020-03-08 04:53:03,Cambodia,0.0,0.0,0.0,6.0,0.0,3.0,6.0,3.0,126,10164,126,126,0.0,6.0,0.0,3.0,3.0,0.0,,-0.88,-0.76,0.0,0.0,0.0,7.0
2020-03-11 09:33:12,Cambodia,0.0,0.0,0.0,6.0,0.0,2.0,6.0,4.0,89,8090,89,89,0.0,6.0,0.0,2.0,4.0,0.0,,-0.333,0.0,0.0,0.0,0.0,7.0
2020-03-11 20:00:00,Cambodia,0.0,0.0,0.0,5.0,0.0,1.0,5.0,4.0,46,4185,46,46,0.0,5.0,0.0,1.0,4.0,0.0,,-0.5,-0.167,0.0,0.0,0.0,6.0
2020-03-14 12:53:07,Cambodia,0.0,0.0,0.0,21.0,0.0,3.0,21.0,18.0,144,14362,144,144,0.0,21.0,0.0,3.0,18.0,0.0,,2.0,3.2,0.0,0.0,0.0,24.0
2020-03-17 15:53:13,Cambodia,0.0,0.0,0.0,33.0,0.0,1.0,33.0,32.0,50,5638,50,50,0.0,33.0,0.0,1.0,32.0,0.0,,-0.667,0.571,0.0,0.0,0.0,38.0
2020-03-18 11:33:04,Cambodia,0.0,0.0,0.0,35.0,0.0,1.0,35.0,34.0,51,5842,51,51,0.0,35.0,0.0,1.0,34.0,0.0,,0.0,0.061,0.0,0.0,0.0,40.0
2020-03-19 10:53:03,Cambodia,0.0,0.0,0.0,37.0,0.0,1.0,37.0,36.0,52,6118,52,52,0.0,37.0,0.0,1.0,36.0,0.0,,0.0,0.057,0.0,0.0,0.0,42.0
2020-03-20 15:43:24,Cambodia,0.0,0.0,0.0,51.0,0.0,1.0,51.0,50.0,53,6410,53,53,0.0,51.0,0.0,1.0,50.0,0.0,,0.0,0.378,0.0,0.0,0.0,58.0
2020-03-21 17:43:03,Cambodia,0.0,0.0,0.0,53.0,0.0,1.0,53.0,52.0,54,6655,54,54,0.0,53.0,0.0,1.0,52.0,0.0,,0.0,0.039,0.0,0.0,0.0,60.0
2020-03-22 23:45:00,Cambodia,13.5066394,104.869423,0.0,84.0,0.0,2.0,84.0,82.0,55,34,55,55,0.0,84.0,0.0,2.0,82.0,0.0,,1.0,0.585,0.0,0.0,0.0,96.0
2020-03-23 23:19:21,Cambodia,13.5066394,104.869423,0.0,87.0,0.0,2.0,87.0,85.0,56,35,56,56,0.0,87.0,0.0,2.0,85.0,0.0,,0.0,0.036,0.0,0.0,0.0,99.0
2020-03-24 23:37:15,Cambodia,13.5066394,104.869423,0.0,91.0,0.0,4.0,91.0,87.0,57,36,57,57,0.0,91.0,0.0,4.0,87.0,0.0,,1.0,0.046,0.0,0.0,0.0,104.0
2020-03-25 23:33:04,Cambodia,13.5066394,104.869423,0.0,96.0,0.0,10.0,96.0,86.0,58,37,58,58,0.0,96.0,0.0,10.0,86.0,0.0,,1.5,0.055,0.0,0.0,0.0,109.0
