Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-06 15:43:02,Cameroon,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1,6129,1,1,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-03-08 05:23:03,Cameroon,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,20,17081,20,20,0.0,10.0,0.0,0.0,10.0,0.0,,,4.0,0.0,0.0,0.0,11.0
2020-03-11 20:00:00,Cameroon,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,7,4232,7,7,0.0,2.0,0.0,0.0,2.0,0.0,,,-0.8,0.0,0.0,0.0,2.0
2020-03-13 22:22:02,Cameroon,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,17,9319,17,17,0.0,4.0,0.0,0.0,4.0,0.0,,,1.0,0.0,0.0,0.0,5.0
2020-03-16 02:33:08,Cameroon,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,10,5266,10,10,0.0,4.0,0.0,0.0,4.0,0.0,,,0.0,0.0,0.0,0.0,5.0
2020-03-17 15:53:13,Cameroon,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,23,11279,23,23,0.0,20.0,0.0,0.0,20.0,0.0,,,4.0,0.0,0.0,0.0,23.0
2020-03-19 02:53:32,Cameroon,0.0,0.0,0.0,13.0,0.0,0.0,13.0,13.0,13,6069,13,13,0.0,13.0,0.0,0.0,13.0,0.0,,,-0.35,0.0,0.0,0.0,15.0
2020-03-20 14:43:04,Cameroon,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,14,6376,14,14,0.0,20.0,0.0,0.0,20.0,0.0,,,0.538,0.0,0.0,0.0,23.0
2020-03-21 12:43:08,Cameroon,0.0,0.0,0.0,27.0,0.0,0.0,27.0,27.0,15,6604,15,15,0.0,27.0,0.0,0.0,27.0,0.0,,,0.35,0.0,0.0,0.0,31.0
2020-03-22 23:45:00,Cameroon,4.6125522000000005,13.153581099999998,0.0,40.0,0.0,2.0,40.0,38.0,16,0,16,16,0.0,40.0,0.0,2.0,38.0,0.0,,inf,0.481,0.0,0.0,0.0,46.0
2020-03-23 23:19:21,Cameroon,4.6125522000000005,13.153581099999998,0.0,56.0,0.0,2.0,56.0,54.0,17,1,17,17,0.0,56.0,0.0,2.0,54.0,0.0,,0.0,0.4,0.0,0.0,0.0,64.0
2020-03-24 23:37:15,Cameroon,4.6125522000000005,13.153581099999998,0.0,66.0,0.0,2.0,66.0,64.0,18,2,18,18,0.0,66.0,0.0,2.0,64.0,0.0,,0.0,0.179,0.0,0.0,0.0,75.0
2020-03-25 23:33:04,Cameroon,4.6125522000000005,13.153581099999998,0.0,75.0,1.0,2.0,74.0,72.0,19,3,19,19,1.0,75.0,1.0,2.0,72.0,0.013,inf,0.0,0.136,100.0,180.0,350.0,85.0
