Date,Province/State,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-26,Ontario,1.0,,0,1.0,,0.0,1.0,0.0,,,,,,,1.0
2020-01-27,Ontario,1.0,,0,1.0,,0.0,1.0,0.0,,,0.0,,,,1.0
2020-01-28,British Columbia,1.0,,0,1.0,,0.0,2.0,0.0,,,1.0,,,,1.0
2020-01-28,Ontario,1.0,,0,1.0,,0.0,2.0,0.0,,,0.0,,,,1.0
2020-01-29,British Columbia,1.0,,0,1.0,,0.0,2.0,0.0,,,0.0,,,,1.0
2020-01-29,Ontario,1.0,,0,1.0,,0.0,4.0,0.0,,,1.0,,,,1.0
2020-01-30,British Columbia,1.0,,0,1.0,,0.0,4.0,0.0,,,0.0,,,,1.0
2020-01-30,Ontario,1.0,,0,1.0,,0.0,4.0,0.0,,,0.0,,,,1.0
2020-01-31,British Columbia,1.0,,0,1.0,,0.0,4.0,0.0,,,0.0,,,,1.0
2020-01-31,Ontario,3.0,,0,3.0,,0.0,4.0,0.0,,,0.0,,,,3.0
2020-02-01,British Columbia,1.0,,0,1.0,,0.0,5.0,0.0,,,0.25,,,,1.0
2020-02-01,Ontario,3.0,,0,3.0,,0.0,5.0,0.0,,,0.0,,,,3.0
2020-02-02,British Columbia,1.0,,0,1.0,,0.0,7.0,0.0,,,0.4,,,,1.0
2020-02-02,Ontario,3.0,,0,3.0,,0.0,7.0,0.0,,,0.0,,,,3.0
2020-02-03,British Columbia,1.0,,0,1.0,,0.0,7.0,0.0,,,0.0,,,,1.0
2020-02-03,Ontario,3.0,,0,3.0,,0.0,7.0,0.0,,,0.0,,,,3.0
2020-02-04,British Columbia,1.0,,0,1.0,,0.0,7.0,0.0,,,0.0,,,,1.0
2020-02-04,Ontario,3.0,,0,3.0,,0.0,7.0,0.0,,,0.0,,,,3.0
2020-02-05,British Columbia,2.0,,0,2.0,,0.0,7.0,0.0,,,0.0,,,,2.0
2020-02-05,Ontario,3.0,,0,3.0,,0.0,7.0,0.0,,,0.0,,,,3.0
2020-02-06,British Columbia,2.0,,0,2.0,,0.0,7.0,0.0,,,0.0,,,,2.0
2020-02-06,Ontario,3.0,,0,3.0,,0.0,7.0,0.0,,,0.0,,,,3.0
2020-02-07,British Columbia,4.0,,0,4.0,,0.0,8.0,0.0,,,0.143,,,,5.0
2020-02-07,Ontario,3.0,,0,3.0,,0.0,8.0,0.0,,,0.0,,,,3.0
2020-02-08,British Columbia,4.0,,0,4.0,,0.0,8.0,0.0,,,0.0,,,,5.0
2020-02-08,Ontario,3.0,,0,3.0,,0.0,8.0,0.0,,,0.0,,,,3.0
2020-02-09,British Columbia,4.0,,0,4.0,,0.0,9.0,0.0,,,0.125,,,,5.0
2020-02-09,Ontario,3.0,,0,3.0,,0.0,9.0,0.0,,,0.0,,,,3.0
2020-02-10,British Columbia,4.0,,0,4.0,,0.0,9.0,0.0,,,0.0,,,,5.0
2020-02-10,Ontario,3.0,,0,3.0,,0.0,10.0,0.0,,,0.111,,,,3.0
2020-02-11,British Columbia,4.0,,0,4.0,,0.0,11.0,0.0,,,0.1,,,,5.0
2020-02-11,Ontario,3.0,,0,3.0,,0.0,11.0,0.0,,,0.0,,,,3.0
2020-02-12,British Columbia,4.0,,0,4.0,,0.0,13.0,0.0,,,0.182,,,,5.0
2020-02-12,Ontario,3.0,,0,3.0,,0.0,14.0,0.0,,,0.077,,,,3.0
2020-02-13,British Columbia,4.0,,0,4.0,,0.0,20.0,0.0,,,0.429,,,,5.0
2020-02-13,Ontario,3.0,,0,3.0,,0.0,24.0,0.0,,,0.2,,,,3.0
2020-02-14,British Columbia,4.0,,0,4.0,,0.0,27.0,0.0,,,0.125,,,,5.0
2020-02-14,Ontario,3.0,,0,3.0,,0.0,30.0,0.0,,,0.111,,,,3.0
2020-02-15,British Columbia,4.0,,0,4.0,,0.0,33.0,0.0,,,0.1,,,,5.0
2020-02-15,Ontario,3.0,,0,3.0,,0.0,37.0,0.0,,,0.121,,,,3.0
2020-02-16,British Columbia,4.0,,0,4.0,,0.0,49.0,0.0,,,0.324,,,,5.0
2020-02-16,Ontario,3.0,,0,3.0,,0.0,54.0,0.0,,,0.102,,,,3.0
2020-02-17,British Columbia,5.0,,0,5.0,,0.0,64.0,0.0,,,0.185,,,,6.0
2020-02-17,Ontario,3.0,,0,3.0,,0.0,76.0,0.013,inf,,0.203,,,,3.0
2020-02-18,British Columbia,5.0,,0,5.0,,0.0,78.0,0.013,0.0,,0.026,,,,6.0
2020-02-18,Ontario,3.0,,0,3.0,,0.0,107.0,0.009,0.0,,0.367,,,,3.0
2020-02-19,British Columbia,5.0,,0,5.0,,0.0,116.0,0.009,0.0,,0.083,,,,6.0
2020-02-19,Ontario,3.0,,0,3.0,,0.0,192.0,0.005,0.0,,0.65,,,,3.0
2020-02-20,British Columbia,5.0,,0,5.0,,0.0,197.0,0.005,0.0,,0.026,,,,6.0
2020-02-20,Ontario,3.0,,0,3.0,,0.0,251.0,0.004,0.0,,0.273,,,,3.0
2020-02-21,British Columbia,6.0,,0,6.0,,0.0,411.0,0.01,3.0,,0.647,,,,7.0
2020-02-21,Ontario,3.0,,0,3.0,,0.0,473.0,0.01,0.25,,0.152,,,,3.0
2020-02-22,British Columbia,6.0,,0,6.0,,0.0,649.0,0.012,0.6,,0.374,,,,7.0
2020-02-22,Ontario,3.0,,0,3.0,,0.0,791.0,0.011,0.125,,0.218,,,,3.0
2020-02-23,British Columbia,6.0,,0,6.0,,0.0,931.0,0.013,0.333,,0.179,,,,7.0
2020-02-23,Ontario,3.0,,0,3.0,,0.0,1258.0,0.015,0.583,,0.354,,,,3.0
2020-02-24,British Columbia,6.0,,0,6.0,,0.0,1448.0,0.014,0.105,,0.15,,,,7.0
2020-02-24,Ontario,4.0,,0,4.0,,0.0,2063.0,0.012,0.19,,0.421,,,,5.0
2020-02-25,British Columbia,7.0,,0,7.0,,0.0,2764.0,0.009,0.04,,0.336,,,,8.0
2020-02-25,Ontario,4.0,,0,4.0,,0.0,3221.0,0.009,0.154,,0.165,,,,5.0
2020-02-26,British Columbia,7.0,,0,7.0,,0.0,,,,,,,,,8.0
2020-02-26,Ontario,4.0,,0,4.0,,0.0,,,,,,,,,5.0
2020-02-27,British Columbia,7.0,,0,7.0,,0.0,,,,,,,,,8.0
2020-02-27,Ontario,6.0,,0,6.0,,0.0,,,,,,,,,7.0
2020-02-28,British Columbia,7.0,,0,7.0,,0.0,,,,,,,,,8.0
2020-02-28,Ontario,6.0,,0,6.0,,0.0,,,,,,,,,7.0
2020-02-28,Quebec,1.0,,0,1.0,,0.0,,,,,,,,,1.0
2020-02-29,British Columbia,8.0,,0,8.0,,0.0,,,,,,,,,9.0
2020-02-29,Ontario,11.0,,0,11.0,,0.0,,,,,,,,,13.0
2020-02-29,Quebec,1.0,,0,1.0,,0.0,,,,,,,,,1.0
2020-03-01,British Columbia,8.0,,0,8.0,,0.0,,,,,,,,,9.0
2020-03-01,Ontario,15.0,,0,15.0,,0.0,,,,,,,,,17.0
2020-03-01,Quebec,1.0,,0,1.0,,0.0,,,,,,,,,1.0
2020-03-02,British Columbia,8.0,,0,8.0,,0.0,,,,,,,,,9.0
2020-03-02,Ontario,18.0,,0,18.0,,0.0,,,,,,,,,21.0
2020-03-02,Quebec,1.0,,0,1.0,,0.0,,,,,,,,,1.0
2020-03-03,British Columbia,9.0,,0,9.0,,0.0,,,,,,,,,10.0
2020-03-03,Ontario,20.0,,0,20.0,,0.0,,,,,,,,,23.0
2020-03-03,Quebec,1.0,,0,1.0,,0.0,,,,,,,,,1.0
2020-03-04,British Columbia,12.0,,0,12.0,,0.0,,,,,,,,,14.0
2020-03-04,Ontario,20.0,,0,20.0,,0.0,,,,,,,,,23.0
2020-03-04,Quebec,1.0,,0,1.0,,0.0,,,,,,,,,1.0
2020-03-05,British Columbia,13.0,,0,13.0,,0.0,,,,,,,,,15.0
2020-03-05,Ontario,22.0,,0,22.0,,0.0,,,,,,,,,25.0
2020-03-05,Quebec,2.0,,0,2.0,,0.0,,,,,,,,,2.0
2020-03-06,Alberta,1.0,,0,1.0,,0.0,,,,,,,,,1.0
2020-03-06,British Columbia,21.0,,0,21.0,,0.0,,,,,,,,,24.0
2020-03-06,Ontario,25.0,,0,25.0,,0.0,,,,,,,,,28.0
2020-03-06,Quebec,2.0,,0,2.0,,0.0,,,,,,,,,2.0
2020-03-07,Alberta,2.0,,0,2.0,,0.0,,,,,,,,,2.0
2020-03-07,British Columbia,21.0,,0,21.0,,0.0,,,,,,,,,24.0
2020-03-07,Ontario,28.0,,0,28.0,,0.0,,,,,,,,,32.0
2020-03-07,Quebec,3.0,,0,3.0,,0.0,,,,,,,,,3.0
2020-03-08,Alberta,4.0,,0,4.0,,0.0,,,,,,,,,5.0
2020-03-08,British Columbia,27.0,,0,27.0,,0.0,,,,,,,,,31.0
