Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-11 20:00:00,Congo (Kinshasa),0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0,4305,0,0,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-03-11 21:13:24,Congo (Kinshasa),0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3,8731,3,3,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0
2020-03-13 22:22:02,Congo (Kinshasa),0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,12,13954,12,12,0.0,6.0,0.0,0.0,6.0,0.0,,,2.0,0.0,0.0,0.0,7.0
2020-03-17 12:33:06,Congo (Kinshasa),0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,6,5595,6,6,0.0,3.0,0.0,0.0,3.0,0.0,,,-0.5,0.0,0.0,0.0,3.0
2020-03-18 11:33:04,Congo (Kinshasa),0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,7,5843,7,7,0.0,4.0,0.0,0.0,4.0,0.0,,,0.333,0.0,0.0,0.0,5.0
2020-03-19 10:53:03,Congo (Kinshasa),0.0,0.0,0.0,14.0,0.0,0.0,14.0,14.0,8,6108,8,8,0.0,14.0,0.0,0.0,14.0,0.0,,,2.5,0.0,0.0,0.0,16.0
2020-03-20 14:43:04,Congo (Kinshasa),0.0,0.0,0.0,18.0,0.0,0.0,18.0,18.0,9,6371,9,9,0.0,18.0,0.0,0.0,18.0,0.0,,,0.286,0.0,0.0,0.0,21.0
2020-03-21 12:43:08,Congo (Kinshasa),0.0,0.0,0.0,23.0,1.0,0.0,22.0,22.0,10,6592,10,10,1.0,23.0,1.0,0.0,22.0,0.043,inf,,0.278,100.0,180.0,350.0,26.0
2020-03-22 23:45:00,Congo (Kinshasa),-2.9814344,23.822263600000003,0.0,30.0,1.0,0.0,29.0,29.0,11,0,11,11,1.0,30.0,1.0,0.0,29.0,0.033,0.0,,0.304,100.0,180.0,350.0,34.0
2020-03-23 23:19:21,Congo (Kinshasa),-2.9814344,23.822263600000003,0.0,36.0,1.0,0.0,35.0,35.0,12,1,12,12,1.0,36.0,1.0,0.0,35.0,0.028,0.0,,0.2,100.0,180.0,350.0,41.0
2020-03-24 23:37:15,Congo (Kinshasa),-2.9814344,23.822263600000003,0.0,45.0,2.0,0.0,43.0,43.0,13,2,13,13,2.0,45.0,2.0,0.0,43.0,0.044,1.0,,0.25,200.0,360.0,700.0,51.0
2020-03-25 23:33:04,Congo (Kinshasa),-2.9814344,23.822263600000003,0.0,48.0,2.0,0.0,46.0,46.0,14,3,14,14,2.0,48.0,2.0,0.0,46.0,0.042,0.0,,0.067,200.0,360.0,700.0,55.0
