Date,Confirmed,Recovered,Province/State,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-11,1.0,,Cote d'Ivoire,0,1.0,0.0,,1.0,0.0,,,,0,0,0,1.0
2020-03-12,1.0,,Cote d'Ivoire,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-13,1.0,,Cote d'Ivoire,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-14,1.0,,Cote d'Ivoire,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-15,1.0,,Cote d'Ivoire,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-16,1.0,,Cote d'Ivoire,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-17,5.0,1.0,Cote d'Ivoire,0,5.0,0.0,1.0,4.0,0.0,,inf,4.0,0,0,0,6.0
2020-03-18,6.0,1.0,Cote d'Ivoire,0,6.0,0.0,1.0,5.0,0.0,,0.0,0.2,0,0,0,7.0
2020-03-19,9.0,1.0,Cote d'Ivoire,0,9.0,0.0,1.0,8.0,0.0,,0.0,0.5,0,0,0,10.0
2020-03-20,9.0,1.0,Cote d'Ivoire,0,9.0,0.0,1.0,8.0,0.0,,0.0,0.0,0,0,0,10.0
2020-03-21,14.0,1.0,Cote d'Ivoire,0,14.0,0.0,1.0,13.0,0.0,,0.0,0.556,0,0,0,16.0
2020-03-22,14.0,1.0,Cote d'Ivoire,0,14.0,0.0,1.0,13.0,0.0,,0.0,0.0,0,0,0,16.0
2020-03-23,25.0,1.0,Cote d'Ivoire,0,25.0,0.0,1.0,24.0,0.0,,0.0,0.786,0,0,0,28.0
2020-03-24,73.0,2.0,Cote d'Ivoire,0,73.0,0.0,2.0,71.0,0.0,,1.0,1.92,0,0,0,83.0
2020-03-25,80.0,,Cote d'Ivoire,0,80.0,0.0,,80.0,0.0,,-1.0,0.096,0,0,0,91.0
