Date,Province/State,Recovered,Death,Confirmed,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-19,Diamond Princess,1,0,0,0.0,0.0,1.0,-1.0,,,,,0,0,0,0.0
2020-02-20,Diamond Princess,1,0,0,0.0,0.0,1.0,-1.0,,,0.0,,0,0,0,0.0
2020-02-21,Diamond Princess,1,0,0,0.0,0.0,1.0,-1.0,,,0.0,,0,0,0,0.0
2020-02-22,Diamond Princess,1,0,0,0.0,0.0,1.0,-1.0,,,0.0,,0,0,0,0.0
2020-02-26,Diamond Princess,10,0,0,0.0,0.0,10.0,-10.0,,,9.0,,0,0,0,0.0
2020-02-27,Diamond Princess,10,0,0,0.0,0.0,10.0,-10.0,,,0.0,,0,0,0,0.0
2020-02-28,Diamond Princess,10,0,0,0.0,0.0,10.0,-10.0,,,0.0,,0,0,0,0.0
2020-02-29,Diamond Princess,10,0,0,0.0,0.0,10.0,-10.0,,,0.0,,0,0,0,0.0
2020-03-01,Diamond Princess,10,0,0,0.0,0.0,10.0,-10.0,,,0.0,,0,0,0,0.0
2020-03-02,Diamond Princess,10,0,0,0.0,0.0,10.0,-10.0,,,0.0,,0,0,0,0.0
2020-03-03,Diamond Princess,10,0,0,0.0,0.0,10.0,-10.0,,,0.0,,0,0,0,0.0
2020-03-04,Diamond Princess,10,0,0,0.0,0.0,10.0,-10.0,,,0.0,,0,0,0,0.0
2020-03-05,Diamond Princess,10,0,0,0.0,0.0,10.0,-10.0,,,0.0,,0,0,0,0.0
2020-03-06,Diamond Princess,40,0,0,0.0,0.0,40.0,-40.0,,,3.0,,0,0,0,0.0
2020-03-07,Diamond Princess,40,0,0,0.0,0.0,40.0,-40.0,,,0.0,,0,0,0,0.0
2020-03-08,Diamond Princess,40,0,0,0.0,0.0,40.0,-40.0,,,0.0,,0,0,0,0.0
2020-03-09,Diamond Princess,40,0,0,0.0,0.0,40.0,-40.0,,,0.0,,0,0,0,0.0
2020-03-10,Diamond Princess,40,0,0,0.0,0.0,40.0,-40.0,,,0.0,,0,0,0,0.0
2020-03-11,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,7.125,,0,0,0,0.0
2020-03-12,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,0.0,,0,0,0,0.0
2020-03-13,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,0.0,,0,0,0,0.0
2020-03-14,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,0.0,,0,0,0,0.0
2020-03-15,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,0.0,,0,0,0,0.0
2020-03-16,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,0.0,,0,0,0,0.0
2020-03-17,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,0.0,,0,0,0,0.0
2020-03-18,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,0.0,,0,0,0,0.0
2020-03-19,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,0.0,,0,0,0,0.0
2020-03-20,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,0.0,,0,0,0,0.0
2020-03-21,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,0.0,,0,0,0,0.0
2020-03-22,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,0.0,,0,0,0,0.0
2020-03-23,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,0.0,,0,0,0,0.0
2020-03-24,Diamond Princess,325,0,0,0.0,0.0,325.0,-325.0,,,0.0,,0,0,0,0.0
