Date,Recovered,Death,Confirmed,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-02-19,1,0,0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,-1.14,0.0,0.0,0.0
2020-02-20,1,0,0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.14,0.0,0.0,0.0
2020-02-21,1,0,0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.14,0.0,0.0,0.0
2020-02-22,1,0,0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.14,0.0,0.0,0.0
2020-02-26,10,0,0,0.0,0.0,10.0,-10.0,0.0,0.0,9.0,0.0,0.0,-9.0,-inf,0.0,0.0,0.0,0.0,9.0,inf,-11.399999999999999,0.0,0.0,0.0
2020-02-27,10,0,0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-11.399999999999999,0.0,0.0,0.0
2020-02-28,10,0,0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.399999999999999,0.0,0.0,0.0
2020-02-29,10,0,0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.399999999999999,0.0,0.0,0.0
2020-03-01,10,0,0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.399999999999999,0.0,0.0,0.0
2020-03-02,10,0,0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.399999999999999,0.0,0.0,0.0
2020-03-03,10,0,0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.399999999999999,0.0,0.0,0.0
