Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-11 20:00:00,Czechia,0.0,0.0,0.0,141.0,0.0,0.0,141.0,141.0,0,4301,0,0,0.0,141.0,0.0,0.0,141.0,0.0,,,,0.0,0.0,0.0,161.0
2020-03-11 22:13:12,Czechia,0.0,0.0,0.0,91.0,0.0,0.0,91.0,91.0,1,4393,1,1,0.0,91.0,0.0,0.0,91.0,0.0,,,-0.355,0.0,0.0,0.0,104.0
2020-03-12 01:33:03,Czechia,0.0,0.0,0.0,94.0,0.0,0.0,94.0,94.0,2,4455,2,2,0.0,94.0,0.0,0.0,94.0,0.0,,,0.033,0.0,0.0,0.0,107.0
2020-03-14 20:13:16,Czechia,0.0,0.0,0.0,189.0,0.0,0.0,189.0,189.0,3,4903,3,3,0.0,189.0,0.0,0.0,189.0,0.0,,,1.011,0.0,0.0,0.0,215.0
2020-03-15 18:20:18,Czechia,0.0,0.0,0.0,253.0,0.0,0.0,253.0,253.0,4,5127,4,4,0.0,253.0,0.0,0.0,253.0,0.0,,,0.339,0.0,0.0,0.0,288.0
2020-03-16 23:53:02,Czechia,0.0,0.0,0.0,298.0,0.0,3.0,298.0,295.0,5,5492,5,5,0.0,298.0,0.0,3.0,295.0,0.0,,inf,0.178,0.0,0.0,0.0,340.0
2020-03-17 15:33:06,Czechia,0.0,0.0,0.0,396.0,0.0,3.0,396.0,393.0,6,5619,6,6,0.0,396.0,0.0,3.0,393.0,0.0,,0.0,0.329,0.0,0.0,0.0,451.0
2020-03-18 10:33:04,Czechia,0.0,0.0,0.0,464.0,0.0,3.0,464.0,461.0,7,5818,7,7,0.0,464.0,0.0,3.0,461.0,0.0,,0.0,0.172,0.0,0.0,0.0,529.0
2020-03-19 18:13:20,Czechia,0.0,0.0,0.0,694.0,0.0,3.0,694.0,691.0,8,6194,8,8,0.0,694.0,0.0,3.0,691.0,0.0,,0.0,0.496,0.0,0.0,0.0,791.0
2020-03-20 20:13:15,Czechia,0.0,0.0,0.0,833.0,0.0,4.0,833.0,829.0,9,6455,9,9,0.0,833.0,0.0,4.0,829.0,0.0,,0.333,0.2,0.0,0.0,0.0,950.0
2020-03-21 20:43:02,Czechia,0.0,0.0,0.0,995.0,0.0,6.0,995.0,989.0,10,6696,10,10,0.0,995.0,0.0,6.0,989.0,0.0,,0.5,0.194,0.0,0.0,0.0,1134.0
2020-03-22 23:45:00,Czechia,49.816700299999994,15.4749544,0.0,1120.0,1.0,6.0,1119.0,1113.0,11,0,11,11,1.0,1120.0,1.0,6.0,1113.0,0.001,inf,0.0,0.126,100.0,180.0,350.0,1277.0
2020-03-23 23:19:21,Czechia,49.816700299999994,15.4749544,0.0,1236.0,1.0,7.0,1235.0,1228.0,12,1,12,12,1.0,1236.0,1.0,7.0,1228.0,0.001,0.0,0.167,0.104,100.0,180.0,350.0,1409.0
2020-03-24 23:37:15,Czechia,49.816700299999994,15.4749544,0.0,1394.0,3.0,10.0,1391.0,1381.0,13,2,13,13,3.0,1394.0,3.0,10.0,1381.0,0.002,2.0,0.429,0.128,300.0,540.0,1050.0,1589.0
2020-03-25 23:33:04,Czechia,49.816700299999994,15.4749544,0.0,1654.0,6.0,10.0,1648.0,1638.0,14,3,14,14,6.0,1654.0,6.0,10.0,1638.0,0.004,1.0,0.0,0.187,600.0,1080.0,2100.0,1886.0
