Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-27 16:23:03,Denmark,111.340498,20.666656600000003,0.0,2.0,0.0,0.0,2.0,2.0,1,1,1,1,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-02-29 18:03:05,Denmark,55.670249,10.333328300000002,0.0,3.0,0.0,0.0,3.0,3.0,2,2,2,2,0.0,3.0,0.0,0.0,3.0,0.0,,,0.5,0.0,0.0,0.0,3.0
2020-03-01 23:33:03,Denmark,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,7,4603,7,7,0.0,8.0,0.0,0.0,8.0,0.0,,,1.667,0.0,0.0,0.0,9.0
2020-03-03 15:13:26,Denmark,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,5,2544,5,5,0.0,6.0,0.0,0.0,6.0,0.0,,,-0.25,0.0,0.0,0.0,7.0
2020-03-04 00:03:15,Denmark,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,13,5287,13,13,0.0,20.0,0.0,0.0,20.0,0.0,,,2.333,0.0,0.0,0.0,23.0
2020-03-06 13:03:12,Denmark,0.0,0.0,0.0,46.0,0.0,2.0,46.0,44.0,17,6042,17,17,0.0,46.0,0.0,2.0,44.0,0.0,,inf,1.3,0.0,0.0,0.0,52.0
2020-03-08 14:53:11,Denmark,0.0,0.0,0.0,35.0,0.0,1.0,35.0,34.0,10,3479,10,10,0.0,35.0,0.0,1.0,34.0,0.0,,-0.5,-0.239,0.0,0.0,0.0,40.0
2020-03-09 18:13:11,Denmark,0.0,0.0,0.0,90.0,0.0,1.0,90.0,89.0,11,3699,11,11,0.0,90.0,0.0,1.0,89.0,0.0,,0.0,1.571,0.0,0.0,0.0,103.0
2020-03-10 17:33:34,Denmark,0.0,0.0,0.0,262.0,0.0,1.0,262.0,261.0,12,3892,12,12,0.0,262.0,0.0,1.0,261.0,0.0,,0.0,1.911,0.0,0.0,0.0,299.0
2020-03-11 20:00:00,Denmark,0.0,0.0,0.0,801.0,0.0,1.0,801.0,800.0,13,4216,13,13,0.0,801.0,0.0,1.0,803.0,0.0,,0.0,2.069,0.0,0.0,0.0,913.0
2020-03-11 20:00:00,Faroe Islands,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,14,4236,14,0,0.0,3.0,0.0,0.0,4.0,0.0,,-1.0,-0.995,0.0,0.0,0.0,3.0
2020-03-11 20:53:02,Faroe Islands,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,31,8707,31,3,0.0,4.0,0.0,0.0,441.0,0.0,,inf,109.5,0.0,0.0,0.0,5.0
2020-03-11 22:13:13,Denmark,0.0,0.0,0.0,442.0,0.0,1.0,442.0,441.0,17,4397,17,14,0.0,442.0,0.0,1.0,614.0,0.0,,0.0,0.391,0.0,0.0,0.0,504.0
2020-03-12 09:53:06,Denmark,0.0,0.0,0.0,615.0,0.0,1.0,615.0,614.0,18,4519,18,15,0.0,615.0,0.0,1.0,9.0,0.0,,-1.0,-0.985,0.0,0.0,0.0,701.0
2020-03-14 16:33:03,Faroe Islands,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,19,4845,19,3,0.0,9.0,0.0,0.0,825.0,0.001,inf,inf,90.889,0.0,0.0,0.0,10.0
2020-03-14 22:13:32,Denmark,0.0,0.0,0.0,827.0,1.0,1.0,826.0,825.0,20,4955,20,16,1.0,827.0,1.0,1.0,872.0,0.002,1.0,0.0,0.058,100.0,180.0,350.0,943.0
2020-03-15 18:20:19,Denmark,0.0,0.0,0.0,864.0,2.0,1.0,862.0,861.0,21,5156,21,17,2.0,864.0,2.0,1.0,18.0,0.0,-1.0,-1.0,-0.979,200.0,360.0,700.0,985.0
2020-03-15 18:20:19,Faroe Islands,0.0,0.0,0.0,11.0,0.0,0.0,11.0,11.0,22,5163,22,4,0.0,11.0,0.0,0.0,910.0,0.003,inf,inf,49.778,0.0,0.0,0.0,13.0
