Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-02-07,61.0,0.0,0,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,69.53999999999999,0.0,0.0,0.0
2020-02-08,61.0,0.0,0,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.53999999999999,0.0,0.0,0.0
2020-02-09,64.0,0.0,0,64.0,0.0,0.0,64.0,0.0,0.0,0.0,0.049,0.016333333333333335,3.0,inf,3.0,inf,0.0,0.0,0.0,0.0,72.96,0.0,0.0,0.0
2020-02-10,135.0,0.0,0,135.0,0.0,0.0,135.0,0.0,0.0,0.0,1.109,0.38599999999999995,71.0,22.666666666666668,71.0,22.666666666666668,0.0,0.0,0.0,0.0,153.89999999999998,0.0,0.0,0.0
2020-02-11,135.0,0.0,0,135.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.38599999999999995,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,153.89999999999998,0.0,0.0,0.0
2020-02-12,175.0,0.0,0,175.0,0.0,0.0,175.0,0.0,0.0,0.0,0.296,0.4683333333333333,40.0,inf,40.0,inf,0.0,0.0,0.0,0.0,199.49999999999997,0.0,0.0,0.0
2020-02-13,175.0,0.0,0,175.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.09866666666666668,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,199.49999999999997,0.0,0.0,0.0
2020-02-14,218.0,0.0,0,218.0,0.0,0.0,218.0,0.0,0.0,0.0,0.246,0.18066666666666667,43.0,inf,43.0,inf,0.0,0.0,0.0,0.0,248.51999999999998,0.0,0.0,0.0
2020-02-15,285.0,0.0,0,285.0,0.0,0.0,285.0,0.0,0.0,0.0,0.307,0.18433333333333332,67.0,0.558139534883721,67.0,0.558139534883721,0.0,0.0,0.0,0.0,324.9,0.0,0.0,0.0
2020-02-16,355.0,0.0,0,355.0,0.0,0.0,355.0,0.0,0.0,0.0,0.246,0.2663333333333333,70.0,0.04477611940298498,70.0,0.04477611940298498,0.0,0.0,0.0,0.0,404.7,0.0,0.0,0.0
