Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-14 23:53:02,Egypt,183.7783451,204.87282830000004,0.0,7.0,0.0,0.0,7.0,7.0,21,21,21,21,0.0,7.0,0.0,0.0,7.0,0.0,,,,0.0,0.0,0.0,8.0
2020-02-21 18:53:02,Egypt,183.7783451,204.87282830000004,0.0,7.0,0.0,0.0,7.0,7.0,70,70,70,70,0.0,7.0,0.0,0.0,7.0,0.0,,,0.0,0.0,0.0,0.0,8.0
2020-02-28 04:13:09,Egypt,52.508098600000004,58.5350938,0.0,2.0,0.0,2.0,2.0,0.0,29,29,29,29,0.0,2.0,0.0,2.0,0.0,0.0,,inf,-0.714,0.0,0.0,0.0,2.0
2020-03-01 23:33:03,Egypt,0.0,0.0,0.0,8.0,0.0,4.0,8.0,4.0,70,9193,70,70,0.0,8.0,0.0,4.0,4.0,0.0,,1.0,3.0,0.0,0.0,0.0,9.0
2020-03-05 13:53:03,Egypt,0.0,0.0,0.0,3.0,0.0,1.0,3.0,2.0,20,2821,20,20,0.0,3.0,0.0,1.0,2.0,0.0,,-0.75,-0.625,0.0,0.0,0.0,3.0
2020-03-06 13:03:13,Egypt,0.0,0.0,0.0,30.0,0.0,2.0,30.0,28.0,43,6050,43,43,0.0,30.0,0.0,2.0,28.0,0.0,,1.0,9.0,0.0,0.0,0.0,34.0
2020-03-08 19:03:11,Egypt,0.0,0.0,0.0,49.0,1.0,1.0,48.0,47.0,23,3526,23,23,1.0,49.0,1.0,1.0,47.0,0.02,inf,-0.5,0.633,100.0,180.0,350.0,56.0
2020-03-09 10:03:17,Egypt,0.0,0.0,0.0,55.0,1.0,12.0,54.0,42.0,24,3660,24,24,1.0,55.0,1.0,12.0,42.0,0.018,0.0,11.0,0.122,100.0,180.0,350.0,63.0
2020-03-10 05:13:07,Egypt,0.0,0.0,0.0,59.0,1.0,1.0,58.0,57.0,25,3799,25,25,1.0,59.0,1.0,1.0,57.0,0.017,0.0,-0.917,0.073,100.0,180.0,350.0,67.0
2020-03-11 20:00:00,Egypt,0.0,0.0,0.0,80.0,2.0,27.0,78.0,51.0,26,4259,26,26,2.0,80.0,2.0,27.0,51.0,0.025,1.0,26.0,0.356,200.0,360.0,700.0,91.0
2020-03-11 22:13:12,Egypt,0.0,0.0,0.0,60.0,1.0,27.0,59.0,32.0,27,4395,27,27,1.0,60.0,1.0,27.0,32.0,0.017,-0.5,0.0,-0.25,100.0,180.0,350.0,68.0
