Date,Confirmed,Province/State,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-14,1.0,Eswatini,0,0,1.0,0.0,0.0,1.0,0.0,,,,0,0,0,1.0
2020-03-15,1.0,Eswatini,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-16,1.0,Eswatini,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-17,1.0,Eswatini,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-18,1.0,Eswatini,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-19,1.0,Eswatini,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-20,1.0,Eswatini,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-21,1.0,Eswatini,0,0,1.0,0.0,0.0,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-22,4.0,Eswatini,0,0,4.0,0.0,0.0,4.0,0.0,,,3.0,0,0,0,5.0
2020-03-23,4.0,Eswatini,0,0,4.0,0.0,0.0,4.0,0.0,,,0.0,0,0,0,5.0
