Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-29 19:30:00,Finland,63.2467777,25.9209164,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-01-30 16:00:00,Finland,63.2467777,25.9209164,0.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2020-01-31 08:15:00,Finland,63.2467777,25.9209164,0.0,1.0,0.0,0.0,1.0,1.0,2,2,2,2,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2020-01-31 08:15:53,Finland,632.4677770000001,259.20916400000004,0.0,10.0,0.0,0.0,10.0,10.0,75,75,75,75,0.0,10.0,0.0,0.0,10.0,0.0,,,9.0,0.0,0.0,0.0,11.0
2020-01-31 23:59:00,Finland,63.2467777,25.9209164,0.0,1.0,0.0,0.0,1.0,1.0,13,13,13,13,0.0,1.0,0.0,0.0,1.0,0.0,,,-0.9,0.0,0.0,0.0,1.0
2020-02-12 00:03:12,Finland,885.4548878000003,362.8928296000001,0.0,14.0,0.0,14.0,14.0,0.0,287,287,287,287,0.0,14.0,0.0,14.0,0.0,0.0,,inf,13.0,0.0,0.0,0.0,16.0
2020-02-26 19:03:08,Finland,189.74033310000002,77.7627492,0.0,6.0,0.0,3.0,6.0,3.0,87,87,87,87,0.0,6.0,0.0,3.0,3.0,0.0,,-0.786,-0.571,0.0,0.0,0.0,7.0
2020-02-29 05:23:03,Finland,63.2467777,25.9209164,0.0,3.0,0.0,1.0,3.0,2.0,31,31,31,31,0.0,3.0,0.0,1.0,2.0,0.0,,-0.667,-0.5,0.0,0.0,0.0,3.0
2020-03-01 23:23:02,Finland,0.0,0.0,0.0,24.0,0.0,4.0,24.0,20.0,134,9125,134,134,0.0,24.0,0.0,4.0,20.0,0.0,,3.0,7.0,0.0,0.0,0.0,27.0
2020-03-05 13:53:03,Finland,0.0,0.0,0.0,12.0,0.0,1.0,12.0,11.0,36,2818,36,36,0.0,12.0,0.0,1.0,11.0,0.0,,-0.75,-0.5,0.0,0.0,0.0,14.0
