Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-24 17:00:00,France,46.603353999999996,1.8883334999999999,0.0,2.0,0.0,0.0,2.0,2.0,0,0,0,0,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-01-25 17:00:00,France,46.603353999999996,1.8883334999999999,0.0,3.0,0.0,0.0,3.0,3.0,1,1,1,1,0.0,3.0,0.0,0.0,3.0,0.0,,,0.5,0.0,0.0,0.0,3.0
2020-01-26 16:00:00,France,46.603353999999996,1.8883334999999999,0.0,3.0,0.0,0.0,3.0,3.0,2,2,2,2,0.0,3.0,0.0,0.0,3.0,0.0,,,0.0,0.0,0.0,0.0,3.0
2020-01-27 23:59:00,France,46.603353999999996,1.8883334999999999,0.0,3.0,0.0,0.0,3.0,3.0,3,3,3,3,0.0,3.0,0.0,0.0,3.0,0.0,,,0.0,0.0,0.0,0.0,3.0
2020-01-28 23:00:00,France,46.603353999999996,1.8883334999999999,0.0,4.0,0.0,0.0,4.0,4.0,4,4,4,4,0.0,4.0,0.0,0.0,4.0,0.0,,,0.333,0.0,0.0,0.0,5.0
2020-01-29 19:30:00,France,46.603353999999996,1.8883334999999999,0.0,5.0,0.0,0.0,5.0,5.0,5,5,5,5,0.0,5.0,0.0,0.0,5.0,0.0,,,0.25,0.0,0.0,0.0,6.0
2020-01-30 16:00:00,France,46.603353999999996,1.8883334999999999,0.0,5.0,0.0,0.0,5.0,5.0,6,6,6,6,0.0,5.0,0.0,0.0,5.0,0.0,,,0.0,0.0,0.0,0.0,6.0
2020-01-31 23:59:00,France,46.603353999999996,1.8883334999999999,0.0,5.0,0.0,0.0,5.0,5.0,7,7,7,7,0.0,5.0,0.0,0.0,5.0,0.0,,,0.0,0.0,0.0,0.0,6.0
2020-02-01 01:52:00,France,46.603353999999996,1.8883334999999999,0.0,6.0,0.0,0.0,6.0,6.0,8,8,8,8,0.0,6.0,0.0,0.0,6.0,0.0,,,0.2,0.0,0.0,0.0,7.0
2020-02-01 01:52:40,France,279.620124,11.330001,0.0,36.0,0.0,0.0,36.0,36.0,69,69,69,69,0.0,36.0,0.0,0.0,36.0,0.0,,,5.0,0.0,0.0,0.0,41.0
2020-02-08 09:53:01,France,186.41341599999998,7.5533339999999995,0.0,44.0,0.0,0.0,44.0,44.0,66,66,66,66,0.0,44.0,0.0,0.0,44.0,0.0,,,0.222,0.0,0.0,0.0,50.0
2020-02-12 18:53:02,France,139.810062,5.6650005,0.0,33.0,0.0,6.0,33.0,27.0,60,60,60,60,0.0,33.0,0.0,6.0,27.0,0.0,,inf,-0.25,0.0,0.0,0.0,38.0
2020-02-15 20:53:02,France,466.0335399999999,18.883335000000002,0.0,120.0,10.0,40.0,110.0,70.0,265,265,265,265,10.0,120.0,10.0,40.0,70.0,0.083,inf,5.667,2.636,1000.0,1800.0,3500.0,137.0
2020-02-25 21:23:03,France,46.603353999999996,1.8883334999999999,0.0,14.0,1.0,11.0,13.0,2.0,32,32,32,32,1.0,14.0,1.0,11.0,2.0,0.071,-0.9,-0.725,-0.883,100.0,180.0,350.0,16.0
2020-02-26 20:03:06,France,46.603353999999996,1.8883334999999999,0.0,18.0,2.0,11.0,16.0,5.0,33,33,33,33,2.0,18.0,2.0,11.0,5.0,0.111,1.0,0.0,0.286,200.0,360.0,700.0,21.0
2020-02-27 22:13:10,France,46.603353999999996,1.8883334999999999,0.0,38.0,2.0,11.0,36.0,25.0,34,34,34,34,2.0,38.0,2.0,11.0,25.0,0.053,0.0,0.0,1.111,200.0,360.0,700.0,43.0
2020-02-28 20:13:09,France,46.603353999999996,1.8883334999999999,0.0,57.0,2.0,11.0,55.0,44.0,35,35,35,35,2.0,57.0,2.0,11.0,44.0,0.035,0.0,0.0,0.5,200.0,360.0,700.0,65.0
2020-02-29 19:03:04,France,46.603353999999996,1.8883334999999999,0.0,100.0,2.0,12.0,98.0,86.0,36,36,36,36,2.0,100.0,2.0,12.0,86.0,0.02,0.0,0.091,0.754,200.0,360.0,700.0,114.0
2020-03-01 20:43:02,France,0.0,0.0,0.0,130.0,2.0,12.0,128.0,116.0,37,2269,37,37,2.0,130.0,2.0,12.0,116.0,0.015,0.0,0.0,0.3,200.0,360.0,700.0,148.0
