Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-03-04,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,3.42,0.0,0.0,0.0
2020-03-05,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0
2020-03-06,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0
2020-03-07,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,2.333,0.7776666666666667,7.0,inf,7.0,inf,0.0,0.0,0.0,0.0,11.399999999999999,0.0,0.0,0.0
2020-03-08,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.7776666666666667,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,11.399999999999999,0.0,0.0,0.0
2020-03-09,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.7776666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.399999999999999,0.0,0.0,0.0
2020-03-10,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.399999999999999,0.0,0.0,0.0
2020-03-11,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.2,0.06666666666666667,2.0,inf,2.0,inf,0.0,0.0,0.0,0.0,13.68,0.0,0.0,0.0
2020-03-12,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,13.68,0.0,0.0,0.0
2020-03-13,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.667,0.289,8.0,inf,8.0,inf,0.0,0.0,0.0,0.0,22.799999999999997,0.0,0.0,0.0
2020-03-14,27.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,0.35,0.339,7.0,-0.125,7.0,-0.125,0.0,0.0,0.0,0.0,30.779999999999998,0.0,0.0,0.0
2020-03-15,33.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,0.222,0.41300000000000003,6.0,-0.1428571428571429,6.0,-0.1428571428571429,0.0,0.0,0.0,0.0,37.62,0.0,0.0,0.0
2020-03-16,50.0,1.0,0.0,50.0,1.0,0.0,49.0,0.02,inf,0.0,0.515,0.36233333333333334,16.0,1.6666666666666665,17.0,1.8333333333333335,1.0,inf,0.0,0.0,55.85999999999999,100.0,180.0,350.0
2020-03-17,63.0,1.0,0.0,63.0,1.0,0.0,62.0,0.016,0.0,0.0,0.26,0.3323333333333333,13.0,-0.1875,13.0,-0.23529411764705888,0.0,-1.0,0.0,0.0,70.67999999999999,100.0,180.0,350.0
2020-03-18,81.0,1.0,0.0,81.0,1.0,0.0,80.0,0.012,0.0,0.0,0.286,0.35366666666666663,18.0,0.3846153846153846,18.0,0.3846153846153846,0.0,0.0,0.0,0.0,91.19999999999999,100.0,180.0,350.0
2020-03-19,99.0,1.0,0.0,99.0,1.0,0.0,98.0,0.01,0.0,0.0,0.222,0.25599999999999995,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,111.71999999999998,100.0,180.0,350.0
2020-03-20,146.0,1.0,0.0,146.0,1.0,0.0,145.0,0.007,0.0,0.0,0.475,0.3276666666666666,47.0,1.6111111111111112,47.0,1.6111111111111112,0.0,0.0,0.0,0.0,165.29999999999998,100.0,180.0,350.0
2020-03-21,181.0,1.0,0.0,181.0,1.0,0.0,180.0,0.006,0.0,0.0,0.24,0.3123333333333333,35.0,-0.25531914893617025,35.0,-0.25531914893617025,0.0,0.0,0.0,0.0,205.2,100.0,180.0,350.0
2020-03-22,225.0,2.0,6.0,225.0,2.0,6.0,217.0,0.009,1.0,inf,0.243,0.31933333333333325,37.0,0.05714285714285716,44.0,0.2571428571428571,1.0,inf,6.0,inf,247.37999999999997,200.0,360.0,700.0
2020-03-23,267.0,2.0,6.0,267.0,2.0,6.0,259.0,0.007,0.0,0.0,0.187,0.22333333333333327,42.0,0.1351351351351351,42.0,-0.045454545454545414,0.0,-1.0,0.0,-1.0,295.26,200.0,360.0,700.0
2020-03-24,318.0,2.0,7.0,318.0,2.0,7.0,309.0,0.006,0.0,0.167,0.191,0.20699999999999993,50.0,0.19047619047619047,51.0,0.2142857142857142,0.0,0.0,1.0,inf,352.26,200.0,360.0,700.0
2020-03-25,367.0,2.0,0.0,367.0,2.0,0.0,365.0,0.005,0.0,-1.0,0.154,0.17733333333333326,56.0,0.1200000000000001,49.0,-0.039215686274509776,0.0,0.0,-7.0,-8.0,416.09999999999997,200.0,360.0,700.0
