Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-28 23:00:00,Bavaria,48.9467562,11.4038717,0.0,4.0,0.0,0.0,4.0,4.0,0,0,0,0,0.0,4.0,0.0,0.0,4.0,0.0,,,,0.0,0.0,0.0,5.0
2020-01-29 19:30:00,Bavaria,48.9467562,11.4038717,0.0,4.0,0.0,0.0,4.0,4.0,1,1,1,1,0.0,4.0,0.0,0.0,4.0,0.0,,,0.0,0.0,0.0,0.0,5.0
2020-01-30 16:00:00,Bavaria,48.9467562,11.4038717,0.0,4.0,0.0,0.0,4.0,4.0,2,2,2,2,0.0,4.0,0.0,0.0,4.0,0.0,,,0.0,0.0,0.0,0.0,5.0
2020-01-31 23:59:00,Bavaria,48.9467562,11.4038717,0.0,5.0,0.0,0.0,5.0,5.0,3,3,3,3,0.0,5.0,0.0,0.0,5.0,0.0,,,0.25,0.0,0.0,0.0,6.0
2020-02-01 18:33:00,Germany,51.0834196,10.4234469,0.0,8.0,0.0,0.0,8.0,8.0,4,0,4,0,0.0,8.0,0.0,0.0,8.0,0.0,,,0.6,0.0,0.0,0.0,9.0
2020-02-02 18:03:05,Germany,51.0834196,10.4234469,0.0,10.0,0.0,0.0,10.0,10.0,5,1,5,1,0.0,10.0,0.0,0.0,10.0,0.0,,,0.25,0.0,0.0,0.0,11.0
2020-02-03 20:53:02,Germany,204.3336784,41.6937876,0.0,48.0,0.0,0.0,48.0,48.0,30,14,30,14,0.0,48.0,0.0,0.0,48.0,0.0,,,3.8,0.0,0.0,0.0,55.0
2020-02-07 16:33:03,Germany,102.1668392,20.8468938,0.0,26.0,0.0,0.0,26.0,26.0,21,13,21,13,0.0,26.0,0.0,0.0,26.0,0.0,,,-0.458,0.0,0.0,0.0,30.0
2020-02-09 06:13:11,Germany,102.1668392,20.8468938,0.0,28.0,0.0,0.0,28.0,28.0,25,17,25,17,0.0,28.0,0.0,0.0,28.0,0.0,,,0.077,0.0,0.0,0.0,32.0
2020-02-11 19:33:03,Germany,102.1668392,20.8468938,0.0,32.0,0.0,0.0,32.0,32.0,29,21,29,21,0.0,32.0,0.0,0.0,32.0,0.0,,,0.143,0.0,0.0,0.0,36.0
2020-02-13 15:13:11,Germany,255.417098,52.1172345,0.0,80.0,0.0,5.0,80.0,75.0,90,70,90,70,0.0,80.0,0.0,5.0,75.0,0.0,,inf,1.5,0.0,0.0,0.0,91.0
2020-02-18 17:03:03,Germany,153.25025879999998,31.2703407,0.0,48.0,0.0,36.0,48.0,12.0,66,54,66,54,0.0,48.0,0.0,36.0,12.0,0.0,,6.2,-0.4,0.0,0.0,0.0,55.0
2020-02-21 23:03:13,Germany,204.3336784,41.6937876,0.0,64.0,0.0,56.0,64.0,8.0,102,86,102,86,0.0,64.0,0.0,56.0,8.0,0.0,,0.556,0.333,0.0,0.0,0.0,73.0
2020-02-25 21:33:02,Germany,51.0834196,10.4234469,0.0,17.0,0.0,14.0,17.0,3.0,28,24,28,24,0.0,17.0,0.0,14.0,3.0,0.0,,-0.75,-0.734,0.0,0.0,0.0,19.0
