Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-14 23:13:05,Ghana,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0,4997,0,0,0.0,3.0,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,3.0
2020-03-15 18:20:18,Ghana,0.0,0.0,0.0,12.0,0.0,0.0,12.0,12.0,3,10206,3,3,0.0,12.0,0.0,0.0,12.0,0.0,,,3.0,0.0,0.0,0.0,14.0
2020-03-17 19:33:02,Ghana,0.0,0.0,0.0,14.0,0.0,0.0,14.0,14.0,7,11375,7,7,0.0,14.0,0.0,0.0,14.0,0.0,,,0.167,0.0,0.0,0.0,16.0
2020-03-19 17:13:24,Ghana,0.0,0.0,0.0,11.0,0.0,0.0,11.0,11.0,5,6189,5,5,0.0,11.0,0.0,0.0,11.0,0.0,,,-0.214,0.0,0.0,0.0,13.0
2020-03-20 15:43:24,Ghana,0.0,0.0,0.0,16.0,0.0,0.0,16.0,16.0,6,6410,6,6,0.0,16.0,0.0,0.0,16.0,0.0,,,0.455,0.0,0.0,0.0,18.0
2020-03-21 23:13:17,Ghana,0.0,0.0,0.0,19.0,1.0,0.0,18.0,18.0,7,6725,7,7,1.0,19.0,1.0,0.0,18.0,0.053,inf,,0.188,100.0,180.0,350.0,22.0
2020-03-22 23:45:00,Ghana,8.0300284,-1.0800271000000001,0.0,23.0,1.0,0.0,22.0,22.0,8,0,8,8,1.0,23.0,1.0,0.0,22.0,0.043,0.0,,0.211,100.0,180.0,350.0,26.0
2020-03-23 23:19:21,Ghana,8.0300284,-1.0800271000000001,0.0,27.0,2.0,0.0,25.0,25.0,9,1,9,9,2.0,27.0,2.0,0.0,25.0,0.074,1.0,,0.174,200.0,360.0,700.0,31.0
2020-03-24 23:37:15,Ghana,8.0300284,-1.0800271000000001,0.0,53.0,2.0,0.0,51.0,51.0,10,2,10,10,2.0,53.0,2.0,0.0,51.0,0.038,0.0,,0.963,200.0,360.0,700.0,60.0
2020-03-25 23:33:04,Ghana,8.0300284,-1.0800271000000001,0.0,93.0,4.0,0.0,89.0,89.0,11,3,11,11,4.0,93.0,4.0,0.0,89.0,0.043,1.0,,0.755,400.0,720.0,1400.0,106.0
