Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-14 01:33:03,Guatemala,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1,9445,1,1,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-03-16 14:38:45,Guatemala,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2,5353,2,2,1.0,2.0,1.0,0.0,1.0,0.5,inf,,0.0,100.0,180.0,350.0,2.0
2020-03-17 12:13:16,Guatemala,0.0,0.0,0.0,12.0,2.0,0.0,10.0,10.0,7,11177,7,7,2.0,12.0,2.0,0.0,10.0,0.167,1.0,,5.0,200.0,360.0,700.0,14.0
2020-03-19 17:13:24,Guatemala,0.0,0.0,0.0,9.0,1.0,0.0,8.0,8.0,5,6187,5,5,1.0,9.0,1.0,0.0,8.0,0.111,-0.5,,-0.25,100.0,180.0,350.0,10.0
2020-03-20 16:13:19,Guatemala,0.0,0.0,0.0,12.0,1.0,0.0,11.0,11.0,6,6424,6,6,1.0,12.0,1.0,0.0,11.0,0.083,0.0,,0.333,100.0,180.0,350.0,14.0
2020-03-21 21:13:14,Guatemala,0.0,0.0,0.0,17.0,1.0,0.0,16.0,16.0,7,6708,7,7,1.0,17.0,1.0,0.0,16.0,0.059,0.0,,0.417,100.0,180.0,350.0,19.0
2020-03-22 23:45:00,Guatemala,15.635608800000002,-89.8988087,0.0,19.0,1.0,0.0,18.0,18.0,8,0,8,8,1.0,19.0,1.0,0.0,18.0,0.053,0.0,,0.118,100.0,180.0,350.0,22.0
2020-03-23 23:19:21,Guatemala,15.635608800000002,-89.8988087,0.0,20.0,1.0,0.0,19.0,19.0,9,1,9,9,1.0,20.0,1.0,0.0,19.0,0.05,0.0,,0.053,100.0,180.0,350.0,23.0
2020-03-24 23:37:15,Guatemala,15.635608800000002,-89.8988087,0.0,21.0,1.0,0.0,20.0,20.0,10,2,10,10,1.0,21.0,1.0,0.0,20.0,0.048,0.0,,0.05,100.0,180.0,350.0,24.0
2020-03-25 23:33:04,Guatemala,15.635608800000002,-89.8988087,0.0,24.0,1.0,4.0,23.0,19.0,11,3,11,11,1.0,24.0,1.0,4.0,19.0,0.042,0.0,inf,0.143,100.0,180.0,350.0,27.0
