Date,Confirmed,Death,Province/State,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-12,1,1,Guyana,0,1.0,1.0,0.0,0.0,1.0,,,,100,180,350,1.0
2020-03-13,1,1,Guyana,0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,100,180,350,1.0
2020-03-14,1,1,Guyana,0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,100,180,350,1.0
2020-03-15,4,1,Guyana,0,4.0,1.0,0.0,3.0,0.25,0.0,,3.0,100,180,350,5.0
2020-03-16,4,1,Guyana,0,4.0,1.0,0.0,3.0,0.25,0.0,,0.0,100,180,350,5.0
2020-03-17,7,1,Guyana,0,7.0,1.0,0.0,6.0,0.143,0.0,,0.75,100,180,350,8.0
2020-03-18,7,1,Guyana,0,7.0,1.0,0.0,6.0,0.143,0.0,,0.0,100,180,350,8.0
2020-03-19,7,1,Guyana,0,7.0,1.0,0.0,6.0,0.143,0.0,,0.0,100,180,350,8.0
2020-03-20,7,1,Guyana,0,7.0,1.0,0.0,6.0,0.143,0.0,,0.0,100,180,350,8.0
2020-03-21,7,1,Guyana,0,7.0,1.0,0.0,6.0,0.143,0.0,,0.0,100,180,350,8.0
2020-03-22,19,1,Guyana,0,19.0,1.0,0.0,18.0,0.053,0.0,,1.714,100,180,350,22.0
2020-03-23,20,1,Guyana,0,20.0,1.0,0.0,19.0,0.05,0.0,,0.053,100,180,350,23.0
2020-03-24,5,1,Guyana,0,5.0,1.0,0.0,4.0,0.2,0.0,,-0.75,100,180,350,6.0
2020-03-25,5,1,Guyana,0,5.0,1.0,0.0,4.0,0.2,0.0,,0.0,100,180,350,6.0
