Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-03-12,1,1,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,100.0,180.0,350.0
2020-03-13,1,1,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,180.0,350.0
2020-03-14,1,1,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,180.0,350.0
2020-03-15,4,1,0,4.0,1.0,0.0,3.0,0.25,0.0,0.0,3.0,1.0,3.0,inf,3.0,inf,0.0,0.0,0.0,0.0,3.42,100.0,180.0,350.0
2020-03-16,4,1,0,4.0,1.0,0.0,3.0,0.25,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,3.42,100.0,180.0,350.0
2020-03-17,7,1,0,7.0,1.0,0.0,6.0,0.143,0.0,0.0,0.75,1.25,3.0,inf,3.0,inf,0.0,0.0,0.0,0.0,6.84,100.0,180.0,350.0
2020-03-18,7,1,0,7.0,1.0,0.0,6.0,0.143,0.0,0.0,0.0,0.25,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,6.84,100.0,180.0,350.0
2020-03-19,7,1,0,7.0,1.0,0.0,6.0,0.143,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84,100.0,180.0,350.0
2020-03-20,7,1,0,7.0,1.0,0.0,6.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84,100.0,180.0,350.0
2020-03-21,7,1,0,7.0,1.0,0.0,6.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84,100.0,180.0,350.0
2020-03-22,19,1,0,19.0,1.0,0.0,18.0,0.053,0.0,0.0,1.714,0.5713333333333334,12.0,inf,12.0,inf,0.0,0.0,0.0,0.0,20.52,100.0,180.0,350.0
2020-03-23,20,1,0,20.0,1.0,0.0,19.0,0.05,0.0,0.0,0.053,0.589,1.0,-0.9166666666666666,1.0,-0.9166666666666666,0.0,0.0,0.0,0.0,21.659999999999997,100.0,180.0,350.0
2020-03-24,5,1,0,5.0,1.0,0.0,4.0,0.2,0.0,0.0,-0.75,0.33899999999999997,-15.0,-16.0,-15.0,-16.0,0.0,0.0,0.0,0.0,4.56,100.0,180.0,350.0
2020-03-25,5,1,0,5.0,1.0,0.0,4.0,0.2,0.0,0.0,0.0,-0.23233333333333336,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,4.56,100.0,180.0,350.0
