Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-02-28,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,1.14,0.0,0.0,0.0
2020-02-29,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-01,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.6666666666666666,2.0,inf,2.0,inf,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0
2020-03-02,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,3.0,0.5,3.0,0.5,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0
2020-03-03,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.833,1.2776666666666667,5.0,0.6666666666666667,5.0,0.6666666666666667,0.0,0.0,0.0,0.0,12.54,0.0,0.0,0.0
2020-03-04,26.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,1.364,1.0656666666666668,15.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,29.639999999999997,0.0,0.0,0.0
2020-03-05,34.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,0.0,0.308,0.835,8.0,-0.4666666666666667,8.0,-0.4666666666666667,0.0,0.0,0.0,0.0,38.76,0.0,0.0,0.0
2020-03-06,43.0,0.0,0.0,43.0,0.0,0.0,43.0,0.0,0.0,0.0,0.265,0.6456666666666667,9.0,0.125,9.0,0.125,0.0,0.0,0.0,0.0,49.019999999999996,0.0,0.0,0.0
2020-03-07,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.163,0.24533333333333332,7.0,-0.2222222222222222,7.0,-0.2222222222222222,0.0,0.0,0.0,0.0,56.99999999999999,0.0,0.0,0.0
2020-03-08,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.14266666666666666,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,56.99999999999999,0.0,0.0,0.0
2020-03-09,58.0,0.0,0.0,58.0,0.0,0.0,58.0,0.0,0.0,0.0,0.16,0.10766666666666665,8.0,inf,8.0,inf,0.0,0.0,0.0,0.0,66.11999999999999,0.0,0.0,0.0
2020-03-10,69.0,0.0,1.0,69.0,0.0,1.0,68.0,0.0,0.0,inf,0.19,0.11666666666666663,10.0,0.25,11.0,0.375,0.0,0.0,1.0,inf,77.52,0.0,0.0,0.0
2020-03-11,85.0,0.0,1.0,85.0,0.0,1.0,84.0,0.0,0.0,0.0,0.232,0.19399999999999995,16.0,0.6000000000000001,16.0,0.4545454545454546,0.0,0.0,0.0,-1.0,95.75999999999999,0.0,0.0,0.0
2020-03-12,103.0,0.0,1.0,103.0,0.0,1.0,102.0,0.0,0.0,0.0,0.212,0.21133333333333326,18.0,0.125,18.0,0.125,0.0,0.0,0.0,0.0,116.27999999999999,0.0,0.0,0.0
2020-03-13,134.0,0.0,1.0,134.0,0.0,1.0,133.0,0.0,0.0,0.0,0.301,0.2483333333333333,31.0,0.7222222222222223,31.0,0.7222222222222223,0.0,0.0,0.0,0.0,151.61999999999998,0.0,0.0,0.0
2020-03-14,156.0,0.0,1.0,156.0,0.0,1.0,155.0,0.0,0.0,0.0,0.164,0.22566666666666665,22.0,-0.29032258064516125,22.0,-0.29032258064516125,0.0,0.0,0.0,0.0,176.7,0.0,0.0,0.0
