Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-30 16:00:00,India,22.3511148,78.6677428,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-01-31 08:15:00,India,22.3511148,78.6677428,0.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2020-01-31 23:59:00,India,22.3511148,78.6677428,0.0,1.0,0.0,0.0,1.0,1.0,2,2,2,2,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2020-02-02 06:03:08,India,22.3511148,78.6677428,0.0,2.0,0.0,0.0,2.0,2.0,3,3,3,3,0.0,2.0,0.0,0.0,2.0,0.0,,,1.0,0.0,0.0,0.0,2.0
2020-02-03 21:43:02,India,223.51114800000002,786.6774280000001,0.0,30.0,0.0,0.0,30.0,30.0,85,85,85,85,0.0,30.0,0.0,0.0,30.0,0.0,,,14.0,0.0,0.0,0.0,34.0
2020-02-13 18:53:02,India,67.0533444,236.0032284,0.0,9.0,0.0,0.0,9.0,9.0,45,45,45,45,0.0,9.0,0.0,0.0,9.0,0.0,,,-0.7,0.0,0.0,0.0,10.0
2020-02-16 07:43:02,India,312.9156072,1101.3483992000001,0.0,45.0,0.0,45.0,45.0,0.0,360,1747,360,360,0.0,45.0,0.0,45.0,0.0,0.0,,inf,4.0,0.0,0.0,0.0,51.0
2020-03-02 22:33:09,India,0.0,0.0,0.0,10.0,0.0,6.0,10.0,4.0,65,4913,65,65,0.0,10.0,0.0,6.0,4.0,0.0,,-0.867,-0.778,0.0,0.0,0.0,11.0
2020-03-04 12:33:03,India,0.0,0.0,0.0,28.0,0.0,3.0,28.0,25.0,34,2696,34,34,0.0,28.0,0.0,3.0,25.0,0.0,,-0.5,1.8,0.0,0.0,0.0,32.0
2020-03-05 13:53:03,India,0.0,0.0,0.0,30.0,0.0,3.0,30.0,27.0,35,2816,35,35,0.0,30.0,0.0,3.0,27.0,0.0,,0.0,0.071,0.0,0.0,0.0,34.0
