Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-02 18:03:04,Indonesia,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,6,9510,6,6,0.0,8.0,0.0,0.0,8.0,0.0,,,,0.0,0.0,0.0,9.0
2020-03-06 12:33:03,Indonesia,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,9,5998,9,9,0.0,8.0,0.0,0.0,8.0,0.0,,,0.0,0.0,0.0,0.0,9.0
2020-03-08 10:03:13,Indonesia,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,6,3445,6,6,0.0,6.0,0.0,0.0,6.0,0.0,,,-0.25,0.0,0.0,0.0,7.0
2020-03-09 11:33:10,Indonesia,0.0,0.0,0.0,19.0,0.0,0.0,19.0,19.0,7,3678,7,7,0.0,19.0,0.0,0.0,19.0,0.0,,,2.167,0.0,0.0,0.0,22.0
2020-03-10 12:53:02,Indonesia,0.0,0.0,0.0,27.0,0.0,2.0,27.0,25.0,8,3854,8,8,0.0,27.0,0.0,2.0,25.0,0.0,,inf,0.421,0.0,0.0,0.0,31.0
2020-03-11 11:14:26,Indonesia,0.0,0.0,0.0,68.0,2.0,4.0,66.0,62.0,19,8123,19,19,2.0,68.0,2.0,4.0,62.0,0.029,inf,1.0,1.519,200.0,360.0,700.0,78.0
2020-03-11 20:00:00,Indonesia,0.0,0.0,0.0,69.0,4.0,2.0,65.0,63.0,11,4301,11,11,4.0,69.0,4.0,2.0,63.0,0.058,1.0,-0.5,0.015,400.0,720.0,1400.0,79.0
2020-03-14 22:53:02,Indonesia,0.0,0.0,0.0,96.0,5.0,8.0,91.0,83.0,12,4991,12,12,5.0,96.0,5.0,8.0,83.0,0.052,0.25,3.0,0.391,500.0,900.0,1750.0,109.0
2020-03-15 18:20:18,Indonesia,0.0,0.0,0.0,117.0,5.0,8.0,112.0,104.0,13,5093,13,13,5.0,117.0,5.0,8.0,104.0,0.043,0.0,0.0,0.219,500.0,900.0,1750.0,133.0
2020-03-16 14:38:45,Indonesia,0.0,0.0,0.0,134.0,5.0,8.0,129.0,121.0,14,5363,14,14,5.0,134.0,5.0,8.0,121.0,0.037,0.0,0.0,0.145,500.0,900.0,1750.0,153.0
2020-03-17 10:33:03,Indonesia,0.0,0.0,0.0,172.0,5.0,8.0,167.0,159.0,15,5544,15,15,5.0,172.0,5.0,8.0,159.0,0.029,0.0,0.0,0.284,500.0,900.0,1750.0,196.0
2020-03-18 10:53:02,Indonesia,0.0,0.0,0.0,227.0,19.0,11.0,208.0,197.0,16,5827,16,16,19.0,227.0,19.0,11.0,197.0,0.084,2.8,0.375,0.32,1900.0,3420.0,6650.0,259.0
2020-03-19 10:13:16,Indonesia,0.0,0.0,0.0,311.0,25.0,11.0,286.0,275.0,17,6104,17,17,25.0,311.0,25.0,11.0,275.0,0.08,0.316,0.0,0.37,2500.0,4500.0,8750.0,355.0
2020-03-20 14:43:04,Indonesia,0.0,0.0,0.0,369.0,32.0,15.0,337.0,322.0,18,6376,18,18,32.0,369.0,32.0,15.0,322.0,0.087,0.28,0.364,0.186,3200.0,5760.0,11200.0,421.0
2020-03-21 11:43:06,Indonesia,0.0,0.0,0.0,450.0,38.0,15.0,412.0,397.0,19,6572,19,19,38.0,450.0,38.0,15.0,397.0,0.084,0.188,0.0,0.22,3800.0,6840.0,13300.0,513.0
2020-03-22 23:45:00,Indonesia,-2.4833826,117.89028529999999,0.0,514.0,48.0,29.0,466.0,437.0,20,0,20,20,48.0,514.0,48.0,29.0,437.0,0.093,0.263,0.933,0.142,4800.0,8640.0,16800.0,586.0
2020-03-23 23:19:21,Indonesia,-2.4833826,117.89028529999999,0.0,579.0,49.0,30.0,530.0,500.0,21,1,21,21,49.0,579.0,49.0,30.0,500.0,0.085,0.021,0.034,0.126,4900.0,8820.0,17150.0,660.0
2020-03-24 23:37:15,Indonesia,-2.4833826,117.89028529999999,0.0,686.0,55.0,30.0,631.0,601.0,22,2,22,22,55.0,686.0,55.0,30.0,601.0,0.08,0.122,0.0,0.185,5500.0,9900.0,19250.0,782.0
2020-03-25 23:33:04,Indonesia,-2.4833826,117.89028529999999,0.0,790.0,58.0,31.0,732.0,701.0,23,3,23,23,58.0,790.0,58.0,31.0,701.0,0.073,0.055,0.033,0.152,5800.0,10440.0,20300.0,901.0
