Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-19 23:43:02,Iran,32.6475314,54.56435160000001,0.0,2.0,2.0,0.0,0.0,0.0,0,0,0,0,2.0,2.0,2.0,0.0,0.0,1.0,,,,200.0,360.0,700.0,2.0
2020-02-20 17:33:02,Iran,32.6475314,54.56435160000001,0.0,5.0,2.0,0.0,3.0,3.0,1,1,1,1,2.0,5.0,2.0,0.0,3.0,0.4,0.0,,1.5,200.0,360.0,700.0,6.0
2020-02-21 18:53:02,Iran,32.6475314,54.56435160000001,0.0,18.0,4.0,0.0,14.0,14.0,2,2,2,2,4.0,18.0,4.0,0.0,14.0,0.222,1.0,,2.6,400.0,720.0,1400.0,21.0
2020-02-22 10:03:05,Iran,32.6475314,54.56435160000001,0.0,28.0,5.0,0.0,23.0,23.0,3,3,3,3,5.0,28.0,5.0,0.0,23.0,0.179,0.25,,0.556,500.0,900.0,1750.0,32.0
2020-02-23 15:13:15,Iran,32.6475314,54.56435160000001,0.0,43.0,8.0,0.0,35.0,35.0,4,4,4,4,8.0,43.0,8.0,0.0,35.0,0.186,0.6,,0.536,800.0,1440.0,2800.0,49.0
2020-02-24 11:13:10,Iran,32.6475314,54.56435160000001,0.0,61.0,12.0,0.0,49.0,49.0,5,5,5,5,12.0,61.0,12.0,0.0,49.0,0.197,0.5,,0.419,1200.0,2160.0,4200.0,70.0
2020-02-25 14:53:03,Iran,32.6475314,54.56435160000001,0.0,95.0,16.0,0.0,79.0,79.0,6,6,6,6,16.0,95.0,16.0,0.0,79.0,0.168,0.333,,0.557,1600.0,2880.0,5600.0,108.0
2020-02-26 23:43:03,Iran,32.6475314,54.56435160000001,0.0,139.0,19.0,49.0,120.0,71.0,7,7,7,7,19.0,139.0,19.0,49.0,71.0,0.137,0.188,inf,0.463,1900.0,3420.0,6650.0,158.0
2020-02-27 12:03:04,Iran,32.6475314,54.56435160000001,0.0,245.0,26.0,49.0,219.0,170.0,8,8,8,8,26.0,245.0,26.0,49.0,170.0,0.106,0.368,0.0,0.763,2600.0,4680.0,9100.0,279.0
2020-02-28 15:43:03,Iran,32.6475314,54.56435160000001,0.0,388.0,34.0,73.0,354.0,281.0,9,9,9,9,34.0,388.0,34.0,73.0,281.0,0.088,0.308,0.49,0.584,3400.0,6120.0,11900.0,442.0
2020-02-29 14:53:04,Iran,32.6475314,54.56435160000001,0.0,593.0,43.0,123.0,550.0,427.0,10,10,10,10,43.0,593.0,43.0,123.0,427.0,0.073,0.265,0.685,0.528,4300.0,7740.0,15050.0,676.0
2020-03-01 15:33:03,Iran,0.0,0.0,0.0,978.0,54.0,175.0,924.0,749.0,11,2248,11,11,54.0,978.0,54.0,175.0,749.0,0.055,0.256,0.423,0.649,5400.0,9720.0,18900.0,1115.0
2020-03-02 20:23:16,Iran,0.0,0.0,0.0,1501.0,66.0,291.0,1435.0,1144.0,12,2393,12,12,66.0,1501.0,66.0,291.0,1144.0,0.044,0.222,0.663,0.535,6600.0,11880.0,23100.0,1711.0
2020-03-03 14:23:03,Iran,0.0,0.0,0.0,2336.0,77.0,291.0,2259.0,1968.0,13,2532,13,13,77.0,2336.0,77.0,291.0,1968.0,0.033,0.167,0.0,0.556,7700.0,13860.0,26950.0,2663.0
2020-03-04 12:33:03,Iran,0.0,0.0,0.0,2922.0,92.0,552.0,2830.0,2278.0,14,2695,14,14,92.0,2922.0,92.0,552.0,2278.0,0.031,0.195,0.897,0.251,9200.0,16560.0,32200.0,3331.0
2020-03-05 13:43:04,Iran,0.0,0.0,0.0,3513.0,107.0,739.0,3406.0,2667.0,15,2808,15,15,107.0,3513.0,107.0,739.0,2667.0,0.03,0.163,0.339,0.202,10700.0,19260.0,37450.0,4005.0
2020-03-06 12:23:04,Iran,0.0,0.0,0.0,4747.0,124.0,913.0,4623.0,3710.0,16,2996,16,16,124.0,4747.0,124.0,913.0,3710.0,0.026,0.159,0.235,0.351,12400.0,22320.0,43400.0,5412.0
2020-03-07 17:43:05,Iran,0.0,0.0,0.0,5823.0,145.0,1669.0,5678.0,4009.0,17,3301,17,17,145.0,5823.0,145.0,1669.0,4009.0,0.025,0.169,0.828,0.227,14500.0,26100.0,50750.0,6638.0
2020-03-08 11:03:30,Iran,0.0,0.0,0.0,6566.0,194.0,2134.0,6372.0,4238.0,18,3455,18,18,194.0,6566.0,194.0,2134.0,4238.0,0.03,0.338,0.279,0.128,19400.0,34920.0,67900.0,7485.0
2020-03-09 10:53:03,Iran,0.0,0.0,0.0,7161.0,237.0,2394.0,6924.0,4530.0,19,3675,19,19,237.0,7161.0,237.0,2394.0,4530.0,0.033,0.222,0.122,0.091,23700.0,42660.0,82950.0,8164.0
2020-03-10 19:13:20,Iran,0.0,0.0,0.0,8042.0,291.0,2731.0,7751.0,5020.0,20,3905,20,20,291.0,8042.0,291.0,2731.0,5020.0,0.036,0.228,0.141,0.123,29100.0,52380.0,101850.0,9168.0
