Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-02-19,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,200.0,360.0,700.0
2020-02-20,5.0,2.0,0.0,5.0,2.0,0.0,3.0,0.4,0.0,0.0,1.5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.42,200.0,360.0,700.0
2020-02-21,18.0,4.0,0.0,18.0,4.0,0.0,14.0,0.222,1.0,0.0,2.6,11.0,2.6666666666666665,13.0,3.333333333333333,2.0,inf,0.0,0.0,15.959999999999999,400.0,720.0,1400.0
2020-02-22,28.0,5.0,0.0,28.0,5.0,0.0,23.0,0.179,0.25,0.0,0.556,9.0,-0.18181818181818177,10.0,-0.23076923076923073,1.0,-0.5,0.0,0.0,26.22,500.0,900.0,1750.0
2020-02-23,43.0,8.0,0.0,43.0,8.0,0.0,35.0,0.186,0.6,0.0,0.536,12.0,0.33333333333333326,15.0,0.5,3.0,2.0,0.0,0.0,39.9,800.0,1440.0,2800.0
2020-02-24,61.0,12.0,0.0,61.0,12.0,0.0,49.0,0.197,0.5,0.0,0.419,14.0,0.16666666666666674,18.0,0.19999999999999996,4.0,0.33333333333333326,0.0,0.0,55.85999999999999,1200.0,2160.0,4200.0
2020-02-25,95.0,16.0,0.0,95.0,16.0,0.0,79.0,0.168,0.333,0.0,0.557,30.0,1.1428571428571428,34.0,0.8888888888888888,4.0,0.0,0.0,0.0,90.05999999999999,1600.0,2880.0,5600.0
2020-02-26,139.0,19.0,49.0,139.0,19.0,49.0,71.0,0.137,0.188,inf,0.463,-8.0,-1.2666666666666666,44.0,0.2941176470588236,3.0,-0.25,49.0,inf,80.94,1900.0,3420.0,6650.0
2020-02-27,245.0,26.0,49.0,245.0,26.0,49.0,170.0,0.106,0.368,0.0,0.763,99.0,-13.375,106.0,1.4090909090909092,7.0,1.3333333333333335,0.0,-1.0,193.79999999999998,2600.0,4680.0,9100.0
2020-02-28,388.0,34.0,73.0,388.0,34.0,73.0,281.0,0.088,0.308,0.49,0.584,111.0,0.1212121212121211,143.0,0.34905660377358494,8.0,0.1428571428571428,24.0,inf,320.34,3400.0,6120.0,11900.0
