Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-29 22:33:03,Ireland,52.865196,-7.9794599,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-03-01 07:13:07,Ireland,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3,4422,3,3,0.0,2.0,0.0,0.0,2.0,0.0,,,1.0,0.0,0.0,0.0,2.0
2020-03-03 23:53:03,Ireland,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3,2636,3,3,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0
2020-03-04 21:13:07,Ireland,0.0,0.0,0.0,12.0,0.0,0.0,12.0,12.0,9,5551,9,9,0.0,12.0,0.0,0.0,12.0,0.0,,,5.0,0.0,0.0,0.0,14.0
2020-03-06 20:43:03,Ireland,0.0,0.0,0.0,36.0,0.0,0.0,36.0,36.0,13,6265,13,13,0.0,36.0,0.0,0.0,36.0,0.0,,,2.0,0.0,0.0,0.0,41.0
2020-03-08 21:03:03,Ireland,0.0,0.0,0.0,19.0,0.0,0.0,19.0,19.0,8,3558,8,8,0.0,19.0,0.0,0.0,19.0,0.0,,,-0.472,0.0,0.0,0.0,22.0
2020-03-09 09:53:06,Ireland,0.0,0.0,0.0,21.0,0.0,0.0,21.0,21.0,9,3656,9,9,0.0,21.0,0.0,0.0,21.0,0.0,,,0.105,0.0,0.0,0.0,24.0
2020-03-10 19:13:21,Ireland,0.0,0.0,0.0,34.0,0.0,0.0,34.0,34.0,10,3908,10,10,0.0,34.0,0.0,0.0,34.0,0.0,,,0.619,0.0,0.0,0.0,39.0
2020-03-11 20:00:00,Ireland,0.0,0.0,0.0,90.0,1.0,0.0,89.0,89.0,11,4266,11,11,1.0,90.0,1.0,0.0,89.0,0.011,inf,,1.647,100.0,180.0,350.0,103.0
2020-03-11 21:33:03,Ireland,0.0,0.0,0.0,86.0,2.0,0.0,84.0,84.0,25,8744,25,25,2.0,86.0,2.0,0.0,84.0,0.023,1.0,,-0.044,200.0,360.0,700.0,98.0
2020-03-14 20:13:16,Ireland,0.0,0.0,0.0,258.0,4.0,0.0,254.0,254.0,29,9813,29,29,4.0,258.0,4.0,0.0,254.0,0.016,1.0,,2.0,400.0,720.0,1400.0,294.0
2020-03-16 14:38:45,Ireland,0.0,0.0,0.0,169.0,2.0,0.0,167.0,167.0,16,5334,16,16,2.0,169.0,2.0,0.0,167.0,0.012,-0.5,,-0.345,200.0,360.0,700.0,193.0
2020-03-17 02:53:03,Ireland,0.0,0.0,0.0,223.0,2.0,5.0,221.0,216.0,17,5520,17,17,2.0,223.0,2.0,5.0,216.0,0.009,0.0,inf,0.32,200.0,360.0,700.0,254.0
2020-03-18 03:13:12,Ireland,0.0,0.0,0.0,292.0,2.0,5.0,290.0,285.0,18,5785,18,18,2.0,292.0,2.0,5.0,285.0,0.007,0.0,0.0,0.309,200.0,360.0,700.0,333.0
2020-03-19 18:43:03,Ireland,0.0,0.0,0.0,557.0,3.0,5.0,554.0,549.0,19,6209,19,19,3.0,557.0,3.0,5.0,549.0,0.005,0.5,0.0,0.908,300.0,540.0,1050.0,635.0
2020-03-20 20:13:16,Ireland,0.0,0.0,0.0,683.0,3.0,5.0,680.0,675.0,20,6458,20,20,3.0,683.0,3.0,5.0,675.0,0.004,0.0,0.0,0.226,300.0,540.0,1050.0,779.0
2020-03-21 20:43:02,Ireland,0.0,0.0,0.0,785.0,3.0,5.0,782.0,777.0,21,6699,21,21,3.0,785.0,3.0,5.0,777.0,0.004,0.0,0.0,0.149,300.0,540.0,1050.0,895.0
2020-03-22 23:45:00,Ireland,52.865196,-7.9794599,0.0,906.0,4.0,5.0,902.0,897.0,22,1,22,22,4.0,906.0,4.0,5.0,897.0,0.004,0.333,0.0,0.154,400.0,720.0,1400.0,1033.0
2020-03-23 23:19:21,Ireland,52.865196,-7.9794599,0.0,1125.0,6.0,5.0,1119.0,1114.0,23,2,23,23,6.0,1125.0,6.0,5.0,1114.0,0.005,0.5,0.0,0.242,600.0,1080.0,2100.0,1282.0
2020-03-24 23:37:15,Ireland,52.865196,-7.9794599,0.0,1329.0,7.0,5.0,1322.0,1317.0,24,3,24,24,7.0,1329.0,7.0,5.0,1317.0,0.005,0.167,0.0,0.181,700.0,1260.0,2450.0,1515.0
2020-03-25 23:33:04,Ireland,52.865196,-7.9794599,0.0,1564.0,9.0,5.0,1555.0,1550.0,25,4,25,25,9.0,1564.0,9.0,5.0,1550.0,0.006,0.286,0.0,0.177,900.0,1620.0,3150.0,1783.0
