Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-21 15:33:03,From Diamond Princess,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,1711,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-02-22 20:53:02,From Diamond Princess,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,10,7022,10,10,0.0,4.0,0.0,0.0,4.0,0.0,,,3.0,0.0,0.0,0.0,5.0
2020-02-26 20:33:02,Israel,31.531311300000002,34.8667654,0.0,2.0,0.0,0.0,2.0,2.0,5,0,5,0,0.0,2.0,0.0,0.0,2.0,0.0,,,-0.5,0.0,0.0,0.0,2.0
2020-02-27 14:03:03,Israel,31.531311300000002,34.8667654,0.0,3.0,0.0,1.0,3.0,2.0,6,1,6,1,0.0,3.0,0.0,1.0,2.0,0.0,,inf,0.5,0.0,0.0,0.0,3.0
2020-02-28 15:53:03,Israel,31.531311300000002,34.8667654,0.0,4.0,0.0,1.0,4.0,3.0,7,2,7,2,0.0,4.0,0.0,1.0,3.0,0.0,,0.0,0.333,0.0,0.0,0.0,5.0
2020-02-29 01:53:03,Israel,31.531311300000002,34.8667654,0.0,7.0,0.0,1.0,7.0,6.0,8,3,8,3,0.0,7.0,0.0,1.0,6.0,0.0,,0.0,0.75,0.0,0.0,0.0,8.0
2020-03-01 23:23:02,Israel,0.0,0.0,0.0,20.0,0.0,2.0,20.0,18.0,19,4555,19,9,0.0,20.0,0.0,2.0,18.0,0.0,,1.0,1.857,0.0,0.0,0.0,23.0
2020-03-03 04:23:07,Israel,0.0,0.0,0.0,12.0,0.0,1.0,12.0,11.0,11,2500,11,6,0.0,12.0,0.0,1.0,11.0,0.0,,-0.5,-0.4,0.0,0.0,0.0,14.0
2020-03-04 12:43:03,Israel,0.0,0.0,0.0,15.0,0.0,1.0,15.0,14.0,12,2699,12,7,0.0,15.0,0.0,1.0,14.0,0.0,,0.0,0.25,0.0,0.0,0.0,17.0
2020-03-05 17:53:02,Israel,0.0,0.0,0.0,16.0,0.0,1.0,16.0,15.0,13,2877,13,8,0.0,16.0,0.0,1.0,15.0,0.0,,0.0,0.067,0.0,0.0,0.0,18.0
2020-03-06 20:33:03,Israel,0.0,0.0,0.0,42.0,0.0,4.0,42.0,38.0,29,6248,29,19,0.0,42.0,0.0,4.0,38.0,0.0,,3.0,1.625,0.0,0.0,0.0,48.0
2020-03-08 21:03:03,Israel,0.0,0.0,0.0,78.0,0.0,4.0,78.0,74.0,33,7108,33,23,0.0,78.0,0.0,4.0,74.0,0.0,,0.0,0.857,0.0,0.0,0.0,89.0
2020-03-10 12:53:02,Israel,0.0,0.0,0.0,58.0,0.0,4.0,58.0,54.0,18,3852,18,13,0.0,58.0,0.0,4.0,54.0,0.0,,0.0,-0.256,0.0,0.0,0.0,66.0
2020-03-11 20:00:00,Israel,0.0,0.0,0.0,161.0,0.0,4.0,161.0,157.0,19,4211,19,14,0.0,161.0,0.0,4.0,157.0,0.0,,0.0,1.776,0.0,0.0,0.0,184.0
2020-03-11 21:13:18,Israel,0.0,0.0,0.0,109.0,0.0,4.0,109.0,105.0,20,4361,20,15,0.0,109.0,0.0,4.0,105.0,0.0,,0.0,-0.323,0.0,0.0,0.0,124.0
2020-03-12 21:39:09,Israel,0.0,0.0,0.0,131.0,0.0,4.0,131.0,127.0,21,4537,21,16,0.0,131.0,0.0,4.0,127.0,0.0,,0.0,0.202,0.0,0.0,0.0,149.0
2020-03-14 20:13:16,Israel,0.0,0.0,0.0,193.0,0.0,4.0,193.0,189.0,22,4905,22,17,0.0,193.0,0.0,4.0,189.0,0.0,,0.0,0.473,0.0,0.0,0.0,220.0
2020-03-15 18:20:18,Israel,0.0,0.0,0.0,251.0,0.0,4.0,251.0,247.0,23,5072,23,18,0.0,251.0,0.0,4.0,247.0,0.0,,0.0,0.301,0.0,0.0,0.0,286.0
2020-03-16 14:38:45,Israel,0.0,0.0,0.0,255.0,0.0,4.0,255.0,251.0,24,5299,24,19,0.0,255.0,0.0,4.0,251.0,0.0,,0.0,0.016,0.0,0.0,0.0,291.0
2020-03-17 20:53:02,Israel,0.0,0.0,0.0,337.0,0.0,11.0,337.0,326.0,25,5707,25,20,0.0,337.0,0.0,11.0,326.0,0.0,,1.75,0.322,0.0,0.0,0.0,384.0
2020-03-18 14:33:15,Israel,0.0,0.0,0.0,433.0,0.0,11.0,433.0,422.0,26,5949,26,21,0.0,433.0,0.0,11.0,422.0,0.0,,0.0,0.285,0.0,0.0,0.0,494.0
2020-03-19 20:43:02,Israel,0.0,0.0,0.0,677.0,0.0,11.0,677.0,666.0,27,6237,27,22,0.0,677.0,0.0,11.0,666.0,0.0,,0.0,0.564,0.0,0.0,0.0,772.0
2020-03-20 14:43:04,Israel,0.0,0.0,0.0,705.0,0.0,14.0,705.0,691.0,28,6380,28,23,0.0,705.0,0.0,14.0,691.0,0.0,,0.273,0.041,0.0,0.0,0.0,804.0
2020-03-21 11:43:06,Israel,0.0,0.0,0.0,883.0,1.0,36.0,882.0,846.0,29,6571,29,24,1.0,883.0,1.0,36.0,846.0,0.001,inf,1.571,0.252,100.0,180.0,350.0,1007.0
2020-03-22 23:45:00,Israel,31.531311300000002,34.8667654,0.0,1071.0,1.0,37.0,1070.0,1033.0,30,4,30,25,1.0,1071.0,1.0,37.0,1033.0,0.001,0.0,0.028,0.213,100.0,180.0,350.0,1221.0
2020-03-23 23:19:21,Israel,31.531311300000002,34.8667654,0.0,1442.0,1.0,41.0,1441.0,1400.0,31,5,31,26,1.0,1442.0,1.0,41.0,1400.0,0.001,0.0,0.108,0.346,100.0,180.0,350.0,1644.0
2020-03-24 23:37:15,Israel,31.531311300000002,34.8667654,0.0,1930.0,3.0,53.0,1927.0,1874.0,32,6,32,27,3.0,1930.0,3.0,53.0,1874.0,0.002,2.0,0.293,0.338,300.0,540.0,1050.0,2200.0
2020-03-25 23:33:04,Israel,31.531311300000002,34.8667654,0.0,2369.0,5.0,58.0,2364.0,2306.0,33,7,33,28,5.0,2369.0,5.0,58.0,2306.0,0.002,0.667,0.094,0.227,500.0,900.0,1750.0,2701.0
