Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-31 08:15:00,Italy,42.6384261,12.674297,0.0,2.0,0.0,0.0,2.0,2.0,0,0,0,0,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-01-31 08:15:53,Italy,213.1921305,63.37148499999999,0.0,10.0,0.0,0.0,10.0,10.0,15,15,15,15,0.0,10.0,0.0,0.0,10.0,0.0,,,4.0,0.0,0.0,0.0,11.0
2020-01-31 23:59:00,Italy,42.6384261,12.674297,0.0,2.0,0.0,0.0,2.0,2.0,6,6,6,6,0.0,2.0,0.0,0.0,2.0,0.0,,,-0.8,0.0,0.0,0.0,2.0
2020-02-07 17:53:02,Italy,596.9379653999999,177.44015799999997,0.0,42.0,0.0,0.0,42.0,42.0,189,189,189,189,0.0,42.0,0.0,0.0,42.0,0.0,,,20.0,0.0,0.0,0.0,48.0
2020-02-21 23:33:06,Italy,42.6384261,12.674297,0.0,20.0,1.0,0.0,19.0,19.0,21,21,21,21,1.0,20.0,1.0,0.0,19.0,0.05,inf,,-0.524,100.0,180.0,350.0,23.0
2020-02-22 23:43:02,Italy,42.6384261,12.674297,0.0,62.0,2.0,1.0,60.0,59.0,22,22,22,22,2.0,62.0,2.0,1.0,59.0,0.032,1.0,inf,2.1,200.0,360.0,700.0,71.0
2020-02-23 23:43:02,Italy,42.6384261,12.674297,0.0,155.0,3.0,2.0,152.0,150.0,23,23,23,23,3.0,155.0,3.0,2.0,150.0,0.019,0.5,1.0,1.5,300.0,540.0,1050.0,177.0
2020-02-24 23:43:01,Italy,42.6384261,12.674297,0.0,229.0,7.0,1.0,222.0,221.0,24,24,24,24,7.0,229.0,7.0,1.0,221.0,0.031,1.333,-0.5,0.477,700.0,1260.0,2450.0,261.0
2020-02-25 18:55:32,Italy,42.6384261,12.674297,0.0,322.0,10.0,1.0,312.0,311.0,25,25,25,25,10.0,322.0,10.0,1.0,311.0,0.031,0.429,0.0,0.406,1000.0,1800.0,3500.0,367.0
2020-02-26 23:43:03,Italy,42.6384261,12.674297,0.0,453.0,12.0,3.0,441.0,438.0,26,26,26,26,12.0,453.0,12.0,3.0,438.0,0.026,0.2,2.0,0.407,1200.0,2160.0,4200.0,516.0
2020-02-27 23:23:02,Italy,42.6384261,12.674297,0.0,655.0,17.0,45.0,638.0,593.0,27,27,27,27,17.0,655.0,17.0,45.0,593.0,0.026,0.417,14.0,0.446,1700.0,3060.0,5950.0,747.0
2020-02-28 20:13:09,Italy,42.6384261,12.674297,0.0,888.0,21.0,46.0,867.0,821.0,28,28,28,28,21.0,888.0,21.0,46.0,821.0,0.024,0.235,0.022,0.356,2100.0,3780.0,7350.0,1012.0
2020-02-29 18:03:05,Italy,42.6384261,12.674297,0.0,1128.0,29.0,46.0,1099.0,1053.0,29,29,29,29,29.0,1128.0,29.0,46.0,1053.0,0.026,0.381,0.0,0.27,2900.0,5220.0,10150.0,1286.0
2020-03-01 23:23:02,Italy,0.0,0.0,0.0,1694.0,34.0,83.0,1660.0,1577.0,30,2287,30,30,34.0,1694.0,34.0,83.0,1577.0,0.02,0.172,0.804,0.502,3400.0,6120.0,11900.0,1931.0
2020-03-02 20:23:16,Italy,0.0,0.0,0.0,2036.0,52.0,149.0,1984.0,1835.0,31,2397,31,31,52.0,2036.0,52.0,149.0,1835.0,0.026,0.529,0.795,0.202,5200.0,9360.0,18200.0,2321.0
2020-03-03 20:03:06,Italy,0.0,0.0,0.0,2502.0,79.0,160.0,2423.0,2263.0,32,2602,32,32,79.0,2502.0,79.0,160.0,2263.0,0.032,0.519,0.074,0.229,7900.0,14220.0,27650.0,2852.0
