Date,Confirmed,Death,Recovered,Province/State,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-22,1.0,,,"Korea, South",1.0,,,1.0,0.0,,,,,,,1.0
2020-01-23,1.0,,,"Korea, South",1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-01-24,2.0,,,"Korea, South",2.0,,,2.0,0.0,,,1.0,,,,2.0
2020-01-25,2.0,,,"Korea, South",2.0,,,2.0,0.0,,,0.0,,,,2.0
2020-01-26,3.0,,,"Korea, South",3.0,,,3.0,0.0,,,0.5,,,,3.0
2020-01-27,4.0,,,"Korea, South",4.0,,,4.0,0.0,,,0.333,,,,5.0
2020-01-28,4.0,,,"Korea, South",4.0,,,4.0,0.0,,,0.0,,,,5.0
2020-01-29,4.0,,,"Korea, South",4.0,,,4.0,0.0,,,0.0,,,,5.0
2020-01-30,4.0,,,"Korea, South",4.0,,,4.0,0.0,,,0.0,,,,5.0
2020-01-31,11.0,,,"Korea, South",11.0,,,11.0,0.0,,,1.75,,,,13.0
2020-02-01,12.0,,,"Korea, South",12.0,,,12.0,0.0,,,0.091,,,,14.0
2020-02-02,15.0,,,"Korea, South",15.0,,,15.0,0.0,,,0.25,,,,17.0
2020-02-03,15.0,,,"Korea, South",15.0,,,15.0,0.0,,,0.0,,,,17.0
2020-02-04,16.0,,,"Korea, South",16.0,,,16.0,0.0,,,0.067,,,,18.0
2020-02-05,19.0,,,"Korea, South",19.0,,,19.0,0.0,,,0.188,,,,22.0
2020-02-06,23.0,,,"Korea, South",23.0,,,23.0,0.0,,,0.211,,,,26.0
2020-02-07,24.0,,1.0,"Korea, South",24.0,,1.0,23.0,0.0,,inf,0.043,,,,27.0
2020-02-08,24.0,,1.0,"Korea, South",24.0,,1.0,23.0,0.0,,0.0,0.0,,,,27.0
2020-02-09,25.0,,3.0,"Korea, South",25.0,,3.0,22.0,0.0,,2.0,0.042,,,,28.0
2020-02-10,27.0,,3.0,"Korea, South",27.0,,3.0,24.0,0.0,,0.0,0.08,,,,31.0
2020-02-11,28.0,,3.0,"Korea, South",28.0,,3.0,25.0,0.0,,0.0,0.037,,,,32.0
2020-02-12,28.0,,7.0,"Korea, South",28.0,,7.0,21.0,0.0,,1.333,0.0,,,,32.0
2020-02-13,28.0,,7.0,"Korea, South",28.0,,7.0,21.0,0.0,,0.0,0.0,,,,32.0
2020-02-14,28.0,,7.0,"Korea, South",28.0,,7.0,21.0,0.0,,0.0,0.0,,,,32.0
