Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-01-22,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,1.14,0.0,0.0,0.0
2020-01-23,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,1.14,0.0,0.0,0.0
2020-01-24,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,,1.0,2.28,0.0,0.0,0.0
2020-01-25,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,2.28,0.0,0.0,0.0
2020-01-26,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,,,0.5,3.42,0.0,0.0,0.0
2020-01-27,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,,,0.333,4.56,0.0,0.0,0.0
2020-01-28,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,,,0.0,4.56,0.0,0.0,0.0
2020-01-29,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,,,0.0,4.56,0.0,0.0,0.0
2020-01-30,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,,,0.0,4.56,0.0,0.0,0.0
2020-01-31,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,,,1.75,12.54,0.0,0.0,0.0
2020-02-01,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,,,0.091,13.68,0.0,0.0,0.0
2020-02-02,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,,,0.25,17.099999999999998,0.0,0.0,0.0
2020-02-03,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,,,0.0,17.099999999999998,0.0,0.0,0.0
2020-02-04,16.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,,,0.067,18.24,0.0,0.0,0.0
2020-02-05,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,,,0.188,21.659999999999997,0.0,0.0,0.0
2020-02-06,23.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,,,0.211,26.22,0.0,0.0,0.0
2020-02-07,24.0,0.0,1.0,24.0,0.0,1.0,23.0,0.0,,inf,0.043,26.22,0.0,0.0,0.0
2020-02-08,24.0,0.0,1.0,24.0,0.0,1.0,23.0,0.0,,0.0,0.0,26.22,0.0,0.0,0.0
2020-02-09,25.0,0.0,3.0,25.0,0.0,3.0,22.0,0.0,,2.0,0.042,25.08,0.0,0.0,0.0
2020-02-10,27.0,0.0,3.0,27.0,0.0,3.0,24.0,0.0,,0.0,0.08,27.36,0.0,0.0,0.0
2020-02-11,28.0,0.0,3.0,28.0,0.0,3.0,25.0,0.0,,0.0,0.037,28.499999999999996,0.0,0.0,0.0
2020-02-12,28.0,0.0,7.0,28.0,0.0,7.0,21.0,0.0,,1.333,0.0,23.939999999999998,0.0,0.0,0.0
