Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-24 23:33:02,Kuwait,29.2733964,47.4979476,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-02-25 23:43:03,Kuwait,29.2733964,47.4979476,0.0,11.0,0.0,0.0,11.0,11.0,1,1,1,1,0.0,11.0,0.0,0.0,11.0,0.0,,,10.0,0.0,0.0,0.0,13.0
2020-02-26 19:23:04,Kuwait,29.2733964,47.4979476,0.0,26.0,0.0,0.0,26.0,26.0,2,2,2,2,0.0,26.0,0.0,0.0,26.0,0.0,,,1.364,0.0,0.0,0.0,30.0
2020-02-27 13:33:03,Kuwait,29.2733964,47.4979476,0.0,43.0,0.0,0.0,43.0,43.0,3,3,3,3,0.0,43.0,0.0,0.0,43.0,0.0,,,0.654,0.0,0.0,0.0,49.0
2020-02-28 16:23:03,Kuwait,58.5467928,94.9958952,0.0,135.0,0.0,0.0,135.0,135.0,15,2092,15,15,0.0,135.0,0.0,0.0,135.0,0.0,,,2.14,0.0,0.0,0.0,154.0
2020-03-02 20:33:02,Kuwait,0.0,0.0,0.0,168.0,0.0,0.0,168.0,168.0,24,7262,24,24,0.0,168.0,0.0,0.0,168.0,0.0,,,0.244,0.0,0.0,0.0,192.0
2020-03-05 13:43:04,Kuwait,0.0,0.0,0.0,116.0,0.0,0.0,116.0,116.0,21,5620,21,21,0.0,116.0,0.0,0.0,116.0,0.0,,,-0.31,0.0,0.0,0.0,132.0
2020-03-07 18:13:26,Kuwait,0.0,0.0,0.0,61.0,0.0,0.0,61.0,61.0,12,3316,12,12,0.0,61.0,0.0,0.0,61.0,0.0,,,-0.474,0.0,0.0,0.0,70.0
2020-03-08 15:33:04,Kuwait,0.0,0.0,0.0,128.0,0.0,2.0,128.0,126.0,27,6963,27,27,0.0,128.0,0.0,2.0,126.0,0.0,,inf,1.098,0.0,0.0,0.0,146.0
2020-03-10 10:13:28,Kuwait,0.0,0.0,0.0,69.0,0.0,1.0,69.0,68.0,15,3836,15,15,0.0,69.0,0.0,1.0,68.0,0.0,,-0.5,-0.461,0.0,0.0,0.0,79.0
2020-03-11 09:53:03,Kuwait,0.0,0.0,0.0,72.0,0.0,2.0,72.0,70.0,16,4052,16,16,0.0,72.0,0.0,2.0,70.0,0.0,,1.0,0.043,0.0,0.0,0.0,82.0
2020-03-11 20:00:00,Kuwait,0.0,0.0,0.0,80.0,0.0,5.0,80.0,75.0,17,4176,17,17,0.0,80.0,0.0,5.0,75.0,0.0,,1.5,0.111,0.0,0.0,0.0,91.0
2020-03-12 09:13:24,Kuwait,0.0,0.0,0.0,80.0,0.0,5.0,80.0,75.0,18,4504,18,18,0.0,80.0,0.0,5.0,75.0,0.0,,0.0,0.0,0.0,0.0,0.0,91.0
2020-03-14 16:14:34,Kuwait,0.0,0.0,0.0,104.0,0.0,5.0,104.0,99.0,19,4820,19,19,0.0,104.0,0.0,5.0,99.0,0.0,,0.0,0.3,0.0,0.0,0.0,119.0
2020-03-15 18:20:18,Kuwait,0.0,0.0,0.0,112.0,0.0,5.0,112.0,107.0,20,5108,20,20,0.0,112.0,0.0,5.0,107.0,0.0,,0.0,0.077,0.0,0.0,0.0,128.0
2020-03-16 14:38:45,Kuwait,0.0,0.0,0.0,123.0,0.0,9.0,123.0,114.0,21,5291,21,21,0.0,123.0,0.0,9.0,114.0,0.0,,0.8,0.098,0.0,0.0,0.0,140.0
2020-03-17 10:53:03,Kuwait,0.0,0.0,0.0,130.0,0.0,9.0,130.0,121.0,22,5560,22,22,0.0,130.0,0.0,9.0,121.0,0.0,,0.0,0.057,0.0,0.0,0.0,148.0
2020-03-18 10:53:02,Kuwait,0.0,0.0,0.0,142.0,0.0,15.0,142.0,127.0,23,5821,23,23,0.0,142.0,0.0,15.0,127.0,0.0,,0.667,0.092,0.0,0.0,0.0,162.0
2020-03-19 10:13:23,Kuwait,0.0,0.0,0.0,148.0,0.0,18.0,148.0,130.0,24,6105,24,24,0.0,148.0,0.0,18.0,130.0,0.0,,0.2,0.042,0.0,0.0,0.0,169.0
2020-03-20 14:43:04,Kuwait,0.0,0.0,0.0,159.0,0.0,18.0,159.0,141.0,25,6380,25,25,0.0,159.0,0.0,18.0,141.0,0.0,,0.0,0.074,0.0,0.0,0.0,181.0
2020-03-21 12:13:19,Kuwait,0.0,0.0,0.0,176.0,0.0,27.0,176.0,149.0,26,6581,26,26,0.0,176.0,0.0,27.0,149.0,0.0,,0.5,0.107,0.0,0.0,0.0,201.0
2020-03-22 23:45:00,Kuwait,29.2733964,47.4979476,0.0,188.0,0.0,30.0,188.0,158.0,27,6,27,27,0.0,188.0,0.0,30.0,158.0,0.0,,0.111,0.068,0.0,0.0,0.0,214.0
2020-03-23 23:19:21,Kuwait,29.2733964,47.4979476,0.0,189.0,0.0,30.0,189.0,159.0,28,7,28,28,0.0,189.0,0.0,30.0,159.0,0.0,,0.0,0.005,0.0,0.0,0.0,215.0
