Date,Confirmed,Recovered,Province/State,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-02,1.0,,Latvia,0,1.0,0.0,,1.0,0.0,,,,0,0,0,1.0
2020-03-03,1.0,,Latvia,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-04,1.0,,Latvia,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-05,1.0,,Latvia,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-06,1.0,,Latvia,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-07,1.0,,Latvia,0,1.0,0.0,,1.0,0.0,,,0.0,0,0,0,1.0
2020-03-08,2.0,,Latvia,0,2.0,0.0,,2.0,0.0,,,1.0,0,0,0,2.0
2020-03-09,6.0,,Latvia,0,6.0,0.0,,6.0,0.0,,,2.0,0,0,0,7.0
2020-03-10,8.0,1.0,Latvia,0,8.0,0.0,1.0,7.0,0.0,,inf,0.333,0,0,0,9.0
2020-03-11,10.0,1.0,Latvia,0,10.0,0.0,1.0,9.0,0.0,,0.0,0.25,0,0,0,11.0
2020-03-12,10.0,1.0,Latvia,0,10.0,0.0,1.0,9.0,0.0,,0.0,0.0,0,0,0,11.0
2020-03-13,17.0,1.0,Latvia,0,17.0,0.0,1.0,16.0,0.0,,0.0,0.7,0,0,0,19.0
2020-03-14,26.0,1.0,Latvia,0,26.0,0.0,1.0,25.0,0.0,,0.0,0.529,0,0,0,30.0
2020-03-15,30.0,1.0,Latvia,0,30.0,0.0,1.0,29.0,0.0,,0.0,0.154,0,0,0,34.0
2020-03-16,34.0,1.0,Latvia,0,34.0,0.0,1.0,33.0,0.0,,0.0,0.133,0,0,0,39.0
2020-03-17,49.0,1.0,Latvia,0,49.0,0.0,1.0,48.0,0.0,,0.0,0.441,0,0,0,56.0
2020-03-18,71.0,1.0,Latvia,0,71.0,0.0,1.0,70.0,0.0,,0.0,0.449,0,0,0,81.0
2020-03-19,86.0,1.0,Latvia,0,86.0,0.0,1.0,85.0,0.0,,0.0,0.211,0,0,0,98.0
