Date,Confirmed,Death,Recovered,Province/State,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-21,1.0,,,Lebanon,1.0,,,1.0,0.0,,,,,,,1.0
2020-02-22,1.0,,,Lebanon,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-23,1.0,,,Lebanon,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-24,1.0,,,Lebanon,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-25,1.0,,,Lebanon,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-02-26,2.0,,,Lebanon,2.0,,,2.0,0.0,,,1.0,,,,2.0
2020-02-27,2.0,,,Lebanon,2.0,,,2.0,0.0,,,0.0,,,,2.0
2020-02-28,2.0,,,Lebanon,2.0,,,2.0,0.0,,,0.0,,,,2.0
2020-02-29,4.0,,,Lebanon,4.0,,,4.0,0.0,,,1.0,,,,5.0
2020-03-01,10.0,,,Lebanon,10.0,,,10.0,0.0,,,1.5,,,,11.0
2020-03-02,13.0,,,Lebanon,13.0,,,13.0,0.0,,,0.3,,,,15.0
2020-03-03,13.0,,,Lebanon,13.0,,,13.0,0.0,,,0.0,,,,15.0
2020-03-04,13.0,,1.0,Lebanon,13.0,,1.0,12.0,0.0,,inf,0.0,,,,15.0
2020-03-05,16.0,,1.0,Lebanon,16.0,,1.0,15.0,0.0,,0.0,0.231,,,,18.0
2020-03-06,22.0,,1.0,Lebanon,22.0,,1.0,21.0,0.0,,0.0,0.375,,,,25.0
2020-03-07,22.0,,1.0,Lebanon,22.0,,1.0,21.0,0.0,,0.0,0.0,,,,25.0
2020-03-08,32.0,,1.0,Lebanon,32.0,,1.0,31.0,0.0,,0.0,0.455,,,,36.0
2020-03-09,32.0,,1.0,Lebanon,32.0,,1.0,31.0,0.0,,0.0,0.0,,,,36.0
2020-03-10,41.0,1.0,1.0,Lebanon,41.0,1.0,1.0,39.0,0.024,inf,0.0,0.281,100.0,180.0,350.0,47.0
2020-03-11,61.0,3.0,1.0,Lebanon,61.0,3.0,1.0,57.0,0.049,2.0,0.0,0.488,300.0,540.0,1050.0,70.0
2020-03-12,61.0,3.0,1.0,Lebanon,61.0,3.0,1.0,57.0,0.049,0.0,0.0,0.0,300.0,540.0,1050.0,70.0
2020-03-13,77.0,3.0,1.0,Lebanon,77.0,3.0,1.0,73.0,0.039,0.0,0.0,0.262,300.0,540.0,1050.0,88.0
2020-03-14,93.0,3.0,1.0,Lebanon,93.0,3.0,1.0,89.0,0.032,0.0,0.0,0.208,300.0,540.0,1050.0,106.0
2020-03-15,110.0,3.0,1.0,Lebanon,110.0,3.0,1.0,106.0,0.027,0.0,0.0,0.183,300.0,540.0,1050.0,125.0
2020-03-16,99.0,3.0,1.0,Lebanon,99.0,3.0,1.0,95.0,0.03,0.0,0.0,-0.1,300.0,540.0,1050.0,113.0
2020-03-17,120.0,3.0,3.0,Lebanon,120.0,3.0,3.0,114.0,0.025,0.0,2.0,0.212,300.0,540.0,1050.0,137.0
2020-03-18,133.0,3.0,3.0,Lebanon,133.0,3.0,3.0,127.0,0.023,0.0,0.0,0.108,300.0,540.0,1050.0,152.0
2020-03-19,157.0,4.0,4.0,Lebanon,157.0,4.0,4.0,149.0,0.025,0.333,0.333,0.18,400.0,720.0,1400.0,179.0
2020-03-20,163.0,4.0,4.0,Lebanon,163.0,4.0,4.0,155.0,0.025,0.0,0.0,0.038,400.0,720.0,1400.0,186.0
2020-03-21,187.0,4.0,4.0,Lebanon,187.0,4.0,4.0,179.0,0.021,0.0,0.0,0.147,400.0,720.0,1400.0,213.0
2020-03-22,248.0,4.0,8.0,Lebanon,248.0,4.0,8.0,236.0,0.016,0.0,1.0,0.326,400.0,720.0,1400.0,283.0
2020-03-23,248.0,4.0,8.0,Lebanon,248.0,4.0,8.0,236.0,0.016,0.0,0.0,0.0,400.0,720.0,1400.0,283.0
