Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-04 01:33:07,Liechtenstein,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,36,23952,36,36,0.0,9.0,0.0,0.0,9.0,0.0,,,,0.0,0.0,0.0,10.0
2020-03-11 20:00:00,Liechtenstein,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9,4178,9,9,0.0,1.0,0.0,0.0,1.0,0.0,,,-0.889,0.0,0.0,0.0,1.0
2020-03-14 20:53:02,Liechtenstein,0.0,0.0,0.0,12.0,0.0,0.0,12.0,12.0,33,14801,33,33,0.0,12.0,0.0,0.0,12.0,0.0,,,11.0,0.0,0.0,0.0,14.0
2020-03-17 12:13:16,Liechtenstein,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,13,5583,13,13,0.0,7.0,0.0,0.0,7.0,0.0,,,-0.417,0.0,0.0,0.0,8.0
2020-03-18 19:14:33,Liechtenstein,0.0,0.0,0.0,84.0,0.0,0.0,84.0,84.0,45,17968,45,45,0.0,84.0,0.0,0.0,84.0,0.0,,,11.0,0.0,0.0,0.0,96.0
2020-03-21 12:43:08,Liechtenstein,0.0,0.0,0.0,37.0,0.0,0.0,37.0,37.0,17,6600,17,17,0.0,37.0,0.0,0.0,37.0,0.0,,,-0.56,0.0,0.0,0.0,42.0
2020-03-22 23:45:00,Liechtenstein,47.1416307,9.553152699999998,0.0,37.0,0.0,0.0,37.0,37.0,18,0,18,18,0.0,37.0,0.0,0.0,37.0,0.0,,,0.0,0.0,0.0,0.0,42.0
2020-03-23 23:19:21,Liechtenstein,47.1416307,9.553152699999998,0.0,51.0,0.0,0.0,51.0,51.0,19,1,19,19,0.0,51.0,0.0,0.0,51.0,0.0,,,0.378,0.0,0.0,0.0,58.0
2020-03-24 23:37:15,Liechtenstein,47.1416307,9.553152699999998,0.0,51.0,0.0,0.0,51.0,51.0,20,2,20,20,0.0,51.0,0.0,0.0,51.0,0.0,,,0.0,0.0,0.0,0.0,58.0
2020-03-25 23:33:04,Liechtenstein,47.1416307,9.553152699999998,0.0,51.0,0.0,0.0,51.0,51.0,21,3,21,21,0.0,51.0,0.0,0.0,51.0,0.0,,,0.0,0.0,0.0,0.0,58.0
