Date,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-02-28 16:23:03,110.70000060000001,47.4999994,0.0,12.0,0.0,0.0,12.0,12.0,66,20889,66,66,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,13.68,0.0,0.0,0.0
2020-03-11 02:18:26,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,25,7997,25,25,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,-0.5,0.0,-6.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0
2020-03-11 20:00:00,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,14,4327,14,14,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,-0.16666666666666666,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0
2020-03-14 14:53:04,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,15,4813,15,15,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.333,-0.05566666666666666,2.0,inf,2.0,inf,0.0,0.0,0.0,0.0,9.12,0.0,0.0,0.0
2020-03-15 18:20:18,0.0,0.0,0.0,12.0,0.0,1.0,12.0,11.0,16,5119,16,16,0.0,12.0,0.0,1.0,11.0,0.0,0.0,inf,0.5,0.2776666666666667,3.0,0.5,4.0,1.0,0.0,0.0,1.0,inf,12.54,0.0,0.0,0.0
2020-03-16 14:38:45,0.0,0.0,0.0,17.0,0.0,1.0,17.0,16.0,17,5383,17,17,0.0,17.0,0.0,1.0,16.0,0.0,0.0,0.0,0.417,0.4166666666666667,5.0,0.6666666666666667,5.0,0.25,0.0,0.0,0.0,-1.0,18.24,0.0,0.0,0.0
2020-03-17 18:53:02,0.0,0.0,0.0,25.0,0.0,1.0,25.0,24.0,18,5684,18,18,0.0,25.0,0.0,1.0,24.0,0.0,0.0,0.0,0.471,0.4626666666666667,8.0,0.6000000000000001,8.0,0.6000000000000001,0.0,0.0,0.0,0.0,27.36,0.0,0.0,0.0
2020-03-18 11:33:04,0.0,0.0,0.0,27.0,0.0,1.0,27.0,26.0,19,5851,19,19,0.0,27.0,0.0,1.0,26.0,0.0,0.0,0.0,0.08,0.3226666666666667,2.0,-0.75,2.0,-0.75,0.0,0.0,0.0,0.0,29.639999999999997,0.0,0.0,0.0
2020-03-19 18:13:29,0.0,0.0,0.0,36.0,0.0,1.0,36.0,35.0,20,6199,20,20,0.0,36.0,0.0,1.0,35.0,0.0,0.0,0.0,0.333,0.2946666666666667,9.0,3.5,9.0,3.5,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0
2020-03-20 15:43:24,0.0,0.0,0.0,49.0,0.0,1.0,49.0,48.0,21,6408,21,21,0.0,49.0,0.0,1.0,48.0,0.0,0.0,0.0,0.361,0.25800000000000006,13.0,0.4444444444444444,13.0,0.4444444444444444,0.0,0.0,0.0,0.0,54.72,0.0,0.0,0.0
2020-03-21 17:43:03,0.0,0.0,0.0,83.0,1.0,1.0,82.0,81.0,22,6653,22,22,1.0,83.0,1.0,1.0,81.0,0.012,inf,0.0,0.694,0.4626666666666666,33.0,1.5384615384615383,34.0,1.6153846153846154,1.0,inf,0.0,0.0,92.33999999999999,100.0,180.0,350.0
2020-03-22 23:45:00,55.350000300000005,23.7499997,0.0,129.0,1.0,1.0,128.0,127.0,23,2,23,23,1.0,129.0,1.0,1.0,127.0,0.008,0.0,0.0,0.554,0.5363333333333333,46.0,0.39393939393939403,46.0,0.3529411764705883,0.0,-1.0,0.0,0.0,144.78,100.0,180.0,350.0
2020-03-23 23:19:21,55.350000300000005,23.7499997,0.0,179.0,1.0,1.0,178.0,177.0,24,3,24,24,1.0,179.0,1.0,1.0,177.0,0.006,0.0,0.0,0.388,0.5453333333333333,50.0,0.08695652173913038,50.0,0.08695652173913038,0.0,0.0,0.0,0.0,201.77999999999997,100.0,180.0,350.0
2020-03-24 23:37:15,55.350000300000005,23.7499997,0.0,209.0,2.0,1.0,207.0,206.0,25,4,25,25,2.0,209.0,2.0,1.0,206.0,0.01,1.0,0.0,0.168,0.36999999999999994,29.0,-0.42000000000000004,30.0,-0.4,1.0,inf,0.0,0.0,234.83999999999997,200.0,360.0,700.0
2020-03-25 23:33:04,55.350000300000005,23.7499997,0.0,274.0,4.0,1.0,270.0,269.0,26,5,26,26,4.0,274.0,4.0,1.0,269.0,0.015,1.0,0.0,0.311,0.2889999999999999,63.0,1.1724137931034484,65.0,1.1666666666666665,2.0,1.0,0.0,0.0,306.65999999999997,400.0,720.0,1400.0
