Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-02-29,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,1.14,0.0,0.0,0.0
2020-03-01,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-02,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-03,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-04,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-05,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-06,2.0,0.0,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,inf,1.0,inf,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0
2020-03-07,2.0,0.0,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0
2020-03-08,3.0,0.0,0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,1.0,inf,1.0,inf,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0
2020-03-09,3.0,0.0,0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0
2020-03-10,5.0,0.0,0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.667,2.0,inf,2.0,inf,0.0,0.0,0.0,0.0,5.699999999999999,0.0,0.0,0.0
2020-03-11,7.0,0.0,0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.4,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.9799999999999995,0.0,0.0,0.0
2020-03-12,19.0,0.0,0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,1.714,12.0,5.0,12.0,5.0,0.0,0.0,0.0,0.0,21.659999999999997,0.0,0.0,0.0
2020-03-13,34.0,0.0,0,34.0,0.0,0.0,34.0,0.0,0.0,0.0,0.789,15.0,0.25,15.0,0.25,0.0,0.0,0.0,0.0,38.76,0.0,0.0,0.0
2020-03-14,51.0,1.0,0,51.0,1.0,0.0,50.0,0.02,inf,0.0,0.5,16.0,0.06666666666666665,17.0,0.1333333333333333,1.0,inf,0.0,0.0,56.99999999999999,100.0,180.0,350.0
2020-03-15,59.0,1.0,0,59.0,1.0,0.0,58.0,0.017,0.0,0.0,0.157,8.0,-0.5,8.0,-0.5294117647058824,0.0,-1.0,0.0,0.0,66.11999999999999,100.0,180.0,350.0
2020-03-16,77.0,1.0,0,77.0,1.0,0.0,76.0,0.013,0.0,0.0,0.305,18.0,1.25,18.0,1.25,0.0,0.0,0.0,0.0,86.63999999999999,100.0,180.0,350.0
2020-03-17,140.0,1.0,0,140.0,1.0,0.0,139.0,0.007,0.0,0.0,0.818,63.0,2.5,63.0,2.5,0.0,0.0,0.0,0.0,158.45999999999998,100.0,180.0,350.0
2020-03-18,203.0,2.0,0,203.0,2.0,0.0,201.0,0.01,1.0,0.0,0.45,62.0,-0.015873015873015928,63.0,0.0,1.0,inf,0.0,0.0,229.14,200.0,360.0,700.0
2020-03-19,335.0,4.0,0,335.0,4.0,0.0,331.0,0.012,1.0,0.0,0.65,130.0,1.096774193548387,132.0,1.0952380952380953,2.0,1.0,0.0,0.0,377.34,400.0,720.0,1400.0
2020-03-20,484.0,4.0,0,484.0,4.0,0.0,480.0,0.008,0.0,0.0,0.445,149.0,0.14615384615384608,149.0,0.1287878787878789,0.0,-1.0,0.0,0.0,547.1999999999999,400.0,720.0,1400.0
