Date,Confirmed,Death,Recovered,Province/State,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-25,3.0,,,Malaysia,3.0,,,3.0,0.0,,,,,,,3.0
2020-01-26,4.0,,,Malaysia,4.0,,,4.0,0.0,,,0.333,,,,5.0
2020-01-27,4.0,,,Malaysia,4.0,,,4.0,0.0,,,0.0,,,,5.0
2020-01-28,4.0,,,Malaysia,4.0,,,4.0,0.0,,,0.0,,,,5.0
2020-01-29,7.0,,,Malaysia,7.0,,,7.0,0.0,,,0.75,,,,8.0
2020-01-30,8.0,,,Malaysia,8.0,,,8.0,0.0,,,0.143,,,,9.0
2020-01-31,8.0,,,Malaysia,8.0,,,8.0,0.0,,,0.0,,,,9.0
2020-02-01,8.0,,,Malaysia,8.0,,,8.0,0.0,,,0.0,,,,9.0
2020-02-02,8.0,,,Malaysia,8.0,,,8.0,0.0,,,0.0,,,,9.0
2020-02-03,8.0,,,Malaysia,8.0,,,8.0,0.0,,,0.0,,,,9.0
2020-02-04,10.0,,,Malaysia,10.0,,,10.0,0.0,,,0.25,,,,11.0
2020-02-05,12.0,,,Malaysia,12.0,,,12.0,0.0,,,0.2,,,,14.0
2020-02-06,12.0,,,Malaysia,12.0,,,12.0,0.0,,,0.0,,,,14.0
2020-02-07,12.0,,1.0,Malaysia,12.0,,1.0,11.0,0.0,,inf,0.0,,,,14.0
2020-02-08,16.0,,1.0,Malaysia,16.0,,1.0,15.0,0.0,,0.0,0.333,,,,18.0
2020-02-09,16.0,,1.0,Malaysia,16.0,,1.0,15.0,0.0,,0.0,0.0,,,,18.0
2020-02-10,18.0,,1.0,Malaysia,18.0,,1.0,17.0,0.0,,0.0,0.125,,,,21.0
2020-02-11,18.0,,3.0,Malaysia,18.0,,3.0,15.0,0.0,,2.0,0.0,,,,21.0
2020-02-12,18.0,,3.0,Malaysia,18.0,,3.0,15.0,0.0,,0.0,0.0,,,,21.0
2020-02-13,19.0,,3.0,Malaysia,19.0,,3.0,16.0,0.0,,0.0,0.056,,,,22.0
2020-02-14,19.0,,3.0,Malaysia,19.0,,3.0,16.0,0.0,,0.0,0.0,,,,22.0
2020-02-15,22.0,,7.0,Malaysia,22.0,,7.0,15.0,0.0,,1.333,0.158,,,,25.0
2020-02-16,22.0,,7.0,Malaysia,22.0,,7.0,15.0,0.0,,0.0,0.0,,,,25.0
2020-02-17,22.0,,7.0,Malaysia,22.0,,7.0,15.0,0.0,,0.0,0.0,,,,25.0
2020-02-18,22.0,,13.0,Malaysia,22.0,,13.0,9.0,0.0,,0.857,0.0,,,,25.0
2020-02-19,22.0,,15.0,Malaysia,22.0,,15.0,7.0,0.0,,0.154,0.0,,,,25.0
2020-02-20,22.0,,15.0,Malaysia,22.0,,15.0,7.0,0.0,,0.0,0.0,,,,25.0
2020-02-21,22.0,,15.0,Malaysia,22.0,,15.0,7.0,0.0,,0.0,0.0,,,,25.0
2020-02-22,22.0,,15.0,Malaysia,22.0,,15.0,7.0,0.0,,0.0,0.0,,,,25.0
2020-02-23,22.0,,15.0,Malaysia,22.0,,15.0,7.0,0.0,,0.0,0.0,,,,25.0
2020-02-24,22.0,,18.0,Malaysia,22.0,,18.0,4.0,0.0,,0.2,0.0,,,,25.0
2020-02-25,22.0,,18.0,Malaysia,22.0,,18.0,4.0,0.0,,0.0,0.0,,,,25.0
2020-02-26,22.0,,18.0,Malaysia,22.0,,18.0,4.0,0.0,,0.0,0.0,,,,25.0
2020-02-27,23.0,,18.0,Malaysia,23.0,,18.0,5.0,0.0,,0.0,0.045,,,,26.0
2020-02-28,23.0,,18.0,Malaysia,23.0,,18.0,5.0,0.0,,0.0,0.0,,,,26.0
2020-02-29,25.0,,18.0,Malaysia,25.0,,18.0,7.0,0.0,,0.0,0.087,,,,28.0
2020-03-01,29.0,,18.0,Malaysia,29.0,,18.0,11.0,0.0,,0.0,0.16,,,,33.0
2020-03-02,29.0,,18.0,Malaysia,29.0,,18.0,11.0,0.0,,0.0,0.0,,,,33.0
2020-03-03,36.0,,22.0,Malaysia,36.0,,22.0,14.0,0.0,,0.222,0.241,,,,41.0
2020-03-04,50.0,,22.0,Malaysia,50.0,,22.0,28.0,0.0,,0.0,0.389,,,,57.0
2020-03-05,50.0,,22.0,Malaysia,50.0,,22.0,28.0,0.0,,0.0,0.0,,,,57.0
2020-03-06,83.0,,22.0,Malaysia,83.0,,22.0,61.0,0.0,,0.0,0.66,,,,95.0
2020-03-07,93.0,,23.0,Malaysia,93.0,,23.0,70.0,0.0,,0.045,0.12,,,,106.0
2020-03-08,99.0,,24.0,Malaysia,99.0,,24.0,75.0,0.0,,0.043,0.065,,,,113.0
2020-03-09,117.0,,24.0,Malaysia,117.0,,24.0,93.0,0.0,,0.0,0.182,,,,133.0
2020-03-10,129.0,,24.0,Malaysia,129.0,,24.0,105.0,0.0,,0.0,0.103,,,,147.0
2020-03-11,149.0,,26.0,Malaysia,149.0,,26.0,123.0,0.0,,0.083,0.155,,,,170.0
2020-03-12,149.0,,26.0,Malaysia,149.0,,26.0,123.0,0.0,,0.0,0.0,,,,170.0
2020-03-13,197.0,,26.0,Malaysia,197.0,,26.0,171.0,0.0,,0.0,0.322,,,,225.0
2020-03-14,238.0,,35.0,Malaysia,238.0,,35.0,203.0,0.0,,0.346,0.208,,,,271.0
2020-03-15,428.0,,42.0,Malaysia,428.0,,42.0,386.0,0.0,,0.2,0.798,,,,488.0
2020-03-16,566.0,,42.0,Malaysia,566.0,,42.0,524.0,0.0,,0.0,0.322,,,,645.0
2020-03-17,673.0,2.0,49.0,Malaysia,673.0,2.0,49.0,622.0,0.003,inf,0.167,0.189,200.0,360.0,700.0,767.0
2020-03-18,790.0,2.0,60.0,Malaysia,790.0,2.0,60.0,728.0,0.003,0.0,0.224,0.174,200.0,360.0,700.0,901.0
2020-03-19,900.0,2.0,75.0,Malaysia,900.0,2.0,75.0,823.0,0.002,0.0,0.25,0.139,200.0,360.0,700.0,1026.0
2020-03-20,1030.0,3.0,87.0,Malaysia,1030.0,3.0,87.0,940.0,0.003,0.5,0.16,0.144,300.0,540.0,1050.0,1174.0
2020-03-21,1183.0,4.0,114.0,Malaysia,1183.0,4.0,114.0,1065.0,0.003,0.333,0.31,0.149,400.0,720.0,1400.0,1349.0
2020-03-22,1306.0,10.0,139.0,Malaysia,1306.0,10.0,139.0,1157.0,0.008,1.5,0.219,0.104,1000.0,1800.0,3500.0,1489.0
2020-03-23,1306.0,10.0,139.0,Malaysia,1306.0,10.0,139.0,1157.0,0.008,0.0,0.0,0.0,1000.0,1800.0,3500.0,1489.0
