Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-08 21:13:10,Maldives,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,1,7124,1,1,0.0,8.0,0.0,0.0,8.0,0.0,,,,0.0,0.0,0.0,9.0
2020-03-10 05:13:07,Maldives,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,2,3802,2,2,0.0,6.0,0.0,0.0,6.0,0.0,,,-0.25,0.0,0.0,0.0,7.0
2020-03-11 09:33:12,Maldives,0.0,0.0,0.0,16.0,0.0,0.0,16.0,16.0,7,8080,7,7,0.0,16.0,0.0,0.0,16.0,0.0,,,1.667,0.0,0.0,0.0,18.0
2020-03-11 20:00:00,Maldives,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,5,4198,5,5,0.0,9.0,0.0,0.0,9.0,0.0,,,-0.438,0.0,0.0,0.0,10.0
2020-03-14 16:14:58,Maldives,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,6,4824,6,6,0.0,10.0,0.0,0.0,10.0,0.0,,,0.111,0.0,0.0,0.0,11.0
2020-03-15 18:20:18,Maldives,0.0,0.0,0.0,91.0,0.0,0.0,91.0,91.0,70,35671,70,70,0.0,91.0,0.0,0.0,91.0,0.0,,,8.1,0.0,0.0,0.0,104.0
2020-03-22 23:45:00,Maldives,4.7064352,73.3287853,0.0,13.0,0.0,3.0,13.0,10.0,14,0,14,14,0.0,13.0,0.0,3.0,10.0,0.0,,inf,-0.857,0.0,0.0,0.0,15.0
2020-03-23 23:19:21,Maldives,4.7064352,73.3287853,0.0,13.0,0.0,5.0,13.0,8.0,15,1,15,15,0.0,13.0,0.0,5.0,8.0,0.0,,0.667,0.0,0.0,0.0,0.0,15.0
2020-03-24 23:37:15,Maldives,4.7064352,73.3287853,0.0,13.0,0.0,5.0,13.0,8.0,16,2,16,16,0.0,13.0,0.0,5.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0,15.0
2020-03-25 23:33:04,Maldives,4.7064352,73.3287853,0.0,13.0,0.0,8.0,13.0,5.0,17,3,17,17,0.0,13.0,0.0,8.0,5.0,0.0,,0.6,0.0,0.0,0.0,0.0,15.0
