Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-02 22:33:09,Morocco,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,2455,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-03-03 15:33:02,Morocco,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3,5147,3,3,0.0,2.0,0.0,0.0,2.0,0.0,,,1.0,0.0,0.0,0.0,2.0
2020-03-05 13:53:03,Morocco,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,25,14118,25,25,0.0,10.0,0.0,0.0,10.0,0.0,,,4.0,0.0,0.0,0.0,11.0
2020-03-10 14:13:14,Morocco,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,8,3863,8,8,1.0,3.0,1.0,0.0,2.0,0.333,inf,,-0.7,100.0,180.0,350.0,3.0
2020-03-11 11:53:03,Morocco,0.0,0.0,0.0,5.0,1.0,0.0,4.0,4.0,9,4071,9,9,1.0,5.0,1.0,0.0,4.0,0.2,0.0,,0.667,100.0,180.0,350.0,6.0
2020-03-11 20:00:00,Morocco,0.0,0.0,0.0,7.0,1.0,1.0,6.0,5.0,10,4148,10,10,1.0,7.0,1.0,1.0,5.0,0.143,0.0,inf,0.4,100.0,180.0,350.0,8.0
2020-03-12 01:33:03,Morocco,0.0,0.0,0.0,6.0,1.0,0.0,5.0,5.0,11,4457,11,11,1.0,6.0,1.0,0.0,5.0,0.167,0.0,-1.0,-0.143,100.0,180.0,350.0,7.0
2020-03-14 20:53:02,Morocco,0.0,0.0,0.0,17.0,1.0,1.0,16.0,15.0,12,4933,12,12,1.0,17.0,1.0,1.0,15.0,0.059,0.0,inf,1.833,100.0,180.0,350.0,19.0
2020-03-15 18:20:18,Morocco,0.0,0.0,0.0,28.0,1.0,1.0,27.0,26.0,13,5139,13,13,1.0,28.0,1.0,1.0,26.0,0.036,0.0,0.0,0.647,100.0,180.0,350.0,32.0
2020-03-16 14:38:45,Morocco,0.0,0.0,0.0,29.0,1.0,1.0,28.0,27.0,14,5377,14,14,1.0,29.0,1.0,1.0,27.0,0.034,0.0,0.0,0.036,100.0,180.0,350.0,33.0
2020-03-17 15:53:12,Morocco,0.0,0.0,0.0,38.0,2.0,1.0,36.0,35.0,15,5625,15,15,2.0,38.0,2.0,1.0,35.0,0.053,1.0,0.0,0.31,200.0,360.0,700.0,43.0
2020-03-18 11:33:04,Morocco,0.0,0.0,0.0,49.0,2.0,1.0,47.0,46.0,16,5841,16,16,2.0,49.0,2.0,1.0,46.0,0.041,0.0,0.0,0.289,200.0,360.0,700.0,56.0
2020-03-19 20:43:02,Morocco,0.0,0.0,0.0,63.0,2.0,1.0,61.0,60.0,17,6236,17,17,2.0,63.0,2.0,1.0,60.0,0.032,0.0,0.0,0.286,200.0,360.0,700.0,72.0
2020-03-20 20:43:02,Morocco,0.0,0.0,0.0,77.0,3.0,1.0,74.0,73.0,18,6466,18,18,3.0,77.0,3.0,1.0,73.0,0.039,0.5,0.0,0.222,300.0,540.0,1050.0,88.0
2020-03-21 20:43:02,Morocco,0.0,0.0,0.0,96.0,3.0,3.0,93.0,90.0,19,6701,19,19,3.0,96.0,3.0,3.0,90.0,0.031,0.0,2.0,0.247,300.0,540.0,1050.0,109.0
2020-03-22 23:45:00,Morocco,31.1728205,-7.3362482,0.0,115.0,4.0,3.0,111.0,108.0,20,0,20,20,4.0,115.0,4.0,3.0,108.0,0.035,0.333,0.0,0.198,400.0,720.0,1400.0,131.0
2020-03-23 23:19:21,Morocco,31.1728205,-7.3362482,0.0,143.0,4.0,5.0,139.0,134.0,21,1,21,21,4.0,143.0,4.0,5.0,134.0,0.028,0.0,0.667,0.243,400.0,720.0,1400.0,163.0
2020-03-24 23:37:15,Morocco,31.1728205,-7.3362482,0.0,170.0,5.0,6.0,165.0,159.0,22,2,22,22,5.0,170.0,5.0,6.0,159.0,0.029,0.25,0.2,0.189,500.0,900.0,1750.0,194.0
2020-03-25 23:33:04,Morocco,31.1728205,-7.3362482,0.0,225.0,6.0,7.0,219.0,212.0,23,3,23,23,6.0,225.0,6.0,7.0,212.0,0.027,0.2,0.167,0.324,600.0,1080.0,2100.0,256.0
