Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-27 21:13:10,Netherlands,52.500169799999995,5.7480820999999995,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-02-28 01:23:03,Netherlands,52.500169799999995,5.7480820999999995,0.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0
2020-02-29 18:03:05,Netherlands,52.500169799999995,5.7480820999999995,0.0,6.0,0.0,0.0,6.0,6.0,2,2,2,2,0.0,6.0,0.0,0.0,6.0,0.0,,,5.0,0.0,0.0,0.0,7.0
2020-03-01 15:33:03,Netherlands,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,3,2246,3,3,0.0,10.0,0.0,0.0,10.0,0.0,,,0.667,0.0,0.0,0.0,11.0
2020-03-02 20:53:02,Netherlands,0.0,0.0,0.0,18.0,0.0,0.0,18.0,18.0,4,2445,4,4,0.0,18.0,0.0,0.0,18.0,0.0,,,0.8,0.0,0.0,0.0,21.0
2020-03-03 15:13:26,Netherlands,0.0,0.0,0.0,24.0,0.0,0.0,24.0,24.0,5,2547,5,5,0.0,24.0,0.0,0.0,24.0,0.0,,,0.333,0.0,0.0,0.0,27.0
2020-03-04 12:33:03,Netherlands,0.0,0.0,0.0,38.0,0.0,0.0,38.0,38.0,6,2695,6,6,0.0,38.0,0.0,0.0,38.0,0.0,,,0.583,0.0,0.0,0.0,43.0
2020-03-05 14:23:03,Netherlands,0.0,0.0,0.0,82.0,0.0,0.0,82.0,82.0,7,2839,7,7,0.0,82.0,0.0,0.0,82.0,0.0,,,1.158,0.0,0.0,0.0,93.0
2020-03-06 13:23:06,Netherlands,0.0,0.0,0.0,128.0,1.0,0.0,127.0,127.0,8,3034,8,8,1.0,128.0,1.0,0.0,127.0,0.008,inf,,0.561,100.0,180.0,350.0,146.0
2020-03-07 17:43:05,Netherlands,0.0,0.0,0.0,188.0,1.0,0.0,187.0,187.0,9,3307,9,9,1.0,188.0,1.0,0.0,187.0,0.005,0.0,,0.469,100.0,180.0,350.0,214.0
