Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-02-26 19:03:08,North Macedonia,41.617121399999995,21.7168387,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-02-27 16:23:03,North Macedonia,124.85136419999998,65.1505161,0.0,8.0,0.0,0.0,8.0,8.0,36,10099,36,36,0.0,8.0,0.0,0.0,8.0,0.0,,,7.0,0.0,0.0,0.0,9.0
2020-03-06 20:23:11,North Macedonia,0.0,0.0,0.0,12.0,0.0,0.0,12.0,12.0,42,12478,42,42,0.0,12.0,0.0,0.0,12.0,0.0,,,0.5,0.0,0.0,0.0,14.0
2020-03-10 10:53:03,North Macedonia,0.0,0.0,0.0,21.0,0.0,0.0,21.0,21.0,42,11535,42,42,0.0,21.0,0.0,0.0,21.0,0.0,,,0.75,0.0,0.0,0.0,24.0
2020-03-11 20:00:00,North Macedonia,0.0,0.0,0.0,14.0,0.0,1.0,14.0,13.0,16,4269,16,16,0.0,14.0,0.0,1.0,13.0,0.0,,inf,-0.333,0.0,0.0,0.0,16.0
2020-03-13 23:33:05,North Macedonia,0.0,0.0,0.0,28.0,0.0,2.0,28.0,26.0,35,9380,35,35,0.0,28.0,0.0,2.0,26.0,0.0,,1.0,1.0,0.0,0.0,0.0,32.0
2020-03-16 14:38:45,North Macedonia,0.0,0.0,0.0,18.0,0.0,1.0,18.0,17.0,19,5375,19,19,0.0,18.0,0.0,1.0,17.0,0.0,,-0.5,-0.357,0.0,0.0,0.0,21.0
2020-03-17 11:53:10,North Macedonia,0.0,0.0,0.0,26.0,0.0,1.0,26.0,25.0,20,5575,20,20,0.0,26.0,0.0,1.0,25.0,0.0,,0.0,0.444,0.0,0.0,0.0,30.0
2020-03-18 12:33:03,North Macedonia,0.0,0.0,0.0,35.0,0.0,1.0,35.0,34.0,21,5905,21,21,0.0,35.0,0.0,1.0,34.0,0.0,,0.0,0.346,0.0,0.0,0.0,40.0
2020-03-19 16:43:03,North Macedonia,0.0,0.0,0.0,48.0,0.0,1.0,48.0,47.0,22,6177,22,22,0.0,48.0,0.0,1.0,47.0,0.0,,0.0,0.371,0.0,0.0,0.0,55.0
2020-03-20 14:43:04,North Macedonia,0.0,0.0,0.0,67.0,0.0,1.0,67.0,66.0,23,6388,23,23,0.0,67.0,0.0,1.0,66.0,0.0,,0.0,0.396,0.0,0.0,0.0,76.0
2020-03-21 17:43:03,North Macedonia,0.0,0.0,0.0,85.0,0.0,1.0,85.0,84.0,24,6655,24,24,0.0,85.0,0.0,1.0,84.0,0.0,,0.0,0.269,0.0,0.0,0.0,97.0
2020-03-22 23:45:00,North Macedonia,41.617121399999995,21.7168387,0.0,115.0,1.0,1.0,114.0,113.0,25,4,25,25,1.0,115.0,1.0,1.0,113.0,0.009,inf,0.0,0.353,100.0,180.0,350.0,131.0
2020-03-23 23:19:21,North Macedonia,41.617121399999995,21.7168387,0.0,136.0,2.0,1.0,134.0,133.0,26,5,26,26,2.0,136.0,2.0,1.0,133.0,0.015,1.0,0.0,0.183,200.0,360.0,700.0,155.0
2020-03-24 23:37:15,North Macedonia,41.617121399999995,21.7168387,0.0,148.0,2.0,1.0,146.0,145.0,27,6,27,27,2.0,148.0,2.0,1.0,145.0,0.014,0.0,0.0,0.088,200.0,360.0,700.0,169.0
2020-03-25 23:33:04,North Macedonia,41.617121399999995,21.7168387,0.0,177.0,3.0,1.0,174.0,173.0,28,7,28,28,3.0,177.0,3.0,1.0,173.0,0.017,0.5,0.0,0.196,300.0,540.0,1050.0,202.0
