Date,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-02-26 20:23:12,60.5000209,9.099971499999999,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,1.14,0.0,0.0,0.0
2020-02-27 16:23:03,60.5000209,9.099971499999999,0.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-02-28 21:03:02,60.5000209,9.099971499999999,0.0,6.0,0.0,0.0,6.0,6.0,2,2,2,2,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,1.6666666666666667,5.0,inf,5.0,inf,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0
2020-02-29 23:13:06,60.5000209,9.099971499999999,0.0,15.0,0.0,0.0,15.0,15.0,3,3,3,3,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,1.5,2.1666666666666665,9.0,0.8,9.0,0.8,0.0,0.0,0.0,0.0,17.099999999999998,0.0,0.0,0.0
2020-03-01 20:43:02,0.0,0.0,0.0,19.0,0.0,0.0,19.0,19.0,4,2268,4,4,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.267,2.255666666666667,4.0,-0.5555555555555556,4.0,-0.5555555555555556,0.0,0.0,0.0,0.0,21.659999999999997,0.0,0.0,0.0
2020-03-02 20:53:02,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,5,2446,5,5,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.316,0.6943333333333334,6.0,0.5,6.0,0.5,0.0,0.0,0.0,0.0,28.499999999999996,0.0,0.0,0.0
2020-03-03 14:33:03,0.0,0.0,0.0,32.0,0.0,0.0,32.0,32.0,6,2535,6,6,0.0,32.0,0.0,0.0,32.0,0.0,0.0,0.0,0.28,0.2876666666666668,7.0,0.16666666666666674,7.0,0.16666666666666674,0.0,0.0,0.0,0.0,36.48,0.0,0.0,0.0
2020-03-04 19:33:03,0.0,0.0,0.0,56.0,0.0,0.0,56.0,56.0,7,2751,7,7,0.0,56.0,0.0,0.0,56.0,0.0,0.0,0.0,0.75,0.4486666666666668,24.0,2.4285714285714284,24.0,2.4285714285714284,0.0,0.0,0.0,0.0,63.839999999999996,0.0,0.0,0.0
2020-03-05 17:43:03,0.0,0.0,0.0,87.0,0.0,0.0,87.0,87.0,8,2865,8,8,0.0,87.0,0.0,0.0,87.0,0.0,0.0,0.0,0.554,0.5280000000000001,31.0,0.29166666666666674,31.0,0.29166666666666674,0.0,0.0,0.0,0.0,99.17999999999999,0.0,0.0,0.0
2020-03-06 16:33:04,0.0,0.0,0.0,108.0,0.0,0.0,108.0,108.0,9,3086,9,9,0.0,108.0,0.0,0.0,108.0,0.0,0.0,0.0,0.241,0.5150000000000002,21.0,-0.32258064516129037,21.0,-0.32258064516129037,0.0,0.0,0.0,0.0,123.11999999999999,0.0,0.0,0.0
2020-03-07 17:53:03,0.0,0.0,0.0,147.0,0.0,0.0,147.0,147.0,10,3311,10,10,0.0,147.0,0.0,0.0,147.0,0.0,0.0,0.0,0.361,0.3853333333333335,39.0,0.8571428571428572,39.0,0.8571428571428572,0.0,0.0,0.0,0.0,167.57999999999998,0.0,0.0,0.0
2020-03-08 21:03:03,0.0,0.0,0.0,176.0,0.0,0.0,176.0,176.0,11,3552,11,11,0.0,176.0,0.0,0.0,176.0,0.0,0.0,0.0,0.197,0.26633333333333353,29.0,-0.2564102564102564,29.0,-0.2564102564102564,0.0,0.0,0.0,0.0,200.64,0.0,0.0,0.0
2020-03-09 18:33:03,0.0,0.0,0.0,205.0,0.0,1.0,205.0,204.0,12,3707,12,12,0.0,205.0,0.0,1.0,204.0,0.0,0.0,inf,0.165,0.24100000000000021,28.0,-0.03448275862068961,29.0,0.0,0.0,0.0,1.0,inf,232.55999999999997,0.0,0.0,0.0
2020-03-10 23:53:02,0.0,0.0,0.0,400.0,0.0,1.0,400.0,399.0,13,3922,13,13,0.0,400.0,0.0,1.0,399.0,0.0,0.0,0.0,0.951,0.43766666666666687,195.0,5.964285714285714,195.0,5.724137931034483,0.0,0.0,0.0,-1.0,454.85999999999996,0.0,0.0,0.0
