Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-10 06:13:43,Panama,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,3812,0,0,0.0,1.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,1.0
2020-03-11 09:33:12,Panama,0.0,0.0,0.0,8.0,1.0,0.0,7.0,7.0,1,4045,1,1,1.0,8.0,1.0,0.0,7.0,0.125,inf,,7.0,100.0,180.0,350.0,9.0
2020-03-11 20:00:00,Panama,0.0,0.0,0.0,27.0,1.0,0.0,26.0,26.0,2,4202,2,2,1.0,27.0,1.0,0.0,26.0,0.037,0.0,,2.375,100.0,180.0,350.0,31.0
2020-03-12 08:53:02,Panama,0.0,0.0,0.0,11.0,1.0,0.0,10.0,10.0,3,4497,3,3,1.0,11.0,1.0,0.0,10.0,0.091,0.0,,-0.593,100.0,180.0,350.0,13.0
2020-03-14 12:33:03,Panama,0.0,0.0,0.0,36.0,1.0,0.0,35.0,35.0,4,4783,4,4,1.0,36.0,1.0,0.0,35.0,0.028,0.0,,2.273,100.0,180.0,350.0,41.0
2020-03-15 18:20:18,Panama,0.0,0.0,0.0,43.0,1.0,0.0,42.0,42.0,5,5137,5,5,1.0,43.0,1.0,0.0,42.0,0.023,0.0,,0.194,100.0,180.0,350.0,49.0
2020-03-16 14:38:45,Panama,0.0,0.0,0.0,55.0,1.0,0.0,54.0,54.0,6,5288,6,6,1.0,55.0,1.0,0.0,54.0,0.018,0.0,,0.279,100.0,180.0,350.0,63.0
2020-03-17 10:53:03,Panama,0.0,0.0,0.0,69.0,1.0,0.0,68.0,68.0,7,5555,7,7,1.0,69.0,1.0,0.0,68.0,0.014,0.0,,0.255,100.0,180.0,350.0,79.0
2020-03-18 10:53:02,Panama,0.0,0.0,0.0,86.0,1.0,0.0,85.0,85.0,8,5829,8,8,1.0,86.0,1.0,0.0,85.0,0.012,0.0,,0.246,100.0,180.0,350.0,98.0
2020-03-19 02:33:08,Panama,0.0,0.0,0.0,109.0,1.0,0.0,108.0,108.0,9,6055,9,9,1.0,109.0,1.0,0.0,108.0,0.009,0.0,,0.267,100.0,180.0,350.0,124.0
2020-03-20 02:13:50,Panama,0.0,0.0,0.0,137.0,1.0,0.0,136.0,136.0,10,6313,10,10,1.0,137.0,1.0,0.0,136.0,0.007,0.0,,0.257,100.0,180.0,350.0,156.0
2020-03-21 02:13:32,Panama,0.0,0.0,0.0,200.0,1.0,0.0,199.0,199.0,11,6545,11,11,1.0,200.0,1.0,0.0,199.0,0.005,0.0,,0.46,100.0,180.0,350.0,228.0
2020-03-22 23:45:00,Panama,8.9714493,-79.53418020000001,0.0,313.0,3.0,1.0,310.0,309.0,12,0,12,12,3.0,313.0,3.0,1.0,309.0,0.01,2.0,inf,0.565,300.0,540.0,1050.0,357.0
2020-03-23 23:19:21,Panama,8.9714493,-79.53418020000001,0.0,313.0,3.0,1.0,310.0,309.0,13,1,13,13,3.0,313.0,3.0,1.0,309.0,0.01,0.0,0.0,0.0,300.0,540.0,1050.0,357.0
2020-03-24 23:37:15,Panama,8.9714493,-79.53418020000001,0.0,345.0,6.0,1.0,339.0,338.0,14,2,14,14,6.0,345.0,6.0,1.0,338.0,0.017,1.0,0.0,0.102,600.0,1080.0,2100.0,393.0
2020-03-25 23:33:04,Panama,8.9714493,-79.53418020000001,0.0,443.0,8.0,1.0,435.0,434.0,15,3,15,15,8.0,443.0,8.0,1.0,434.0,0.018,0.333,0.0,0.284,800.0,1440.0,2800.0,505.0
