Date,Confirmed,Death,Recovered,Province/State,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-03-06,1.0,,,Peru,1.0,,,1.0,0.0,,,,,,,1.0
2020-03-07,1.0,,,Peru,1.0,,,1.0,0.0,,,0.0,,,,1.0
2020-03-08,6.0,,,Peru,6.0,,,6.0,0.0,,,5.0,,,,7.0
2020-03-09,7.0,,,Peru,7.0,,,7.0,0.0,,,0.167,,,,8.0
2020-03-10,11.0,,,Peru,11.0,,,11.0,0.0,,,0.571,,,,13.0
2020-03-11,11.0,,,Peru,11.0,,,11.0,0.0,,,0.0,,,,13.0
2020-03-12,15.0,,,Peru,15.0,,,15.0,0.0,,,0.364,,,,17.0
2020-03-13,28.0,,,Peru,28.0,,,28.0,0.0,,,0.867,,,,32.0
2020-03-14,38.0,,,Peru,38.0,,,38.0,0.0,,,0.357,,,,43.0
2020-03-15,43.0,,,Peru,43.0,,,43.0,0.0,,,0.132,,,,49.0
2020-03-16,86.0,,,Peru,86.0,,,86.0,0.0,,,1.0,,,,98.0
2020-03-17,117.0,,1.0,Peru,117.0,,1.0,116.0,0.0,,inf,0.36,,,,133.0
2020-03-18,145.0,,1.0,Peru,145.0,,1.0,144.0,0.0,,0.0,0.239,,,,165.0
2020-03-19,234.0,,1.0,Peru,234.0,,1.0,233.0,0.0,,0.0,0.614,,,,267.0
2020-03-20,234.0,3.0,1.0,Peru,234.0,3.0,1.0,230.0,0.013,inf,0.0,0.0,300.0,540.0,1050.0,267.0
2020-03-21,318.0,5.0,1.0,Peru,318.0,5.0,1.0,312.0,0.016,0.667,0.0,0.359,500.0,900.0,1750.0,363.0
