Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-03-06,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,1.14,0.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0
2020-03-08,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,1.6666666666666667,5.0,inf,5.0,inf,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0
2020-03-09,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.167,1.7223333333333333,1.0,-0.8,1.0,-0.8,0.0,0.0,0.0,0.0,7.9799999999999995,0.0,0.0,0.0
2020-03-10,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.571,1.9126666666666665,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,12.54,0.0,0.0,0.0
2020-03-11,11.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.24599999999999986,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,12.54,0.0,0.0,0.0
2020-03-12,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.364,0.3116666666666665,4.0,inf,4.0,inf,0.0,0.0,0.0,0.0,17.099999999999998,0.0,0.0,0.0
2020-03-13,28.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.867,0.41033333333333316,13.0,2.25,13.0,2.25,0.0,0.0,0.0,0.0,31.919999999999998,0.0,0.0,0.0
2020-03-14,38.0,0.0,0.0,38.0,0.0,0.0,38.0,0.0,0.0,0.0,0.357,0.5293333333333331,10.0,-0.23076923076923073,10.0,-0.23076923076923073,0.0,0.0,0.0,0.0,43.31999999999999,0.0,0.0,0.0
2020-03-15,43.0,0.0,0.0,43.0,0.0,0.0,43.0,0.0,0.0,0.0,0.132,0.4519999999999998,5.0,-0.5,5.0,-0.5,0.0,0.0,0.0,0.0,49.019999999999996,0.0,0.0,0.0
2020-03-16,86.0,0.0,0.0,86.0,0.0,0.0,86.0,0.0,0.0,0.0,1.0,0.4963333333333331,43.0,7.6,43.0,7.6,0.0,0.0,0.0,0.0,98.03999999999999,0.0,0.0,0.0
2020-03-17,117.0,0.0,1.0,117.0,0.0,1.0,116.0,0.0,0.0,inf,0.36,0.4973333333333331,30.0,-0.3023255813953488,31.0,-0.2790697674418605,0.0,0.0,1.0,inf,132.23999999999998,0.0,0.0,0.0
2020-03-18,145.0,0.0,1.0,145.0,0.0,1.0,144.0,0.0,0.0,0.0,0.239,0.5329999999999998,28.0,-0.06666666666666665,28.0,-0.09677419354838712,0.0,0.0,0.0,-1.0,164.16,0.0,0.0,0.0
2020-03-19,234.0,0.0,1.0,234.0,0.0,1.0,233.0,0.0,0.0,0.0,0.614,0.40433333333333304,89.0,2.1785714285714284,89.0,2.1785714285714284,0.0,0.0,0.0,0.0,265.62,0.0,0.0,0.0
2020-03-20,234.0,3.0,1.0,234.0,3.0,1.0,230.0,0.013,inf,0.0,0.0,0.28433333333333305,-3.0,-1.0337078651685394,0.0,-1.0,3.0,inf,0.0,0.0,262.2,300.0,540.0,1050.0
2020-03-21,318.0,5.0,1.0,318.0,5.0,1.0,312.0,0.016,0.667,0.0,0.359,0.3243333333333331,82.0,-28.333333333333332,84.0,inf,2.0,-0.33333333333333337,0.0,0.0,355.67999999999995,500.0,900.0,1750.0
2020-03-22,363.0,5.0,1.0,363.0,5.0,1.0,357.0,0.014,0.0,0.0,0.142,0.1669999999999998,45.0,-0.4512195121951219,45.0,-0.4642857142857143,0.0,-1.0,0.0,0.0,406.97999999999996,500.0,900.0,1750.0
2020-03-23,395.0,5.0,1.0,395.0,5.0,1.0,389.0,0.013,0.0,0.0,0.088,0.1963333333333331,32.0,-0.28888888888888886,32.0,-0.28888888888888886,0.0,0.0,0.0,0.0,443.46,500.0,900.0,1750.0
2020-03-24,416.0,7.0,1.0,416.0,7.0,1.0,408.0,0.017,0.4,0.0,0.053,0.09433333333333312,19.0,-0.40625,21.0,-0.34375,2.0,inf,0.0,0.0,465.11999999999995,700.0,1260.0,2450.0
2020-03-25,480.0,9.0,0.0,480.0,9.0,0.0,471.0,0.019,0.286,-1.0,0.154,0.09833333333333312,63.0,2.3157894736842106,64.0,2.0476190476190474,2.0,0.0,-1.0,-inf,536.9399999999999,900.0,1620.0,3150.0
