Date,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Confirmed Rolling 3 Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-03-11 20:00:00,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0,4197,0,0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,5.699999999999999,0.0,0.0,0.0
2020-03-11 23:13:07,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3,8868,3,3,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.6,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0
2020-03-14 20:53:02,0.0,0.0,0.0,6.0,0.0,0.0,6.0,6.0,3,4933,3,3,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.4666666666666666,4.0,-2.333333333333333,4.0,-2.333333333333333,0.0,0.0,0.0,0.0,6.84,0.0,0.0,0.0
2020-03-15 18:20:19,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,4,5210,4,4,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.167,0.5223333333333333,1.0,-0.75,1.0,-0.75,0.0,0.0,0.0,0.0,7.9799999999999995,0.0,0.0,0.0
2020-03-16 14:38:45,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,5,5285,5,5,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.286,0.8176666666666667,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,10.26,0.0,0.0,0.0
2020-03-17 07:15:25,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,6,5534,6,6,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.15099999999999994,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,10.26,0.0,0.0,0.0
2020-03-18 11:53:04,0.0,0.0,0.0,12.0,0.0,0.0,12.0,12.0,7,5872,7,7,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.333,0.20633333333333326,3.0,inf,3.0,inf,0.0,0.0,0.0,0.0,13.68,0.0,0.0,0.0
2020-03-19 09:33:04,0.0,0.0,0.0,14.0,0.0,0.0,14.0,14.0,8,6096,8,8,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.167,0.1666666666666666,2.0,-0.33333333333333337,2.0,-0.33333333333333337,0.0,0.0,0.0,0.0,15.959999999999999,0.0,0.0,0.0
2020-03-20 02:13:59,0.0,0.0,0.0,28.0,0.0,0.0,28.0,28.0,9,6316,9,9,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.49999999999999994,14.0,6.0,14.0,6.0,0.0,0.0,0.0,0.0,31.919999999999998,0.0,0.0,0.0
2020-03-21 13:13:35,0.0,0.0,0.0,45.0,0.0,0.0,45.0,45.0,10,6620,10,10,0.0,45.0,0.0,0.0,45.0,0.0,0.0,0.0,0.607,0.5913333333333333,17.0,0.2142857142857142,17.0,0.2142857142857142,0.0,0.0,0.0,0.0,51.3,0.0,0.0,0.0
