Date,Province/State,Latitude,Longitude,FIPS,Confirmed,Deaths,Recovered,UnknownActive,Active,Day,DayLoc,DayCountry,DayCountryProvince,Death,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Likely Cases C86
2020-01-31 16:13:00,Russia,64.6863136,97.7453061,0.0,2.0,0.0,0.0,2.0,2.0,0,0,0,0,0.0,2.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,2.0
2020-01-31 16:13:45,Russia,646.8631359999999,977.4530609999999,0.0,20.0,0.0,0.0,20.0,20.0,55,55,55,55,0.0,20.0,0.0,0.0,20.0,0.0,,,9.0,0.0,0.0,0.0,23.0
2020-01-31 23:59:00,Russia,64.6863136,97.7453061,0.0,2.0,0.0,0.0,2.0,2.0,11,11,11,11,0.0,2.0,0.0,0.0,2.0,0.0,,,-0.9,0.0,0.0,0.0,2.0
2020-02-12 14:43:03,Russia,1164.3536447999995,1759.4155098000006,0.0,38.0,0.0,38.0,38.0,0.0,399,1575,399,399,0.0,38.0,0.0,38.0,0.0,0.0,,inf,18.0,0.0,0.0,0.0,43.0
2020-03-02 21:23:04,Russia,0.0,0.0,0.0,9.0,0.0,6.0,9.0,3.0,96,7356,96,96,0.0,9.0,0.0,6.0,3.0,0.0,,-0.842,-0.763,0.0,0.0,0.0,10.0
2020-03-05 13:53:03,Russia,0.0,0.0,0.0,4.0,0.0,2.0,4.0,2.0,34,2820,34,34,0.0,4.0,0.0,2.0,2.0,0.0,,-0.667,-0.556,0.0,0.0,0.0,5.0
2020-03-06 20:43:03,Russia,0.0,0.0,0.0,26.0,0.0,4.0,26.0,22.0,71,6263,71,71,0.0,26.0,0.0,4.0,22.0,0.0,,1.0,5.5,0.0,0.0,0.0,30.0
2020-03-08 21:03:03,Russia,0.0,0.0,0.0,34.0,0.0,6.0,34.0,28.0,75,7111,75,75,0.0,34.0,0.0,6.0,28.0,0.0,,0.5,0.308,0.0,0.0,0.0,39.0
2020-03-11 18:52:03,Russia,0.0,0.0,0.0,20.0,0.0,3.0,20.0,17.0,39,4094,39,39,0.0,20.0,0.0,3.0,17.0,0.0,,-0.5,-0.412,0.0,0.0,0.0,23.0
2020-03-11 20:00:00,Russia,0.0,0.0,0.0,45.0,0.0,3.0,45.0,42.0,40,4241,40,40,0.0,45.0,0.0,3.0,42.0,0.0,,0.0,1.25,0.0,0.0,0.0,51.0
2020-03-12 08:53:02,Russia,0.0,0.0,0.0,28.0,0.0,3.0,28.0,25.0,41,4497,41,41,0.0,28.0,0.0,3.0,25.0,0.0,,0.0,-0.378,0.0,0.0,0.0,32.0
2020-03-14 22:53:02,Russia,0.0,0.0,0.0,59.0,0.0,8.0,59.0,51.0,42,4995,42,42,0.0,59.0,0.0,8.0,51.0,0.0,,1.667,1.107,0.0,0.0,0.0,67.0
2020-03-15 18:20:18,Russia,0.0,0.0,0.0,63.0,0.0,8.0,63.0,55.0,43,5117,43,43,0.0,63.0,0.0,8.0,55.0,0.0,,0.0,0.068,0.0,0.0,0.0,72.0
2020-03-16 14:38:45,Russia,0.0,0.0,0.0,90.0,0.0,8.0,90.0,82.0,44,5350,44,44,0.0,90.0,0.0,8.0,82.0,0.0,,0.0,0.429,0.0,0.0,0.0,103.0
2020-03-17 15:53:12,Russia,0.0,0.0,0.0,114.0,0.0,8.0,114.0,106.0,45,5628,45,45,0.0,114.0,0.0,8.0,106.0,0.0,,0.0,0.267,0.0,0.0,0.0,130.0
2020-03-18 12:33:02,Russia,0.0,0.0,0.0,147.0,0.0,8.0,147.0,139.0,46,5895,46,46,0.0,147.0,0.0,8.0,139.0,0.0,,0.0,0.289,0.0,0.0,0.0,168.0
2020-03-19 16:13:36,Russia,0.0,0.0,0.0,199.0,1.0,9.0,198.0,189.0,47,6167,47,47,1.0,199.0,1.0,9.0,189.0,0.005,inf,0.125,0.354,100.0,180.0,350.0,227.0
2020-03-20 15:43:24,Russia,0.0,0.0,0.0,253.0,1.0,9.0,252.0,243.0,48,6407,48,48,1.0,253.0,1.0,9.0,243.0,0.004,0.0,0.0,0.271,100.0,180.0,350.0,288.0
2020-03-21 14:43:03,Russia,0.0,0.0,0.0,306.0,1.0,12.0,305.0,293.0,49,6624,49,49,1.0,306.0,1.0,12.0,293.0,0.003,0.0,0.333,0.209,100.0,180.0,350.0,349.0
2020-03-22 23:45:00,Russia,64.6863136,97.7453061,0.0,367.0,1.0,16.0,366.0,350.0,50,30,50,50,1.0,367.0,1.0,16.0,350.0,0.003,0.0,0.333,0.199,100.0,180.0,350.0,418.0
2020-03-23 23:19:21,Russia,64.6863136,97.7453061,0.0,438.0,1.0,17.0,437.0,420.0,51,31,51,51,1.0,438.0,1.0,17.0,420.0,0.002,0.0,0.062,0.193,100.0,180.0,350.0,499.0
2020-03-24 23:37:15,Russia,64.6863136,97.7453061,0.0,495.0,1.0,22.0,494.0,472.0,52,32,52,52,1.0,495.0,1.0,22.0,472.0,0.002,0.0,0.294,0.13,100.0,180.0,350.0,564.0
2020-03-25 23:33:04,Russia,64.6863136,97.7453061,0.0,658.0,3.0,29.0,655.0,626.0,53,33,53,53,3.0,658.0,3.0,29.0,626.0,0.005,2.0,0.318,0.329,300.0,540.0,1050.0,750.0
