Date,Confirmed,Death,Recovered,Total Confirmed,Total Deaths,Total Recovered,Active Cases,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate,New Active Cases,New Active Cases PCT Change,New Cases,New Case PCT Change,New Deaths,New Death PCT Change,New Recovered,New Recovered PCT Change,Likely Cases C86,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct
2020-02-27,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,1.14,0.0,0.0,0.0
2020-02-28,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,,1.14,0.0,0.0,0.0
2020-02-29,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,,1.14,0.0,0.0,0.0
2020-03-01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,,1.14,0.0,0.0,0.0
2020-03-02,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,,,7.0,7.0,inf,7.0,inf,0.0,,0.0,,9.12,0.0,0.0,0.0
2020-03-03,10.0,1.0,0.0,10.0,1.0,0.0,9.0,0.1,inf,,0.25,1.0,-0.8571428571428572,2.0,-0.7142857142857143,1.0,inf,0.0,,10.26,100.0,180.0,350.0
2020-03-04,16.0,1.0,0.0,16.0,1.0,0.0,15.0,0.062,0.0,,0.6,6.0,5.0,6.0,2.0,0.0,-1.0,0.0,,17.099999999999998,100.0,180.0,350.0
2020-03-05,21.0,1.0,0.0,21.0,1.0,0.0,20.0,0.048,0.0,,0.312,5.0,-0.16666666666666663,5.0,-0.16666666666666663,0.0,,0.0,,22.799999999999997,100.0,180.0,350.0
2020-03-06,21.0,1.0,0.0,21.0,1.0,0.0,20.0,0.048,0.0,,0.0,0.0,-1.0,0.0,-1.0,0.0,,0.0,,22.799999999999997,100.0,180.0,350.0
2020-03-07,23.0,1.0,0.0,23.0,1.0,0.0,22.0,0.043,0.0,,0.095,2.0,inf,2.0,inf,0.0,,0.0,,25.08,100.0,180.0,350.0
2020-03-08,36.0,1.0,0.0,36.0,1.0,0.0,35.0,0.028,0.0,,0.565,13.0,5.5,13.0,5.5,0.0,,0.0,,39.9,100.0,180.0,350.0
2020-03-09,36.0,1.0,0.0,36.0,1.0,0.0,35.0,0.028,0.0,,0.0,0.0,-1.0,0.0,-1.0,0.0,,0.0,,39.9,100.0,180.0,350.0
2020-03-10,51.0,2.0,0.0,51.0,2.0,0.0,49.0,0.039,1.0,,0.417,14.0,inf,15.0,inf,1.0,inf,0.0,,55.85999999999999,200.0,360.0,700.0
2020-03-11,62.0,2.0,0.0,62.0,2.0,0.0,60.0,0.032,0.0,,0.216,11.0,-0.2142857142857143,11.0,-0.2666666666666667,0.0,-1.0,0.0,,68.39999999999999,200.0,360.0,700.0
2020-03-12,69.0,3.0,0.0,69.0,3.0,0.0,66.0,0.043,0.5,,0.113,6.0,-0.4545454545454546,7.0,-0.36363636363636365,1.0,inf,0.0,,75.24,300.0,540.0,1050.0
2020-03-13,80.0,5.0,0.0,80.0,5.0,0.0,75.0,0.062,0.667,,0.159,9.0,0.5,11.0,0.5714285714285714,2.0,1.0,0.0,,85.49999999999999,500.0,900.0,1750.0
2020-03-14,80.0,5.0,4.0,80.0,5.0,4.0,71.0,0.062,0.0,inf,0.0,-4.0,-1.4444444444444444,0.0,-1.0,0.0,-1.0,4.0,inf,80.94,500.0,900.0,1750.0
2020-03-15,101.0,5.0,4.0,101.0,5.0,4.0,92.0,0.05,0.0,0.0,0.262,21.0,-6.25,21.0,inf,0.0,,0.0,-1.0,104.88,500.0,900.0,1750.0
2020-03-16,109.0,7.0,4.0,109.0,7.0,4.0,98.0,0.064,0.4,0.0,0.079,6.0,-0.7142857142857143,8.0,-0.6190476190476191,2.0,inf,0.0,,111.71999999999998,700.0,1260.0,2450.0
2020-03-17,109.0,7.0,4.0,109.0,7.0,4.0,98.0,0.064,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,111.71999999999998,700.0,1260.0,2450.0
2020-03-18,119.0,11.0,4.0,119.0,11.0,4.0,104.0,0.092,0.571,0.0,0.092,6.0,inf,10.0,inf,4.0,inf,0.0,,118.55999999999999,1100.0,1980.0,3850.0
2020-03-19,119.0,11.0,4.0,119.0,11.0,4.0,104.0,0.092,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,118.55999999999999,1100.0,1980.0,3850.0
